gene,chr,start,end,splice_type,novel,Right_ventricle_myocardium_superior_ENCFF840OVC_in_cov,Right_ventricle_myocardium_superior_ENCFF840OVC_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,17,123
ENSG00000142156.14,chr21,46002192,46002401,TSS,True,98,112
ENSG00000141959.16,chr21,44306754,44311005,ES,True,252,306
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,63,374
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,40,111
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,74,111
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,17,111
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,22,131
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,77,138
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,64,141
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,79,141
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,39,214
ENSG00000160310.17,chr21,46635763,46636895,ES,False,41,252
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,122,272
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,164,268
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,47,139
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,176,210
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,171,236
ENSG00000182871.14,chr21,45485727,45486992,TSS,True,205,235
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,25,179
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,82,707
ENSG00000160194.17,chr21,42897047,42908863,ES,True,163,189
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,150,176
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,26,176
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,491,982
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,819,982
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,244,982
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,755,932
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,116,158
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,138,158
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,124,158
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,11,104
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,102,159
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,59,158
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,164,184
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,28,134
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,28,137
ENSG00000138413.13,chr2,208254342,208254454,TSS,False,117,137
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,16,115
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,90,825
ENSG00000204843.12,chr2,74371728,74377431,ES,False,65,474
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,147,576
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,29,126
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,47,162
ENSG00000124006.14,chr2,219550868,219551528,3AS,True,18,115
ENSG00000124006.14,chr2,219556723,219557822,ES,False,43,130
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,88,242
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,288,335
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,235,333
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,155,179
ENSG00000124006.14,chr2,219556453,219557867,TSS,True,161,179
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,171,335
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,147,179
ENSG00000115648.13,chr2,237518648,237525600,ES,False,63,237
ENSG00000115648.13,chr2,237527516,237540347,ES,False,55,239
ENSG00000115648.13,chr2,237540533,237542566,ES,False,32,243
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,41,244
ENSG00000196141.13,chr2,200419496,200440648,ES,False,185,284
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,223,292
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,85,292
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,165,432
ENSG00000135926.14,chr2,218287206,218287282,TSS,True,375,432
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,101,161
ENSG00000135945.9,chr2,99404800,99404879,TSS,True,63,154
