gene,chr,start,end,splice_type,novel,chondrocyte_ENCFF439BVT_in_cov,chondrocyte_ENCFF439BVT_total_cov
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,24,221
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,165,212
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,54,212
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,46,148
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,115,147
ENSG00000157538.13,chr21,37232451,37238459,ES,False,12,100
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,33,202
ENSG00000156265.15,chr21,29130554,29130923,TSS,True,60,154
ENSG00000156265.15,chr21,29145579,29145707,TSS,False,123,154
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,44,294
ENSG00000160310.17,chr21,46635763,46636895,ES,False,103,391
ENSG00000160310.17,chr21,46635763,46636895,5AS,False,103,122
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,66,466
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,200,466
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,320,454
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,80,271
ENSG00000182871.14,chr21,45493600,45494861,5AS,True,23,129
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,1708,2001
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,589,2165
ENSG00000142192.20,chr21,25982477,26000014,ES,False,37,131
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,46,174
ENSG00000156273.15,chr21,29298773,29298953,TSS,False,39,125
ENSG00000156273.15,chr21,29298920,29299598,TSS,False,99,125
ENSG00000197381.15,chr21,45183510,45184922,ES,False,31,100
ENSG00000197381.15,chr21,45074166,45074793,TSS,True,69,158
ENSG00000197381.15,chr21,45222017,45224247,PAS,True,36,108
ENSG00000197381.15,chr21,45225546,45226563,PAS,True,81,110
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,25,207
ENSG00000154723.12,chr21,25734988,25735653,TSS,True,140,162
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,38,162
ENSG00000243927.5,chr21,34073745,34125340,ES,False,114,134
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,1417,6223
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,797,6223
ENSG00000155313.15,chr21,15842540,15864267,ES,False,98,109
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,26,163
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,15,134
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,59,128
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,112,127
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,87,128
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,53,103
ENSG00000071054.16,chr2,101859864,101864929,ES,False,89,106
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,22,111
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,99,111
ENSG00000071054.16,chr2,101870415,101873646,ES,False,59,111
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,86,112
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,17,122
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,393,439
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,107,557
ENSG00000138073.13,chr2,27133337,27133531,IR,False,135,152
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,16,155
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,89,106
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,26,101
