gene,chr,start,end,splice_type,novel,heart_right_ventricle_ENCFF660UTF_in_cov,heart_right_ventricle_ENCFF660UTF_total_cov
ENSG00000278817.1,chr22_KI270734v1_random,131563,131755,TSS,False,19,186
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,36,124
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,42,403
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,15,133
ENSG00000141959.16,chr21,44306754,44311005,ES,True,180,246
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,62,307
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,271,306
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,22,152
ENSG00000160310.17,chr21,46635763,46636895,ES,False,26,163
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,28,206
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,125,208
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,137,202
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,36,260
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,227,259
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,115,437
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,843,1062
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,275,1062
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,34,234
ENSG00000160194.17,chr21,42896924,42897047,TSS,True,205,234
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,335,638
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,553,638
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,195,638
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,449,577
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,114,150
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,109,149
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,26,147
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,90,153
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,65,153
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,26,100
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,20,139
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,20,115
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,28,143
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,32,143
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,30,102
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,55,116
ENSG00000075886.10,chr2,131479291,131479456,TSS,True,41,175
ENSG00000075886.10,chr2,131480121,131480749,TSS,True,151,175
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,22,117
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,96,117
ENSG00000204843.12,chr2,74371728,74377431,ES,False,39,354
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,151,473
ENSG00000204843.12,chr2,74367970,74368498,TSS,False,422,471
ENSG00000138073.13,chr2,27133337,27133531,IR,False,104,119
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,30,133
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,69,146
ENSG00000124006.14,chr2,219556723,219557822,ES,False,73,119
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,82,245
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,260,329
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,257,324
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,187,329
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,291,329
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,12,100
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,188,227
