gene,chr,start,end,splice_type,novel,GM12878_ENCFF219UJG_in_cov,GM12878_ENCFF219UJG_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,84,162
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,120,162
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,112,134
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,122,138
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,76,130
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,38,227
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,21,101
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,22,110
ENSG00000234883.5,chr21,25573892,25575161,PAS,False,20,195
ENSG00000243646.9,chr21,33266358,33266514,TSS,True,58,104
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,319,1392
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,1195,1379
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,131,336
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,236,326
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,59,339
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,75,159
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,83,473
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,59,202
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,35,215
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,64,130
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,92,130
ENSG00000160190.13,chr21,42580344,42581441,PAS,False,17,123
ENSG00000160310.17,chr21,46635763,46636895,ES,False,79,110
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,48,165
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,98,125
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,112,167
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,128,157
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,78,205
ENSG00000160209.18,chr21,43755950,43762297,PAS,True,15,143
ENSG00000157601.13,chr21,41426263,41427754,ES,False,152,723
ENSG00000157601.13,chr21,41427866,41432049,3AS,False,43,115
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,245,968
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,37,196
ENSG00000160201.11,chr21,43095743,43104314,ME,False,28,126
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,50,182
ENSG00000160216.18,chr21,43865118,43865345,TSS,False,67,107
ENSG00000183486.12,chr21,41361996,41362055,TSS,True,73,136
ENSG00000183486.12,chr21,41369618,41370645,TSS,True,110,135
ENSG00000183486.12,chr21,41407990,41409397,PAS,True,19,116
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,48,136
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,252,394
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,188,394
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,18,178
ENSG00000159110.19,chr21,33229888,33230216,TSS,True,40,128
ENSG00000159110.19,chr21,33262560,33264526,PAS,True,82,123
ENSG00000159110.19,chr21,33262792,33265664,PAS,True,80,123
ENSG00000275895.6,chr21,6487412,6495992,ME,False,33,169
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,52,224
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,111,516
ENSG00000160255.17,chr21,44894970,44895028,TSS,True,282,318
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,212,329
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,24,192
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,40,199
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,35,160
ENSG00000154719.13,chr21,25607402,25607522,TSS,True,34,150
ENSG00000154719.13,chr21,25592811,25592938,TSS,True,126,150
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,127,199
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,153,198
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,21,130
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,61,120
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,74,120
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,132,221
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,98,221
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,216,1658
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,228,1658
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,55,525
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,385,2856
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,70,157
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,131,157
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,21,102
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,271,497
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,32,243
ENSG00000115233.11,chr2,161411301,161411718,PAS,True,35,242
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,30,244
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,23,108
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,82,102
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,45,266
ENSG00000168918.13,chr2,233059844,233060612,TSS,True,129,157
ENSG00000168918.13,chr2,233204228,233204717,TSS,False,60,127
ENSG00000168918.13,chr2,233206705,233207904,PAS,True,30,139
ENSG00000115241.10,chr2,27381192,27381805,PAS,True,49,411
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,71,453
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,20,150
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,34,159
ENSG00000079263.18,chr2,230225714,230225903,TSS,True,39,143
ENSG00000079263.18,chr2,230270585,230273379,PAS,True,103,137
ENSG00000079263.18,chr2,230312585,230313217,PAS,True,98,141
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,24,180
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,96,130
ENSG00000196504.16,chr2,152677475,152679351,ES,False,26,185
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,149,185
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,177,210
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,172,203
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,104,197
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,85,216
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,180,216
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,638,732
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,110,751
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,28,144
ENSG00000144580.13,chr2,218568584,218568978,TSS,True,25,103
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,81,682
ENSG00000172845.14,chr2,173906457,173910257,PAS,True,20,134
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,86,136
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,84,136
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,122,136
ENSG00000198399.14,chr2,24315224,24328051,ES,False,86,107
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,78,119
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,64,119
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,28,130
ENSG00000138385.15,chr2,169798800,169798976,TSS,True,14,118
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,79,116
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,47,117
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,84,102
ENSG00000032389.12,chr2,3377647,3377973,TSS,True,26,119
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,38,103
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,78,100
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,19,126
ENSG00000168906.12,chr2,85541745,85541828,IR,True,126,141
ENSG00000168906.12,chr2,85541972,85542154,IR,True,123,141
ENSG00000168906.12,chr2,85542373,85542564,IR,False,118,142
ENSG00000168906.12,chr2,85542747,85542900,IR,True,119,147
ENSG00000168906.12,chr2,85543034,85543669,IR,True,98,146
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,48,187
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,53,148
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,128,148
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,76,107
ENSG00000065911.11,chr2,74198742,74205704,ES,True,443,497
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,481,571
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,153,571
ENSG00000135899.17,chr2,230168741,230169237,PAS,True,88,103
ENSG00000135899.17,chr2,230176473,230176724,PAS,True,52,102
ENSG00000135899.17,chr2,230219873,230220109,TSS,True,33,105
ENSG00000124831.18,chr2,237708630,237748363,ES,False,214,258
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,64,330
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,42,276
ENSG00000132305.20,chr2,86195337,86195559,TSS,True,84,102
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,13,113
ENSG00000173209.23,chr2,61186616,61187550,PAS,True,15,111
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,212,247
ENSG00000138442.9,chr2,202911435,202912409,TSS,False,23,132
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,125,163
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,123,163
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,132,163
ENSG00000168385.17,chr2,241315982,241324215,ES,False,360,439
ENSG00000168385.17,chr2,241314891,241315610,TSS,True,539,637
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,181,637
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,69,250
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,219,255
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,44,382
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,330,393
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,278,392
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,273,393
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,165,186
ENSG00000115307.16,chr2,74527838,74527939,IR,False,153,180
ENSG00000115307.16,chr2,74528006,74528247,IR,False,153,175
ENSG00000115307.16,chr2,74528935,74529131,IR,False,138,154
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,167,330
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,87,116
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,70,124
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,26,146
ENSG00000173744.17,chr2,227554435,227560363,PAS,True,20,167
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,110,190
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,26,106
ENSG00000055332.17,chr2,37148939,37156907,3AS,False,80,152
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,84,284
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,220,284
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,137,300
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,189,299
ENSG00000040933.15,chr2,98444823,98445085,TSS,True,61,169
ENSG00000040933.15,chr2,98587475,98591328,PAS,True,43,154
ENSG00000115685.14,chr2,241150547,241157806,ES,False,19,108
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,41,152
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,54,146
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,104,143
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,463,969
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,721,969
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,813,969
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,34,111
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,93,111
ENSG00000068724.15,chr2,46941070,46941725,TSS,True,34,153
ENSG00000068724.15,chr2,47073701,47076137,PAS,True,15,133
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,60,153
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,54,131
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,104,124
ENSG00000114978.17,chr2,74172749,74178660,3AS,False,24,212
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,62,275
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,33,153
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,128,148
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,93,234
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,84,156
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,112,155
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,122,157
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,39,119
ENSG00000115364.13,chr2,75647071,75647219,TSS,True,98,119
ENSG00000115364.13,chr2,75655063,75662204,PAS,True,30,104
ENSG00000115364.13,chr2,75652141,75652199,PAS,True,79,102
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,28,141
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,23,138
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,34,181
ENSG00000054219.10,chr2,159904588,159904761,TSS,True,28,106
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,72,145
ENSG00000197713.14,chr2,210002567,210002783,TSS,True,13,101
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,134,179
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,169,195
ENSG00000115687.13,chr2,241149413,241150286,TSS,True,264,341
ENSG00000115687.13,chr2,241126195,241127754,TSS,True,166,340
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,96,891
ENSG00000075884.13,chr2,143129317,143129466,TSS,True,23,108
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,611,697
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,263,697
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,53,108
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,12,104
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,41,195
ENSG00000123983.13,chr2,222887888,222908732,ES,False,58,110
