gene,chr,start,end,splice_type,novel,mucosa_of_descending_colon_ENCFF171AQO_in_cov,mucosa_of_descending_colon_ENCFF171AQO_total_cov
ENSG00000184012.11,chr21,41498189,41508080,5AS,True,263,308
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,145,410
ENSG00000184012.11,chr21,41507949,41508158,TSS,True,362,410
ENSG00000243646.9,chr21,33266358,33266514,TSS,True,51,156
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,28,109
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,90,109
ENSG00000141959.16,chr21,44306754,44311005,ES,True,447,529
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,175,708
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,611,700
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,19,104
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,25,147
ENSG00000160310.17,chr21,46635763,46636895,ES,False,171,314
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,161,350
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,236,342
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,99,129
ENSG00000160191.17,chr21,42653546,42653883,TSS,True,118,198
ENSG00000160191.17,chr21,42729299,42731949,TSS,True,131,193
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,15,115
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,22,107
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,76,166
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,81,445
ENSG00000160180.15,chr21,42315292,42315524,TSS,True,108,506
ENSG00000160180.15,chr21,42313484,42313631,TSS,True,418,506
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,1656,3225
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,2815,3210
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,1077,3225
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,2257,2753
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,37,243
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,12,118
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,59,342
ENSG00000163251.3,chr2,207769264,207769904,TSS,False,74,115
ENSG00000138073.13,chr2,27133337,27133531,IR,False,87,122
ENSG00000138073.13,chr2,27133721,27134286,IR,False,100,120
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,28,130
ENSG00000138073.13,chr2,27133116,27134674,TSS,True,112,130
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,92,105
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,98,111
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,34,111
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,12,110
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,331,384
ENSG00000196141.13,chr2,200419496,200440648,ES,False,98,153
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,174,202
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,73,202
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,37,194
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,154,183
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,45,110
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,91,110
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,94,110
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,124,387
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,70,111
ENSG00000115756.12,chr2,10396920,10419733,ES,False,109,143
ENSG00000168906.12,chr2,85543034,85543669,IR,True,153,254
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,101,254
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,172,254
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,39,116
ENSG00000124831.18,chr2,237708630,237748363,ES,False,153,171
ENSG00000124831.18,chr2,237749324,237753308,ES,False,74,176
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,168,197
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,52,197
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,99,178
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,110,196
ENSG00000127837.9,chr2,218265682,218265830,IR,False,219,252
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,213,248
ENSG00000115694.14,chr2,241499414,241500172,IR,False,202,253
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,39,196
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,251,292
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,128,292
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,252,292
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,60,373
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,281,451
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,278,450
ENSG00000115307.16,chr2,74528935,74529131,IR,False,202,260
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,43,307
ENSG00000158552.12,chr2,219208639,219208976,IR,False,82,101
ENSG00000158552.12,chr2,219209049,219209261,IR,False,80,101
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,51,105
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,64,105
ENSG00000158552.12,chr2,219208571,219209648,PAS,True,87,101
ENSG00000158552.12,chr2,219209261,219209648,PAS,True,21,101
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,73,259
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,123,527
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,422,527
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,38,183
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,18,107
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,95,107
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,45,209
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,393,533
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,152,521
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,20,178
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,17,140
ENSG00000187699.10,chr2,190180438,190181109,TSS,False,18,101
ENSG00000243147.7,chr2,27772692,27779432,ES,False,68,113
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,39,150
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,129,150
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,21,101
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,11,107
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,27,228
ENSG00000127831.10,chr2,218435307,218435434,TSS,True,73,106
ENSG00000127831.10,chr2,218419077,218419168,TSS,True,49,115
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,34,116
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,55,114
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,93,113
ENSG00000144021.2,chr2,96268658,96269267,IR,False,100,116
ENSG00000115762.16,chr2,131140275,131146636,ES,False,94,107
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,14,119
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,45,235
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,20,121
ENSG00000136717.14,chr2,127051243,127059010,ES,False,49,104
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,31,137
ENSG00000072195.14,chr2,219447788,219449271,TSS,True,192,249
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,193,246
ENSG00000072195.14,chr2,219466056,219466863,PAS,True,23,170
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,193,227
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,32,169
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,717,3850
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,80,109
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,40,110
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,15,147
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,144,662
