gene,chr,start,end,splice_type,novel,H1_ENCFF250BDM_in_cov,H1_ENCFF250BDM_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,20,113
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,18,130
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,15,137
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,27,264
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,136,448
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,308,437
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,53,448
ENSG00000184787.18,chr21,44773687,44777298,IR,True,91,122
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,36,159
ENSG00000184787.18,chr21,44773546,44774808,TSS,True,139,158
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,80,103
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,31,111
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,88,111
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,15,111
ENSG00000160200.17,chr21,43053647,43053861,IR,False,130,410
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,326,477
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,184,461
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,104,477
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,92,148
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,87,231
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,152,211
ENSG00000159140.19,chr21,33549475,33554631,PAS,True,124,144
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,169,225
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,133,225
ENSG00000159140.19,chr21,33559876,33560667,PAS,False,181,212
ENSG00000160214.12,chr21,43792729,43793318,IR,False,94,105
ENSG00000160310.17,chr21,46635763,46636895,ES,False,65,118
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,14,132
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,108,126
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,76,132
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,92,126
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,22,105
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,351,421
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,152,473
ENSG00000142192.20,chr21,25982477,26000014,ES,False,104,274
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,159,408
ENSG00000160201.11,chr21,43095743,43104314,ME,False,108,285
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,30,253
ENSG00000205726.14,chr21,33819323,33829623,ES,False,32,120
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,37,135
ENSG00000205726.14,chr21,33836986,33838635,PAS,True,15,131
ENSG00000274276.4,chr21,6445325,6445539,IR,False,135,415
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,184,460
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,300,461
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,93,482
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,26,108
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,14,108
ENSG00000275895.6,chr21,6487412,6495992,ME,False,69,216
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,95,590
ENSG00000156304.14,chr21,31685174,31685397,3AS,False,27,100
ENSG00000156304.14,chr21,31666727,31672354,PAS,True,20,107
ENSG00000156304.14,chr21,31681364,31685240,PAS,True,91,104
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,11,107
ENSG00000160285.14,chr21,46195756,46205835,ES,True,25,187
ENSG00000160285.14,chr21,46221975,46222662,5AS,False,20,172
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,110,210
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,139,210
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,40,340
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,32,311
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,88,161
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,80,161
ENSG00000138032.20,chr2,44168839,44169274,TSS,True,34,301
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,189,292
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,111,288
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,271,1294
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,93,343
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,28,123
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,33,186
ENSG00000197329.11,chr2,64144080,64144425,TSS,True,21,129
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,73,312
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,53,311
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,92,115
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,27,109
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,52,129
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,13,117
ENSG00000138430.15,chr2,174229451,174248451,ES,False,14,131
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,22,155
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,186,257
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,179,246
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,126,283
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,216,283
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,173,312
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,42,335
ENSG00000196141.13,chr2,200419496,200440648,ES,False,245,364
