gene,chr,start,end,splice_type,novel,right_cardiac_atrium_ENCFF911RNV_in_cov,right_cardiac_atrium_ENCFF911RNV_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,76,167
ENSG00000182670.13,chr21,37073364,37108391,ES,False,86,165
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,86,197
ENSG00000182670.13,chr21,37073473,37108391,ES,False,20,105
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,144,309
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,202,309
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,146,288
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,249,288
ENSG00000280071.3,chr21,5118847,5124755,ES,False,94,690
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,91,724
ENSG00000141959.16,chr21,44306754,44311005,ES,True,571,694
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,221,916
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,790,916
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,113,222
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,145,220
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,43,222
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,57,327
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,33,262
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,105,157
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,58,163
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,111,163
ENSG00000157538.13,chr21,37232451,37238459,ES,False,13,112
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,31,157
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,84,107
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,96,107
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,108,687
ENSG00000160310.17,chr21,46635763,46636443,IR,True,108,122
ENSG00000160310.17,chr21,46635763,46636895,ES,False,164,836
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,307,905
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,665,896
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,212,255
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,133,255
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,15,100
ENSG00000166979.12,chr21,32413013,32467695,ES,False,25,106
ENSG00000160305.17,chr21,46458077,46459222,TSS,True,48,112
ENSG00000160305.17,chr21,46498607,46498833,TSS,True,97,112
ENSG00000160305.17,chr21,46567369,46570021,PAS,True,68,109
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,179,1207
ENSG00000142192.20,chr21,25982477,26000014,ES,False,30,111
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,25,131
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,14,137
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,38,178
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,159,178
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,32,127
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,106,126
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,45,193
ENSG00000160299.16,chr21,46324057,46324282,TSS,True,91,155
ENSG00000160299.16,chr21,46324635,46325210,TSS,False,134,155
ENSG00000160299.16,chr21,46348162,46348325,TSS,False,134,153
ENSG00000160299.16,chr21,46353986,46354023,PAS,True,99,111
ENSG00000160299.16,chr21,46349683,46350212,PAS,False,82,110
ENSG00000160299.16,chr21,46356973,46357133,PAS,True,95,114
ENSG00000160299.16,chr21,46399589,46399774,PAS,True,105,136
ENSG00000160299.16,chr21,46445283,46445771,PAS,True,133,154
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,236,1703
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,51,265
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,39,239
ENSG00000154723.12,chr21,25734988,25735653,TSS,True,91,111
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,39,111
ENSG00000160194.17,chr21,42897047,42908863,ES,True,89,127
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,17,134
ENSG00000160194.17,chr21,42896924,42897047,TSS,True,119,134
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,192,235
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,127,242
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,123,145
ENSG00000205581.10,chr21,39345274,39348291,ES,False,125,153
ENSG00000205581.10,chr21,39345274,39348291,5AS,True,125,142
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,26,158
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,30,159
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,222,300
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,265,300
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,243,296
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,124,193
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,74,189
ENSG00000185437.13,chr21,39451832,39452141,TSS,True,14,107
ENSG00000135930.13,chr2,232558018,232564246,ES,True,172,207
ENSG00000135930.13,chr2,232567214,232580903,ES,False,61,203
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,32,257
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,37,238
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,36,120
ENSG00000082898.16,chr2,61482956,61483092,TSS,True,102,114
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,140,156
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,41,196
ENSG00000187514.16,chr2,231711366,231712516,TSS,True,172,195
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,45,247
ENSG00000071967.11,chr2,171522249,171522738,TSS,True,21,196
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,16,114
ENSG00000055917.15,chr2,20253821,20253899,TSS,True,52,102
ENSG00000055917.15,chr2,20350809,20350896,TSS,False,92,104
ENSG00000198380.12,chr2,69350183,69354488,ES,False,87,261
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,23,153
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,68,153
ENSG00000119787.13,chr2,38298143,38298561,TSS,True,102,152
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,82,657
ENSG00000204634.12,chr2,101059539,101090253,5AS,False,85,123
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,78,161
ENSG00000204634.12,chr2,101010389,101011026,PAS,True,101,161
ENSG00000204634.12,chr2,101151126,101151527,TSS,True,34,161
ENSG00000204843.12,chr2,74371728,74377431,ES,False,144,597
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,162,723
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,98,146
ENSG00000204120.14,chr2,232697392,232703423,ES,False,144,227
ENSG00000204120.14,chr2,232703489,232735154,ES,False,137,230
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,64,323
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,242,276
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,220,307
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,275,314
ENSG00000204120.14,chr2,232856792,232860574,PAS,True,272,318
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,225,299
ENSG00000158019.20,chr2,28298491,28338449,ES,True,191,232
ENSG00000158019.20,chr2,27890511,27890842,TSS,True,27,239
ENSG00000138073.13,chr2,27133337,27133531,IR,False,439,493
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,172,372
ENSG00000124006.14,chr2,219556723,219557822,ES,False,261,328
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,161,326
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,411,583
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,379,575
ENSG00000124006.14,chr2,219557822,219558216,TSS,True,348,417
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,365,417
ENSG00000124006.14,chr2,219559224,219559543,TSS,False,364,417
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,453,583
ENSG00000124006.14,chr2,219566829,219567754,TSS,True,523,583
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,52,119
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,86,119
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,104,126
ENSG00000183023.18,chr2,40512348,40512602,TSS,True,115,161
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,99,117
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,31,131
ENSG00000115648.13,chr2,237518648,237525600,ES,False,50,410
ENSG00000115648.13,chr2,237527516,237540347,ES,False,146,411
ENSG00000115648.13,chr2,237540533,237542566,ES,False,74,415
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,119,431
ENSG00000115648.13,chr2,237510453,237510795,TSS,True,334,430
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,86,131
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,81,131
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,112,131
ENSG00000198399.14,chr2,24315224,24328051,ES,False,95,113
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,106,130
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,85,130
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,107,130
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,19,137
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,234,640
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,563,638
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,569,639
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,65,121
ENSG00000152291.13,chr2,85326507,85327554,TSS,True,105,120
ENSG00000152256.13,chr2,172555968,172556346,TSS,True,16,114
ENSG00000152256.13,chr2,172597612,172599143,PAS,False,90,111
ENSG00000152256.13,chr2,172595828,172599153,PAS,True,34,105
ENSG00000168906.12,chr2,85543034,85543669,IR,True,677,838
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,174,840
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,706,837
ENSG00000152102.17,chr2,131055552,131055644,TSS,True,116,129
ENSG00000065911.11,chr2,74198742,74205704,ES,True,115,141
ENSG00000065911.11,chr2,74198742,74207703,ES,False,34,176
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,86,250
ENSG00000124831.18,chr2,237708630,237748363,ES,False,31,157
ENSG00000124831.18,chr2,237749324,237753308,ES,False,36,165
ENSG00000124831.18,chr2,237756187,237760063,ES,False,44,144
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,69,203
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,173,201
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,125,179
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,145,171
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,127,203
ENSG00000077232.17,chr2,182732542,182740298,ES,False,25,149
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,19,174
ENSG00000114923.16,chr2,219627745,219627959,3AS,False,46,133
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,140,250
ENSG00000114923.16,chr2,219627156,219627745,TSS,True,1202,1337
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,978,1336
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,80,112
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,117,163
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,83,163
ENSG00000168385.17,chr2,241315982,241335125,ME,False,47,122
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,251,2182
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,152,239
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,199,239
ENSG00000198925.11,chr2,219222644,219223333,TSS,True,201,235
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,214,239
ENSG00000163492.15,chr2,178835755,178837744,PAS,True,176,272
ENSG00000163492.15,chr2,178856255,178856397,PAS,True,187,266
ENSG00000163492.15,chr2,179049839,179050195,TSS,True,98,277
ENSG00000163492.15,chr2,178868025,178868207,TSS,True,175,222
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,1094,1871
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,1226,1871
ENSG00000115307.16,chr2,74528935,74529131,IR,False,412,461
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,141,201
ENSG00000116016.13,chr2,46381976,46382089,TSS,True,170,201
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,100,112
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,26,126
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,100,130
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,53,135
ENSG00000115548.16,chr2,86441329,86441444,TSS,True,22,105
ENSG00000115548.16,chr2,86492038,86492725,PAS,True,30,105
ENSG00000115548.16,chr2,86480166,86480362,PAS,True,88,103
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,97,130
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,28,112
ENSG00000132329.10,chr2,237859729,237860003,TSS,False,97,112
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,33,248
ENSG00000118260.14,chr2,207560372,207567462,ES,False,84,138
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,26,155
ENSG00000119185.12,chr2,9418732,9422478,ES,False,74,143
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,25,202
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,158,202
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,57,202
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,201,241
ENSG00000077044.10,chr2,233418895,233419421,TSS,False,136,241
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,117,210
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,101,209
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,67,216
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,165,213
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,20,176
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,560,1021
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,504,1015
ENSG00000196975.15,chr2,69643347,69644905,TSS,False,98,114
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,18,108
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,40,278
ENSG00000128708.12,chr2,171922507,171925536,ES,True,174,199
ENSG00000138399.17,chr2,169537340,169540050,ES,False,17,125
ENSG00000138399.17,chr2,169563350,169571652,ES,False,29,128
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,25,130
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,113,130
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,15,130
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,128,147
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,115,154
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,134,156
ENSG00000118960.12,chr2,20651031,20651157,TSS,True,43,103
ENSG00000003436.15,chr2,187503770,187554199,ES,False,103,148
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,17,169
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,84,134
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,87,136
ENSG00000162878.12,chr2,42051707,42055020,TSS,True,119,134
ENSG00000162878.12,chr2,42057602,42058528,PAS,True,15,131
ENSG00000115380.19,chr2,55922447,55923710,ES,False,383,540
ENSG00000138434.16,chr2,181916427,181918597,ES,True,75,102
ENSG00000138434.16,chr2,181919446,181921947,ES,False,24,116
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,40,160
ENSG00000138434.16,chr2,181915344,181916427,TSS,True,101,120
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,44,160
ENSG00000138434.16,chr2,181892614,181894698,PAS,True,108,124
ENSG00000138434.16,chr2,181901765,181902418,PAS,False,107,125
ENSG00000172059.10,chr2,10043549,10043758,TSS,False,93,137
ENSG00000172059.10,chr2,10047880,10048595,TSS,True,82,137
ENSG00000232002.1,chr2,242058884,242060296,ES,True,36,116
ENSG00000232002.1,chr2,242060519,242060614,IR,True,36,108
ENSG00000232002.1,chr2,242060519,242084095,3AS,True,40,111
ENSG00000232002.1,chr2,242053927,242058884,PAS,True,38,154
ENSG00000232002.1,chr2,242046319,242047763,PAS,False,135,157
ENSG00000128654.13,chr2,176269669,176296859,ES,False,125,142
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,19,176
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,47,103
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,79,111
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,23,100
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,106,153
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,20,199
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,70,588
ENSG00000123983.13,chr2,222887888,222908732,ES,False,137,195
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,86,105
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,83,106
ENSG00000136699.19,chr2,130157250,130158918,TSS,True,92,105
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,90,617
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,207,262
ENSG00000067066.16,chr2,230416328,230442936,ES,False,86,357
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,64,147
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,153,369
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,298,369
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,56,225
ENSG00000168397.16,chr2,241651006,241651111,TSS,True,199,225
