gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF940WVU_in_cov,endodermal_cell_ENCFF940WVU_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,156,185
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,156,265
ENSG00000182670.13,chr21,37156906,37159698,ES,False,278,331
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,282,467
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,369,467
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,23,119
ENSG00000280071.3,chr21,5118847,5124755,ES,False,32,158
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,120,853
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,114,283
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,171,273
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,30,283
ENSG00000184787.18,chr21,44773687,44777298,IR,True,106,118
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,34,153
ENSG00000236384.7,chr21,41712044,41712815,IR,True,29,100
ENSG00000236384.7,chr21,41712373,41712815,IR,False,44,115
ENSG00000236384.7,chr21,41713000,41713550,IR,True,86,116
ENSG00000236384.7,chr21,41713000,41714019,ES,True,51,113
ENSG00000236384.7,chr21,41713936,41714019,IR,True,55,105
ENSG00000236384.7,chr21,41711460,41712044,PAS,True,141,171
ENSG00000236384.7,chr21,41711460,41713000,PAS,True,129,171
ENSG00000236384.7,chr21,41711462,41714132,PAS,True,145,169
ENSG00000236384.7,chr21,41711460,41712373,PAS,False,129,171
ENSG00000236384.7,chr21,41714233,41715654,TSS,True,20,185
ENSG00000160200.17,chr21,43053647,43053861,IR,False,53,285
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,270,328
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,89,316
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,74,328
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,112,204
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,116,281
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,177,257
ENSG00000159140.19,chr21,33549475,33554631,PAS,True,145,168
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,183,275
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,164,275
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,35,117
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,101,117
ENSG00000160310.17,chr21,46635763,46636895,ES,False,205,240
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,29,273
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,219,256
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,133,271
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,192,259
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,36,134
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,952,1160
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,485,1305
ENSG00000142192.20,chr21,25982477,26000014,ES,False,137,298
ENSG00000142192.20,chr21,25982477,26021839,ES,False,42,334
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,148,435
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,46,107
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,67,107
ENSG00000160201.11,chr21,43095743,43101365,ES,False,87,104
ENSG00000160201.11,chr21,43095743,43104314,ME,False,87,208
ENSG00000160201.11,chr21,43100519,43104314,ES,False,121,138
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,38,141
ENSG00000160216.18,chr21,43865118,43865345,TSS,False,25,100
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,49,434
ENSG00000205726.14,chr21,33819323,33829623,ES,False,45,131
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,61,163
ENSG00000205726.14,chr21,33836986,33838635,PAS,True,19,146
ENSG00000274276.4,chr21,6445325,6445539,IR,False,50,228
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,70,246
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,188,246
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,65,262
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,38,313
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,26,247
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,179,622
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,82,622
ENSG00000275895.6,chr21,6487412,6495992,ME,False,58,131
ENSG00000205581.10,chr21,39345274,39345829,IR,False,97,108
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,99,789
ENSG00000156304.14,chr21,31685174,31685397,3AS,False,39,134
ENSG00000156304.14,chr21,31666727,31672354,PAS,True,15,142
ENSG00000160285.14,chr21,46195756,46205835,ES,True,12,117
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,49,133
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,106,133
ENSG00000185658.13,chr21,39313442,39314127,TSS,True,32,118
ENSG00000154639.18,chr21,17559131,17565427,ES,False,20,159
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,37,160
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,140,175
ENSG00000135930.13,chr2,232567214,232568944,IR,True,94,106
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,98,192
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,108,192
ENSG00000138032.20,chr2,44168839,44169274,TSS,True,20,124
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,65,122
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,62,120
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,57,117
ENSG00000071054.16,chr2,101859864,101864929,ES,False,82,118
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,19,123
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,34,123
ENSG00000071054.16,chr2,101870415,101873646,ES,False,108,123
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,76,168
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,129,731
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,106,386
ENSG00000115109.13,chr2,120013027,120013210,TSS,True,34,119
ENSG00000115109.13,chr2,120174840,120179119,PAS,True,80,101
ENSG00000124839.12,chr2,237577382,237585997,ES,False,94,427
ENSG00000124839.12,chr2,237575386,237576564,TSS,True,630,715
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,227,716
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,45,223
ENSG00000119787.13,chr2,38296113,38298143,IR,True,158,208
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,71,230
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,164,213
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,32,230
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,28,130
ENSG00000197329.11,chr2,64144080,64144425,TSS,True,53,356
