gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF211JEP_in_cov,endodermal_cell_ENCFF211JEP_total_cov
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,29,110
ENSG00000280071.3,chr21,5119805,5121111,PAS,True,97,109
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,39,135
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,87,136
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,26,241
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,112,136
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,98,136
ENSG00000160200.17,chr21,43062310,43062396,TSS,True,107,134
ENSG00000160310.17,chr21,46635763,46636895,ES,False,146,189
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,54,247
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,129,217
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,195,246
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,198,233
ENSG00000160310.17,chr21,46660832,46661277,PAS,True,206,242
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,94,728
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,646,728
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,112,339
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,247,339
ENSG00000160201.11,chr21,43095743,43104314,ME,False,334,843
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,191,1073
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,124,138
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,39,149
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,123,149
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,16,109
ENSG00000274276.4,chr21,6445325,6445539,IR,False,32,109
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,31,108
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,80,115
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,90,154
