gene,chr,start,end,splice_type,novel,type_B_pancreatic_cell_ENCFF973OML_in_cov,type_B_pancreatic_cell_ENCFF973OML_total_cov
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,84,115
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,100,195
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,165,195
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,127,163
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,100,159
ENSG00000182670.13,chr21,37201439,37203108,PAS,True,169,188
ENSG00000280071.3,chr21,5118847,5124755,ES,False,38,313
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,54,112
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,19,142
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,94,121
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,51,120
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,105,121
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,247,457
ENSG00000159131.16,chr21,33508536,33509920,PAS,True,401,457
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,298,455
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,54,457
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,11,105
ENSG00000159079.18,chr21,32601973,32602271,IR,False,92,103
ENSG00000159079.18,chr21,32602367,32603160,IR,False,89,102
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,11,107
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,131,169
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,147,169
ENSG00000156299.13,chr21,31558926,31559512,TSS,False,54,104
ENSG00000156299.13,chr21,31344137,31344285,TSS,False,65,104
ENSG00000160310.17,chr21,46635763,46636895,ES,False,276,338
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,120,350
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,255,349
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,88,124
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,56,124
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,39,128
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,50,170
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,128,170
ENSG00000205758.11,chr21,33591207,33595730,3AS,False,98,116
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,168,199
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,91,205
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,131,203
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,31,162
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,80,141
ENSG00000205726.14,chr21,33774728,33774841,PAS,True,89,141
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,15,120
ENSG00000154640.14,chr21,17598824,17604859,ES,False,109,130
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,91,108
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,15,106
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,24,122
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,97,147
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,116,145
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,84,147
ENSG00000035115.21,chr2,219001,229965,ES,False,92,192
ENSG00000035115.21,chr2,263983,264695,TSS,True,60,201
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,223,2127
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,39,226
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,98,169
ENSG00000115761.15,chr2,10589576,10589751,PAS,True,141,169
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,149,169
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,132,169
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,16,149
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,103,147
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,69,147
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,125,147
ENSG00000197329.11,chr2,64144080,64144425,TSS,True,26,105
ENSG00000204120.14,chr2,232697392,232703423,ES,False,207,282
ENSG00000204120.14,chr2,232703489,232735154,ES,False,201,287
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,300,340
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,218,346
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,276,348
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,267,346
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,24,115
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,18,115
ENSG00000158019.20,chr2,28298491,28338449,ES,True,87,121
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,34,221
ENSG00000013441.15,chr2,200859746,200860124,IR,False,118,138
ENSG00000013441.15,chr2,200859746,200861237,ES,False,237,355
ENSG00000013441.15,chr2,200860215,200861237,IR,False,118,136
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,96,118
ENSG00000196504.16,chr2,152677475,152679351,ES,False,78,353
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,271,353
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,325,371
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,181,371
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,125,379
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,298,379
ENSG00000162928.8,chr2,61048471,61051726,PAS,False,23,108
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,110,125
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,30,125
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,22,132
ENSG00000163006.11,chr2,108786738,108786915,TSS,True,31,103
ENSG00000163006.11,chr2,108786747,108786933,TSS,True,84,103
ENSG00000163006.11,chr2,108876087,108885485,PAS,True,19,100
ENSG00000115963.13,chr2,150487455,150487548,IR,False,256,302
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,321,367
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,101,367
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,47,108
ENSG00000116062.14,chr2,47806778,47807665,PAS,True,21,108
ENSG00000204262.12,chr2,189031881,189034216,PAS,True,33,107
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,79,114
ENSG00000132300.18,chr2,86127305,86127940,IR,True,316,352
ENSG00000065911.11,chr2,74198742,74205704,ES,True,315,376
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,177,1409
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,545,608
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,20,184
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,29,123
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,33,117
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,260,1658
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,40,139
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,115,139
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,20,137
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,110,618
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,483,627
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,416,627
ENSG00000115307.16,chr2,74528006,74528247,IR,False,114,130
ENSG00000115307.16,chr2,74528935,74529131,IR,False,91,124
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,16,143
ENSG00000085978.21,chr2,233273052,233274675,ES,False,111,161
ENSG00000085978.21,chr2,233251640,233251942,TSS,True,23,170
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,106,126
ENSG00000119760.15,chr2,27661388,27662178,IR,False,106,155
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,142,182
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,74,216
ENSG00000119760.15,chr2,27660983,27661378,TSS,True,188,216
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,176,216
ENSG00000128699.13,chr2,189782602,189783013,IR,False,44,107
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,93,151
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,84,154
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,197,494
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,316,494
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,237,309
ENSG00000119041.10,chr2,196763030,196764685,PAS,True,23,196
ENSG00000118260.14,chr2,207560372,207567462,ES,False,135,209
ENSG00000119185.12,chr2,9406905,9407448,IR,False,81,110
ENSG00000119185.12,chr2,9402706,9406036,PAS,True,108,122
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,47,122
ENSG00000119185.12,chr2,9405688,9407598,PAS,True,97,122
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,84,124
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,55,124
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,17,112
ENSG00000115392.11,chr2,58162947,58163028,IR,False,127,147
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,126,147
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,16,158
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,128,268
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,147,268
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,215,318
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,220,318
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,226,318
ENSG00000115738.9,chr2,8682906,8683684,IR,True,415,471
ENSG00000115738.9,chr2,8683684,8684451,PAS,True,56,474
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,61,373
ENSG00000115459.17,chr2,85390759,85391752,PAS,True,30,104
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,32,218
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,33,227
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,169,199
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,156,199
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,199,229
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,175,199
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,215,265
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,65,286
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,233,286
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,87,270
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,210,270
ENSG00000135968.20,chr2,108449280,108449632,5AS,False,92,108
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,24,116
