gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF830FDH_in_cov,endodermal_cell_ENCFF830FDH_total_cov
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,47,122
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,71,122
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,31,208
ENSG00000160200.17,chr21,43053647,43053861,IR,False,37,126
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,166,207
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,40,129
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,145,207
ENSG00000160200.17,chr21,43062310,43062396,TSS,True,174,207
ENSG00000160310.17,chr21,46635763,46636895,ES,False,135,159
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,66,229
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,117,192
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,185,230
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,178,213
ENSG00000160310.17,chr21,46660832,46661277,PAS,True,196,225
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,101,671
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,583,671
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,88,265
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,200,265
ENSG00000160201.11,chr21,43095743,43101365,ES,False,274,307
ENSG00000160201.11,chr21,43095743,43104314,ME,False,274,603
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,295,933
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,57,143
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,106,143
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,95,145
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,103,843
ENSG00000160194.17,chr21,42897047,42908863,ES,True,92,120
ENSG00000160194.17,chr21,42908863,42909673,PAS,True,20,146
ENSG00000275895.6,chr21,6487412,6495992,ME,False,180,460
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,285,771
ENSG00000205581.10,chr21,39345274,39348291,ES,False,286,342
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,174,483
ENSG00000185808.13,chr21,37069624,37072433,ES,False,71,101
ENSG00000185808.13,chr21,37072999,37073126,TSS,False,23,108
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,32,105
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,44,269
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,230,269
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,132,1226
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,957,1228
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,1020,1220
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,572,1184
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,231,1800
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,1586,1800
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,122,650
ENSG00000124839.12,chr2,237577382,237585997,ES,False,131,643
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,69,614
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,441,1245
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,308,640
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,354,639
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,69,144
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,105,144
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,48,127
ENSG00000023228.13,chr2,206130087,206130197,TSS,True,99,117
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,78,208
ENSG00000084754.11,chr2,26234216,26234355,TSS,True,172,206
ENSG00000115241.10,chr2,27383365,27383909,TSS,True,41,135
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,241,760
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,538,760
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,112,144
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,121,168
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,77,146
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,104,191
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,159,191
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,185,770
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,21,171
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,267,1627
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,283,578
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,408,578
ENSG00000162961.13,chr2,32039278,32039328,TSS,True,489,578
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,35,134
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,75,103
ENSG00000116062.14,chr2,47801564,47803685,TSS,True,78,103
ENSG00000116062.14,chr2,47801790,47805027,TSS,True,69,103
ENSG00000168906.12,chr2,85543034,85543669,IR,True,81,121
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,73,182
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,40,121
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,88,121
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,34,114
ENSG00000132300.18,chr2,86137468,86142103,PAS,False,27,101
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,33,126
ENSG00000065911.11,chr2,74208566,74208721,TSS,True,106,126
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,101,519
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,436,2309
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,153,466
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,41,102
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,474,823
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,454,817
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,130,145
ENSG00000115307.16,chr2,74528935,74529131,IR,False,118,137
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,86,111
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,32,118
