gene,chr,start,end,splice_type,novel,H9_ENCFF292UIE_in_cov,H9_ENCFF292UIE_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,148232,150349,ES,True,57,396
ENSG00000277196.4,chr22_KI270734v1_random,151021,161313,ES,True,65,400
ENSG00000182670.13,chr21,37073364,37108391,ES,False,79,114
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,79,115
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,50,165
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,133,165
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,135,160
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,87,159
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,140,158
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,143,189
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,73,188
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,170,189
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,568,1157
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,680,1152
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,84,144
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,70,155
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,95,155
ENSG00000159079.18,chr21,32601973,32602271,IR,False,370,420
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,55,432
ENSG00000160200.17,chr21,43053647,43053861,5AS,True,111,162
ENSG00000160200.17,chr21,43053647,43056802,ES,True,34,207
ENSG00000160200.17,chr21,43056099,43056802,IR,True,121,183
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,334,3175
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,114,173
ENSG00000160190.13,chr21,42513924,42518276,ES,True,75,145
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,155,302
ENSG00000160190.13,chr21,42514813,42514935,TSS,True,200,302
ENSG00000160190.13,chr21,42580344,42581441,PAS,False,40,300
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,48,300
ENSG00000160310.17,chr21,46635763,46636895,ES,False,171,461
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,429,493
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,198,500
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,402,497
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,90,101
ENSG00000183570.16,chr21,45643868,45735391,ES,False,67,103
ENSG00000183570.16,chr21,45735429,45849960,ES,True,61,100
ENSG00000183570.16,chr21,45911030,45917587,ES,False,33,115
ENSG00000183570.16,chr21,45917629,45929919,3AS,False,38,115
ENSG00000183570.16,chr21,45643661,45643868,TSS,True,25,132
ENSG00000183570.16,chr21,45643663,45643871,TSS,True,114,132
ENSG00000183570.16,chr21,45941669,45942455,PAS,True,16,132
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,25,122
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,109,122
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,57,251
ENSG00000160193.11,chr21,42859722,42873550,ES,True,38,246
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,106,270
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,229,270
