gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos,coverage
ENSG00000277196.4,AC007325.2,-,6,3,12,146639,150433,86,0.5554326554922148,1
ENSG00000277196.4,AC007325.2,-,7,2,12,147698,150433,251,0.3982516715992547,0
ENSG00000182670.13,TTC3,+,24,0,27,37073358,37087248,248,0.0893292992982813,0
ENSG00000182670.13,TTC3,+,3,0,6,37073358,37122983,637,0.43203824529742485,1
ENSG00000182670.13,TTC3,+,39,3,45,37088307,37091293,1021,0.12733672754161243,1
ENSG00000182670.13,TTC3,+,0,8,11,37095396,37097954,123,0.8910974030919199,4
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.25982666666666665,0
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.25982666666666665,0
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,735,0.5320615541142057,0
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833,0
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833,0
ENSG00000182670.13,TTC3,+,11,1,15,37108415,37124620,1437,0.549624289583095,1
ENSG00000182670.13,TTC3,+,8,5,16,37126137,37135380,315,0.7310005849886817,0
ENSG00000182670.13,TTC3,+,23,20,46,37144644,37150083,508,0.5706356787403516,1
ENSG00000182670.13,TTC3,+,1,21,25,37147594,37150823,929,0.9651434819646285,1
ENSG00000182670.13,TTC3,+,9,13,25,37148635,37151897,890,0.8325817788591511,0
ENSG00000182670.13,TTC3,+,10,16,29,37152008,37154838,1020,0.7105650408666205,1
ENSG00000182670.13,TTC3,+,8,26,37,37153255,37156660,238,0.7455757664260224,0
ENSG00000182670.13,TTC3,+,9,17,29,37153255,37156660,1020,0.7241680407070545,1
ENSG00000182670.13,TTC3,+,16,16,35,37156903,37159702,509,0.6612441568340736,1
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16607087,28,0.7853718921783195,0
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16607087,28,0.7853718921783195,0
ENSG00000186866.16,POFUT2,-,3,5,11,45277140,45278149,266,0.42757223985301485,1
ENSG00000186866.16,POFUT2,-,6,1,10,45283516,45285697,251,0.13536396705272402,1
ENSG00000186866.16,POFUT2,-,6,1,10,45283516,45285697,252,0.13660665803433436,1
ENSG00000159055.3,MIS18A,-,0,1,4,32269110,32274833,8,0.6538675312644743,7
ENSG00000157617.16,C2CD2,-,0,10,13,41889341,41905812,37,0.8191409029522385,1
ENSG00000280071.3,GATD3B,-,1,1,5,5118835,5125882,357,0.5000415558510638,0
ENSG00000159256.12,MORC3,+,10,0,13,36320270,36333651,175,0.16768346043255408,1
ENSG00000159256.12,MORC3,+,15,0,18,36320270,36333651,85,0.1195763913505849,0
ENSG00000159256.12,MORC3,+,12,0,15,36320270,36333651,191,0.1364660738214155,0
ENSG00000159256.12,MORC3,+,7,5,15,36344653,36356633,114,0.53932345223743,0
ENSG00000159256.12,MORC3,+,5,7,15,36345020,36359975,82,0.5721946463393015,0
ENSG00000224905.6,AP001347.1,+,1,0,4,14027490,14084025,62,0.24198386517852566,1
ENSG00000224905.6,AP001347.1,+,1,0,4,14027490,14084025,63,0.24130040142159495,1
ENSG00000224905.6,AP001347.1,+,0,0,3,14027490,14143701,4,0.496992198514898,84
ENSG00000224905.6,AP001347.1,+,0,1,4,14084025,14143701,14,0.7385876160038284,0
ENSG00000183421.11,RIPK4,-,5,0,8,41749186,41766947,30,0.3245103707451037,0
ENSG00000184012.11,TMPRSS2,-,10,0,13,41489591,41507986,42,0.21360483278206543,1
ENSG00000184012.11,TMPRSS2,-,9,0,12,41489591,41508082,182,0.21368276178460832,1
ENSG00000142197.12,DOP1B,+,4,8,15,36278239,36288042,122,0.7430738402031829,1
ENSG00000205670.10,SMIM11A,+,1,2,6,34379467,34399806,28,0.5175332305206727,0
ENSG00000205670.10,SMIM11A,+,0,1,4,34379467,34402760,21,0.5723013135686504,6
ENSG00000243646.9,IL10RB,+,3,0,6,33266509,33279755,63,0.2205935281222393,0
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5585897,100,0.47128472323859144,1
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,0
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,23,0.47775043844724235,1
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,0
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,23,0.47775043844724235,1
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,30,0.4775661927742272,2
ENSG00000274333.4,CU633967.1,+,1,3,7,5678358,5696133,86,0.9236183163865256,1
ENSG00000274333.4,CU633967.1,+,1,3,7,5678358,5696133,86,0.9236183163865256,1
ENSG00000274333.4,CU633967.1,+,0,3,6,5678358,5696133,61,0.915886088101377,0
ENSG00000274333.4,CU633967.1,+,0,4,7,5679325,5695331,60,0.9164638368768555,0
ENSG00000274333.4,CU633967.1,+,0,4,7,5679325,5696523,110,0.9247601402310093,1
ENSG00000274333.4,CU633967.1,+,0,4,7,5679325,5696523,110,0.9247601402310093,1
ENSG00000157554.18,ERG,-,3,4,10,38392411,38403537,127,0.9459421500698636,0
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44306681,926,0.1239385065885798,0
ENSG00000141959.16,PFKL,+,20,0,23,44300189,44306681,249,0.12288353001539251,0
ENSG00000141959.16,PFKL,+,20,0,23,44300189,44306681,249,0.12288353001539251,0
ENSG00000141959.16,PFKL,+,15,0,18,44300189,44312107,889,0.22253975232651865,0
ENSG00000141959.16,PFKL,+,19,1,23,44304432,44306681,633,0.20081726892912116,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000141959.16,PFKL,+,16,1,20,44306736,44312978,255,0.3586522614905695,0
ENSG00000141959.16,PFKL,+,14,4,21,44313121,44316251,1021,0.5287689562890276,0
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353,0
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353,0
