gene,chr,start,end,splice_type,novel,type_B_pancreatic_cell_ENCFF058HQU_in_cov,type_B_pancreatic_cell_ENCFF058HQU_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,61,119
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,26,118
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,114,136
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,45,136
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,118,136
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,121,244
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,141,237
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,40,244
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,23,112
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,122,158
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,114,224
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,127,219
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,33,112
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,91,111
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,36,116
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,85,116
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,110,135
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,47,140
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,104,139
ENSG00000154640.14,chr21,17598824,17604859,ES,False,110,124
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,123,137
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,14,136
ENSG00000135930.13,chr2,232567214,232568944,IR,True,90,112
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,60,150
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,128,149
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,116,150
ENSG00000035115.21,chr2,219001,229965,ES,False,257,498
ENSG00000035115.21,chr2,263983,264695,TSS,True,76,516
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,205,1196
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,24,186
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,59,129
ENSG00000115761.15,chr2,10589576,10589751,PAS,True,114,129
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,113,129
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,107,129
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,74,114
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,63,114
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,91,113
ENSG00000115339.13,chr2,165794014,165794777,TSS,True,35,279
ENSG00000144029.11,chr2,95101723,95106422,ES,False,22,130
ENSG00000115750.16,chr2,9913158,9915268,PAS,True,93,108
ENSG00000115750.16,chr2,9933782,9934491,PAS,True,51,108
ENSG00000115750.16,chr2,9911510,9911556,PAS,True,91,108
ENSG00000204120.14,chr2,232697392,232703423,ES,False,187,226
ENSG00000204120.14,chr2,232703489,232735154,ES,False,145,230
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,34,287
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,228,266
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,185,273
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,213,274
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,215,272
ENSG00000158019.20,chr2,27890842,27894532,ES,False,97,116
ENSG00000158019.20,chr2,28298491,28338449,ES,True,80,115
ENSG00000013441.15,chr2,200859746,200861237,ES,False,167,316
ENSG00000196504.16,chr2,152677475,152679351,ES,False,127,395
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,289,389
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,141,404
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,143,410
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,312,410
ENSG00000162928.8,chr2,61048471,61051726,PAS,False,22,146
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,19,125
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,100,961
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,20,124
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,128,278
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,97,117
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,83,117
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,79,117
ENSG00000115963.13,chr2,150487455,150487548,IR,False,270,308
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,116,388
ENSG00000168906.12,chr2,85543034,85543669,IR,True,502,559
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,58,559
ENSG00000065911.11,chr2,74198742,74205704,ES,True,313,373
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,210,1283
ENSG00000172478.17,chr2,240895483,240896072,TSS,True,45,163
ENSG00000172478.17,chr2,240896808,240896870,TSS,True,133,163
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,489,551
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,17,144
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,228,1184
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,172,725
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,434,511
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,565,728
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,461,728
ENSG00000085978.21,chr2,233273052,233274675,ES,False,300,413
ENSG00000085978.21,chr2,233251640,233251942,TSS,True,64,436
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,117,136
ENSG00000119760.15,chr2,27661388,27662178,IR,False,117,140
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,138,162
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,41,179
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,155,179
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,107,129
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,47,129
ENSG00000128699.13,chr2,189783013,189784347,TSS,True,114,129
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,93,279
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,192,279
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,295,387
ENSG00000115685.14,chr2,241150547,241157806,ES,False,13,123
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,21,133
ENSG00000118260.14,chr2,207560372,207567462,ES,False,114,164
ENSG00000119185.12,chr2,9406905,9407448,IR,False,127,153
ENSG00000119185.12,chr2,9418732,9422478,ES,False,81,115
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,38,164
ENSG00000119185.12,chr2,9405688,9407598,PAS,True,142,164
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,136,164
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,49,164
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,23,116
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,221,422
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,213,422
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,199,328
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,238,328
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,238,328
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,42,317
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,36,105
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,91,105
ENSG00000138399.17,chr2,169558767,169560785,PAS,True,90,102
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,13,105
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,99,133
ENSG00000144028.14,chr2,96284357,96286011,TSS,True,119,133
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,106,133
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,228,296
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,85,326
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,258,326
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,13,100
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,29,182
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,27,173
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,40,110
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,78,110
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,15,110
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,44,245
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,213,245
ENSG00000115380.19,chr2,55922447,55923710,ES,False,1048,1334
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,262,1606
ENSG00000115380.19,chr2,55922898,55923797,TSS,True,1430,1606
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,84,100
ENSG00000128654.13,chr2,176329426,176337492,ES,True,39,185
ENSG00000123636.17,chr2,159412545,159428310,ES,False,33,109
ENSG00000123636.17,chr2,159429260,159432756,ES,False,31,107
ENSG00000123636.17,chr2,159448403,159453612,3AS,False,20,111
ENSG00000123636.17,chr2,159398292,159398894,PAS,False,107,133
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,61,132
ENSG00000123636.17,chr2,159429451,159433363,PAS,True,110,123
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,66,145
ENSG00000123636.17,chr2,159516278,159516593,TSS,False,130,145
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,20,189
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,29,119
ENSG00000123983.13,chr2,222922707,222922831,PAS,True,95,106
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,20,117
ENSG00000127831.10,chr2,218419077,218419168,TSS,True,69,580
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,92,127
ENSG00000124383.8,chr2,71132897,71133451,PAS,False,101,118
ENSG00000124383.8,chr2,71134625,71134796,PAS,True,113,126
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,81,126
ENSG00000067066.16,chr2,230416328,230442936,ES,False,23,196
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,82,202
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,179,202
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,245,457
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,225,470
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,272,470
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,33,101
ENSG00000144021.2,chr2,96268658,96269267,IR,False,186,207
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,164,187
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,26,190
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,60,100
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,25,142
ENSG00000085760.14,chr2,55263865,55267568,ES,False,134,157
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,116,166
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,140,166
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,100,166
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,28,166
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,13,110
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,726,843
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,714,830
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,306,813
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,31,237
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,26,233
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,1216,2435
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,1356,2427
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,89,110
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,29,113
ENSG00000068912.13,chr2,53801842,53809213,ES,False,47,180
ENSG00000144224.16,chr2,135753567,135754158,IR,False,87,133
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,23,156
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,98,134
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,95,138
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,113,134
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,102,135
ENSG00000115540.14,chr2,197516146,197535529,ES,False,30,264
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,220,298
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,133,291
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,13,121
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,142,160
ENSG00000168542.14,chr2,189003977,189004143,TSS,True,136,154
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,135,157
ENSG00000136718.9,chr2,130342935,130343085,IR,False,135,152
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,48,183
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,161,183
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,11,107
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,55,146
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,118,146
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,121,149
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,104,149
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,122,149
ENSG00000138074.14,chr2,27211466,27212297,TSS,True,129,149
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,39,124
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,91,124
ENSG00000162992.3,chr2,181678871,181680429,IR,True,253,289
ENSG00000162992.3,chr2,181677145,181678871,PAS,False,43,296
ENSG00000162992.3,chr2,181680429,181680517,TSS,True,36,296
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,414,1713
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1407,1713
ENSG00000119801.12,chr2,30147062,30156627,ES,False,220,286
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,91,107
ENSG00000135919.12,chr2,224039098,224039596,TSS,True,11,107
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,102,189
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,97,188
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,38,262
ENSG00000114956.19,chr2,73927052,73946718,ES,False,45,102
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,32,199
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,64,103
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,40,104
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,65,104
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,135,189
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,144,183
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,49,189
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,110,302
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,142,336
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,213,336
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,150,334
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,181,323
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,32,101
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,12,105
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,96,127
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,69,122
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,120,210
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,154,255
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,130,255
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,75,237
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,27,150
ENSG00000115486.11,chr2,85559075,85561385,ES,False,17,122
ENSG00000115486.11,chr2,85561385,85561810,TSS,True,19,143
ENSG00000136682.14,chr2,113438022,113441350,ES,False,157,191
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,102,122
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,60,122
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,39,222
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,183,221
ENSG00000116001.15,chr2,70227822,70229058,ES,False,101,130
ENSG00000116001.15,chr2,70227822,70229263,ES,False,70,201
ENSG00000134317.17,chr2,9990747,9992006,5AS,False,92,115
ENSG00000134317.17,chr2,9951637,9951853,TSS,True,58,197
ENSG00000134317.17,chr2,10000592,10002352,PAS,True,56,186
ENSG00000134317.17,chr2,9990695,9990737,PAS,True,120,165
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,156,187
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,75,187
ENSG00000116044.15,chr2,177234004,177234266,TSS,True,159,186
ENSG00000115657.13,chr2,219218124,219219040,TSS,True,17,113
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,37,137
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,111,137
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,100,165
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,143,165
ENSG00000115816.14,chr2,37213538,37213961,PAS,True,146,164
ENSG00000115816.14,chr2,37228821,37229036,PAS,False,142,158
ENSG00000143995.19,chr2,66568756,66571245,ES,False,77,117
ENSG00000143995.19,chr2,66435123,66435868,TSS,True,80,161
ENSG00000143995.19,chr2,66571245,66573868,PAS,True,31,146
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,93,650
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,186,263
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,98,263
ENSG00000115875.18,chr2,38745187,38746693,ES,False,71,471
ENSG00000115875.18,chr2,38748653,38748897,IR,False,75,127
ENSG00000115875.18,chr2,38748653,38749528,ES,False,324,414
ENSG00000115875.18,chr2,38748653,38749528,IR,False,324,363
ENSG00000115875.18,chr2,38749346,38749528,IR,False,104,177
ENSG00000138036.18,chr2,43805153,43807773,PAS,True,84,100
ENSG00000138036.18,chr2,43809704,43810010,PAS,True,24,100
ENSG00000116106.11,chr2,221426142,221426463,5AS,False,84,101
ENSG00000116106.11,chr2,221425705,221426142,PAS,True,26,122
ENSG00000116106.11,chr2,221572157,221572360,TSS,True,41,140
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,15,145
ENSG00000115414.18,chr2,215372015,215372108,IR,False,155,194
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,50,275
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,235,275
ENSG00000115414.18,chr2,215376497,215376674,TSS,True,202,225
ENSG00000115414.18,chr2,215384019,215385311,TSS,False,203,230
ENSG00000143727.15,chr2,271939,275139,ME,False,118,332
ENSG00000143727.15,chr2,271939,272191,ES,False,120,155
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,145,222
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,62,287
ENSG00000144118.13,chr2,120278613,120278778,TSS,True,250,286
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,98,208
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,136,204
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,53,216
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,143,797
ENSG00000163466.15,chr2,218249820,218250680,PAS,True,658,797
ENSG00000150556.16,chr2,149205404,149208313,ES,True,86,101
ENSG00000150556.16,chr2,149038697,149038801,TSS,True,28,104
ENSG00000198130.15,chr2,190205232,190212955,ES,False,43,271
ENSG00000138449.10,chr2,189580417,189580823,TSS,True,38,365
ENSG00000136710.9,chr2,130339232,130340907,ES,False,125,143
ENSG00000197635.9,chr2,162047498,162073398,3AS,False,91,607
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,14,120
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,264,1020
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,830,1020
ENSG00000115368.9,chr2,189475212,189475582,PAS,True,16,137
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,408,1257
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,979,1257
ENSG00000118961.14,chr2,20701652,20774809,ES,False,15,139
ENSG00000118961.14,chr2,20774979,20801309,ES,False,12,111
ENSG00000118961.14,chr2,20684029,20687094,PAS,True,17,142
ENSG00000118961.14,chr2,20823036,20823129,TSS,True,18,148
ENSG00000168958.19,chr2,227340380,227347225,ES,False,113,152
ENSG00000168958.19,chr2,227340380,227352513,ES,False,22,165
ENSG00000168958.19,chr2,227340380,227355676,ES,False,75,263
ENSG00000168958.19,chr2,227347384,227355676,ES,False,17,158
ENSG00000104231.10,chr8,81715114,81718181,ES,False,58,143
ENSG00000104231.10,chr8,81732198,81732893,TSS,True,106,145
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,51,145
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,25,120
ENSG00000085719.12,chr8,86558287,86561509,PAS,True,68,101
ENSG00000085719.12,chr8,86546594,86547133,PAS,True,64,100
ENSG00000147789.15,chr8,144827489,144827609,TSS,False,14,119
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,40,264
ENSG00000104738.17,chr8,47976685,47979183,PAS,True,27,259
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,55,137
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,84,131
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,127,148
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,122,148
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,120,148
ENSG00000023287.12,chr8,52658976,52660925,ES,False,13,128
ENSG00000023287.12,chr8,52714074,52714498,TSS,True,19,145
ENSG00000008513.15,chr8,133476074,133476277,IR,False,169,278
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,60,325
ENSG00000164808.16,chr8,47260898,47260991,TSS,True,37,118
ENSG00000164756.12,chr8,117135398,117146953,ES,False,54,130
ENSG00000164756.12,chr8,117135014,117135398,TSS,True,22,160
ENSG00000164756.12,chr8,117172535,117176712,PAS,True,20,159
ENSG00000079112.9,chr8,94208482,94208608,TSS,True,55,170
ENSG00000079112.9,chr8,94189186,94189261,TSS,True,144,170
ENSG00000167904.14,chr8,55738741,55740218,PAS,True,16,102
ENSG00000167904.14,chr8,55773268,55773413,TSS,True,14,102
ENSG00000121005.8,chr8,74984501,74984920,TSS,True,36,172
ENSG00000155096.13,chr8,102843747,102858012,ES,False,142,185
ENSG00000104343.19,chr8,73878807,73878880,TSS,True,15,145
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,111,628
ENSG00000198363.17,chr8,61643433,61644599,ES,False,215,649
ENSG00000198363.17,chr8,61644632,61651049,ES,False,203,648
ENSG00000198363.17,chr8,61681036,61684038,ES,False,298,666
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,110,679
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,14,102
ENSG00000175895.3,chr8,95133802,95134030,TSS,False,34,145
ENSG00000169490.16,chr8,38995405,38996212,3AS,False,126,155
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,141,1290
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,41,301
ENSG00000182307.13,chr8,145052497,145052585,IR,False,84,104
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,27,112
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,92,112
ENSG00000104413.16,chr8,94674494,94678202,5AS,False,48,121
ENSG00000104413.16,chr8,94678371,94696851,ES,False,20,101
ENSG00000104413.16,chr8,94640526,94641450,TSS,True,85,180
ENSG00000104413.16,chr8,94705924,94707466,PAS,True,22,160
ENSG00000186106.11,chr8,100533311,100559710,5AS,False,128,149
ENSG00000186106.11,chr8,100559710,100559773,TSS,False,30,165
ENSG00000186106.11,chr8,100559531,100559766,TSS,True,144,165
ENSG00000153310.19,chr8,129871496,129903311,ES,False,49,189
ENSG00000153310.19,chr8,129903350,129970942,ES,False,94,133
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,145,201
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,103,201
ENSG00000153310.19,chr8,130016606,130016801,TSS,True,169,201
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,39,311
ENSG00000179950.13,chr8,143818534,143821596,ES,False,126,236
ENSG00000179950.13,chr8,143821913,143829279,ES,False,46,219
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,26,173
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,26,245
ENSG00000170791.17,chr8,56211837,56214597,ES,False,81,138
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,102,138
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,535,831
ENSG00000129422.14,chr8,17753716,17755962,TSS,True,141,185
