gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos,coverage
ENSG00000278817.1,AC007325.4,+,2,1,6,131923,135449,71,0.35804607656331194,1
ENSG00000277196.4,AC007325.2,-,5,3,11,145092,150433,47,0.5883141191985366,3
ENSG00000277196.4,AC007325.2,-,5,3,11,145092,150433,47,0.5883141191985366,3
ENSG00000277196.4,AC007325.2,-,5,0,8,145092,150989,193,0.3785981308411215,1
ENSG00000277196.4,AC007325.2,-,6,4,13,146639,148468,23,0.5972304943418701,5
ENSG00000277196.4,AC007325.2,-,6,3,12,146639,150433,86,0.5554326554922148,0
ENSG00000277196.4,AC007325.2,-,6,3,12,146639,150433,279,0.5554326554922148,0
ENSG00000277196.4,AC007325.2,-,7,2,12,147698,150433,251,0.3982516715992547,1
ENSG00000182670.13,TTC3,+,24,0,27,37073358,37087248,248,0.0893292992982813,3
ENSG00000182670.13,TTC3,+,0,8,11,37095396,37097954,123,0.8910974030919199,26
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.25982666666666665,0
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.25982666666666665,0
ENSG00000182670.13,TTC3,+,12,9,24,37096617,37108392,1399,0.38792748795668386,1
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,735,0.5320615541142057,1
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833,1
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833,1
ENSG00000182670.13,TTC3,+,11,1,15,37108415,37124620,1437,0.549624289583095,0
ENSG00000182670.13,TTC3,+,8,5,16,37126137,37135380,315,0.7310005849886817,2
ENSG00000182670.13,TTC3,+,23,20,46,37144644,37150083,508,0.5706356787403516,0
ENSG00000182670.13,TTC3,+,10,16,29,37152008,37154838,1020,0.7105650408666205,0
ENSG00000182670.13,TTC3,+,4,16,23,37152008,37159702,1110,0.8928494088093898,0
ENSG00000182670.13,TTC3,+,8,26,37,37153255,37156660,238,0.7455757664260224,1
ENSG00000182670.13,TTC3,+,9,17,29,37153255,37156660,1020,0.7241680407070545,0
ENSG00000182670.13,TTC3,+,10,18,31,37154535,37156660,191,0.7513758955870944,1
ENSG00000182670.13,TTC3,+,16,16,35,37156903,37159702,509,0.6612441568340736,0
ENSG00000186866.16,POFUT2,-,1,1,5,45278149,45285697,159,0.24860101895932518,0
ENSG00000186866.16,POFUT2,-,6,1,10,45283516,45285697,251,0.13536396705272402,1
ENSG00000186866.16,POFUT2,-,6,1,10,45283516,45285697,252,0.13660665803433436,0
ENSG00000185433.8,LINC00158,-,0,2,5,25386335,25399338,12,0.8196639173668389,1
ENSG00000185433.8,LINC00158,-,0,1,4,25386335,25401227,78,0.7749108810049228,1
ENSG00000185433.8,LINC00158,-,0,0,3,25386335,25420800,29,0.4845334273165971,1
ENSG00000185433.8,LINC00158,-,0,2,5,25386335,25401227,56,0.7969853130636434,3
ENSG00000185433.8,LINC00158,-,0,1,4,25386335,25420800,30,0.5440122299015955,10
ENSG00000185433.8,LINC00158,-,0,9,12,25386335,25420800,90,0.9036841330345019,1
ENSG00000185433.8,LINC00158,-,1,2,6,25389077,25420800,87,0.515770672882043,1
ENSG00000185433.8,LINC00158,-,1,2,6,25389077,25420800,87,0.515770672882043,1
ENSG00000185433.8,LINC00158,-,1,1,5,25396585,25420800,54,0.41133081022630724,2
ENSG00000159055.3,MIS18A,-,1,2,6,32086203,32270507,13,0.5066526434444791,1
ENSG00000159055.3,MIS18A,-,1,2,6,32086203,32270507,31,0.5066476111877132,0
ENSG00000159055.3,MIS18A,-,0,1,4,32269110,32274833,8,0.6538675312644743,13
ENSG00000182362.13,YBEY,+,2,1,6,46286974,46296230,94,0.3616596710933737,1
ENSG00000157617.16,C2CD2,-,0,10,13,41889341,41905812,37,0.8191409029522385,2
ENSG00000160282.13,FTCD,-,4,6,13,46145569,46150122,62,0.41127487496009363,2
ENSG00000160282.13,FTCD,-,4,6,13,46145569,46150139,54,0.41083209193445414,1
ENSG00000160282.13,FTCD,-,4,4,11,46145877,46150479,79,0.39361532322426174,1
ENSG00000278903.3,CU633906.2,+,0,1,4,6320906,6345337,70,0.5180873988766029,1
ENSG00000278903.3,CU633906.2,+,0,2,5,6322659,6335523,37,0.6030102416114977,1
ENSG00000235609.7,AF127577.4,-,2,0,5,14857705,15064745,2,0.42673152919019164,1
ENSG00000159256.12,MORC3,+,15,0,18,36320270,36333651,85,0.1195763913505849,1
ENSG00000159256.12,MORC3,+,10,0,13,36320270,36333651,175,0.16768346043255408,0
ENSG00000159256.12,MORC3,+,15,0,18,36320270,36333651,85,0.1195763913505849,1
ENSG00000159256.12,MORC3,+,12,0,15,36320270,36333651,191,0.1364660738214155,0
ENSG00000159256.12,MORC3,+,7,5,15,36344653,36356633,114,0.53932345223743,1
ENSG00000159256.12,MORC3,+,5,7,15,36345020,36359975,82,0.5721946463393015,2
ENSG00000159256.12,MORC3,+,2,10,15,36360250,36369033,82,0.7874756248892041,2
ENSG00000159256.12,MORC3,+,1,12,16,36362208,36372508,55,0.836053070346589,3
ENSG00000224905.6,AP001347.1,+,0,1,4,14084025,14143701,14,0.7385876160038284,3
ENSG00000224905.6,AP001347.1,+,0,1,4,14084025,14143701,14,0.7385876160038284,3
ENSG00000183421.11,RIPK4,-,5,0,8,41749186,41766947,30,0.3245103707451037,1
ENSG00000184012.11,TMPRSS2,-,8,2,13,41480568,41494383,25,0.47384548292324646,1
ENSG00000184012.11,TMPRSS2,-,8,1,12,41480568,41498184,166,0.42973649750740883,3
ENSG00000184012.11,TMPRSS2,-,9,1,13,41488506,41498184,52,0.33852551290003907,9
ENSG00000184012.11,TMPRSS2,-,10,0,13,41489591,41507986,42,0.21360483278206543,2
ENSG00000234883.5,MIR155HG,+,1,0,4,25562253,25569870,7,0.3017036298058476,1
ENSG00000249624.9,AP000295.1,+,5,6,14,33252691,33268517,32,0.4577434321433367,1
ENSG00000205670.10,SMIM11A,+,0,1,4,34379467,34402760,21,0.5723013135686504,3
ENSG00000243646.9,IL10RB,+,3,0,6,33266509,33279755,63,0.2205935281222393,1
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,1
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,23,0.47775043844724235,4
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,1
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,23,0.47775043844724235,4
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,30,0.4775661927742272,2
ENSG00000274333.4,CU633967.1,+,1,1,5,5566124,5585897,63,0.5829204047569372,0
ENSG00000274333.4,CU633967.1,+,0,1,4,5566124,5590207,108,0.6397482202680067,1
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305190,809,0.09660712978552083,0
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305417,359,0.09951616450406861,1
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305894,600,0.1095872853114586,1
ENSG00000141959.16,PFKL,+,20,0,23,44300189,44306681,249,0.12288353001539251,1
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44306681,926,0.1239385065885798,0
ENSG00000141959.16,PFKL,+,20,0,23,44300189,44306681,249,0.12288353001539251,1
ENSG00000141959.16,PFKL,+,15,0,18,44300189,44312107,889,0.22253975232651865,0
ENSG00000141959.16,PFKL,+,15,0,18,44300189,44312978,575,0.23814501045219497,1
ENSG00000141959.16,PFKL,+,15,0,18,44300189,44312978,575,0.23814501045219497,1
ENSG00000141959.16,PFKL,+,22,0,25,44300637,44305190,1295,0.09129933843752323,0
ENSG00000141959.16,PFKL,+,20,1,24,44303552,44306681,349,0.18488333760668108,1
ENSG00000141959.16,PFKL,+,19,1,23,44304432,44306681,633,0.20081726892912116,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000141959.16,PFKL,+,16,1,20,44306736,44312978,255,0.3586522614905695,2
ENSG00000141959.16,PFKL,+,16,2,21,44311079,44312978,959,0.4376992707149925,0
ENSG00000141959.16,PFKL,+,14,4,21,44313121,44316251,1021,0.5287689562890276,1
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353,0
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353,0
ENSG00000141959.16,PFKL,+,3,14,20,44323042,44324865,1191,0.8747710454978387,0
ENSG00000141959.16,PFKL,+,2,15,20,44324628,44325986,1269,0.9245870417170274,0
ENSG00000141959.16,PFKL,+,1,17,21,44324909,44326165,30,0.9329623256324827,1
ENSG00000198862.13,LTN1,-,1,20,24,28931314,28936586,81,0.8798248066349827,0
ENSG00000198862.13,LTN1,-,18,10,31,28960665,28965897,123,0.45706692213792355,1
ENSG00000198862.13,LTN1,-,9,4,16,28970700,28982325,287,0.4135301259675216,0
ENSG00000198862.13,LTN1,-,5,3,11,28970700,28984693,343,0.45583140007833445,1
ENSG00000277067.4,CU634019.1,+,1,0,4,7048988,7081075,8,0.42223589797307914,1
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,1
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,1
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,1
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7085253,25,0.47590345693216884,1
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7085253,125,0.4762122717999686,0
ENSG00000277067.4,CU634019.1,+,1,1,5,7061346,7081075,14,0.5831960245848045,3
ENSG00000159131.16,GART,-,1,7,11,33504501,33509813,255,0.8468101423572832,1
ENSG00000159131.16,GART,-,1,15,19,33504501,33511270,571,0.8965115365476783,1
ENSG00000159131.16,GART,-,2,16,21,33505681,33511270,639,0.8719667116042725,0
