gene,chr,start,end,splice_type,novel,chondrocyte_ENCFF469ATL_in_cov,chondrocyte_ENCFF469ATL_total_cov
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,152,196
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,55,196
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,38,125
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,92,125
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,27,228
ENSG00000156265.15,chr21,29130554,29130923,TSS,True,44,144
ENSG00000156265.15,chr21,29145579,29145707,TSS,False,128,144
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,32,270
ENSG00000160310.17,chr21,46635763,46636895,ES,False,123,388
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,196,434
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,280,426
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,76,230
ENSG00000182871.14,chr21,45493600,45494861,5AS,True,34,132
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,1640,1926
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,564,2033
ENSG00000142192.20,chr21,25982477,26000014,ES,False,29,129
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,39,170
ENSG00000197381.15,chr21,45074166,45074793,TSS,True,46,129
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,34,181
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,1359,5605
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,739,5605
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,4906,5462
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,29,126
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,14,111
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,61,107
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,88,107
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,66,108
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,27,111
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,23,224
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,67,418
ENSG00000138073.13,chr2,27133337,27133531,IR,False,138,154
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,17,156
ENSG00000138031.14,chr2,24819163,24820114,PAS,True,12,101
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,20,102
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,203,313
ENSG00000196141.13,chr2,200419496,200440648,ES,False,217,503
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,453,521
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,103,521
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,32,116
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,89,116
ENSG00000115963.13,chr2,150487455,150487548,IR,False,93,244
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,101,250
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,156,250
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,1121,2580
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,45,126
ENSG00000065911.11,chr2,74198742,74205704,ES,True,380,464
ENSG00000176720.5,chr2,241572853,241572893,IR,True,49,131
ENSG00000176720.5,chr2,241573015,241573055,IR,True,50,113
ENSG00000176720.5,chr2,241573256,241573336,IR,True,26,118
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,25,141
ENSG00000176720.5,chr2,241573095,241574138,PAS,True,120,141
ENSG00000176720.5,chr2,241573256,241574134,PAS,True,120,141
ENSG00000176720.5,chr2,241573336,241574136,PAS,True,115,141
ENSG00000176720.5,chr2,241573055,241574136,PAS,True,90,141
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,80,542
ENSG00000169604.19,chr2,69013029,69013651,TSS,True,26,186
ENSG00000169604.19,chr2,69145325,69146411,PAS,False,69,165
ENSG00000077232.17,chr2,182732542,182740298,ES,False,29,209
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,37,232
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,280,452
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,244,452
ENSG00000135931.17,chr2,231198941,231206197,5AS,True,145,167
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,243,451
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,297,451
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,101,409
