gene,chr,start,end,splice_type,novel,HCT116_ENCFF400LRT_in_cov,HCT116_ENCFF400LRT_total_cov
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,72,377
ENSG00000142185.16,chr21,44425419,44425827,TSS,True,21,112
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,210,1014
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,904,1013
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,291,615
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,359,600
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,100,618
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,59,137
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,40,228
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,15,125
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,49,118
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,100,113
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,26,187
ENSG00000160310.17,chr21,46635763,46636895,ES,False,126,142
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,51,198
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,81,198
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,75,166
ENSG00000159086.14,chr21,32759269,32759776,IR,True,36,103
ENSG00000159086.14,chr21,32733823,32735067,PAS,True,59,110
ENSG00000159086.14,chr21,32756616,32759994,PAS,True,67,108
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,77,761
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,117,149
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,125,146
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,23,114
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,99,114
ENSG00000160201.11,chr21,43095743,43104314,ME,False,12,102
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,28,133
ENSG00000241945.7,chr21,44107234,44107434,TSS,True,31,141
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,65,233
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,130,216
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,110,216
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,131,244
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,200,244
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,72,244
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,183,222
ENSG00000275895.6,chr21,6487412,6495992,ME,False,29,112
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,44,157
ENSG00000205581.10,chr21,39345274,39348291,5AS,True,442,493
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,104,609
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,72,104
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,75,103
ENSG00000185658.13,chr21,39192418,39197415,PAS,True,101,113
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,68,107
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,53,106
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,85,136
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,57,136
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,190,1868
ENSG00000138035.14,chr2,55672046,55672892,IR,True,142,162
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,163,297
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,19,184
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,88,290
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,56,408
ENSG00000138073.13,chr2,27133337,27133531,IR,False,131,151
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,27,163
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,67,384
ENSG00000138430.15,chr2,174229451,174248451,ES,False,37,315
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,87,403
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,77,117
ENSG00000196504.16,chr2,152677475,152679351,ES,False,115,215
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,164,213
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,167,231
