gene,chr,start,end,splice_type,novel,heart_left_ventricle_ENCFF623IBV_in_cov,heart_left_ventricle_ENCFF623IBV_total_cov
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,26,183
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,51,189
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,146,189
ENSG00000141959.16,chr21,44306754,44311005,ES,True,136,208
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,88,297
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,238,296
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,21,137
ENSG00000160310.17,chr21,46635763,46636895,ES,False,36,158
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,80,188
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,146,185
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,26,102
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,94,113
ENSG00000182871.14,chr21,45485727,45486992,TSS,True,99,113
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,96,113
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,14,106
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,94,105
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,113,515
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,333,390
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,96,391
ENSG00000160194.17,chr21,42897047,42908863,ES,True,82,102
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,12,109
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,220,401
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,322,401
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,76,401
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,330,378
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,96,119
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,99,119
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,91,119
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,106,119
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,106,169
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,65,169
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,60,134
ENSG00000071054.16,chr2,101859864,101863826,3AS,True,11,102
ENSG00000071054.16,chr2,101859864,101864929,ES,False,28,134
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,32,138
ENSG00000071054.16,chr2,101870415,101873646,ES,False,60,131
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,39,180
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,38,170
ENSG00000071054.16,chr2,101855976,101856832,PAS,True,140,157
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,24,180
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,101,116
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,22,131
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,36,168
ENSG00000075886.10,chr2,131479291,131479456,TSS,True,30,183
ENSG00000075886.10,chr2,131480121,131480749,TSS,True,160,182
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,248,604
ENSG00000204843.12,chr2,74380004,74380316,TSS,True,514,604
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,66,106
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,25,157
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,64,180
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,174,229
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,202,227
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,91,110
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,125,229
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,202,228
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,85,108
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,14,123
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,98,114
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,20,122
ENSG00000196141.13,chr2,200419496,200440648,ES,False,92,135
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,48,250
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,95,238
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,141,223
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,72,181
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,57,130
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,36,251
ENSG00000124831.18,chr2,237708630,237748363,ES,False,18,127
ENSG00000124831.18,chr2,237749324,237753308,ES,False,17,143
ENSG00000124831.18,chr2,237756187,237760063,ES,False,19,129
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,48,155
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,131,153
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,126,147
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,131,146
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,54,152
ENSG00000163092.19,chr2,167187354,167187531,TSS,False,484,753
ENSG00000163092.19,chr2,167250512,167251947,TSS,True,40,173
ENSG00000163092.19,chr2,167257856,167259753,PAS,True,581,716
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,145,164
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,80,125
ENSG00000114923.16,chr2,219627156,219627745,TSS,True,537,621
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,453,620
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,13,128
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,168,189
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,169,189
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,68,190
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,48,419
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,194,463
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,367,463
ENSG00000115307.16,chr2,74528935,74529131,IR,False,99,111
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,18,131
ENSG00000115310.17,chr2,54972184,54973198,PAS,True,42,120
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,45,140
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,75,208
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,169,208
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,173,208
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,32,167
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,27,100
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,86,100
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,31,170
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,768,990
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,249,973
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,110,190
ENSG00000115896.15,chr2,197804585,197805341,TSS,True,46,165
ENSG00000243147.7,chr2,27772692,27779432,ES,False,146,196
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,120,306
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,261,306
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,26,106
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,112,126
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,15,126
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,227,678
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,11,100
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,124,214
ENSG00000158417.10,chr2,99388067,99389849,TSS,True,22,118
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,99,213
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,69,122
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,59,128
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,79,128
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,39,375
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,226,698
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,44,151
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,17,120
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,105,118
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,14,121
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,42,148
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,104,141
ENSG00000115183.14,chr2,159089583,159092504,PAS,True,24,109
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,36,312
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,20,127
ENSG00000114948.12,chr2,206617578,206621126,PAS,True,21,117
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,697,856
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,98,374
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,23,169
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,510,862
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,58,181
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,127,179
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,22,181
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,48,301
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,266,301
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,36,169
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,225,1472
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,34,181
ENSG00000135617.3,chr2,73228794,73228959,TSS,True,149,181
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,85,137
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,116,137
ENSG00000003402.19,chr2,201122377,201122747,TSS,False,108,123
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,52,122
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,109,122
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,81,287
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,212,287
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,130,186
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,108,186
ENSG00000173272.15,chr2,131469722,131470343,PAS,True,81,109
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,31,109
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,92,109
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,27,143
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,67,168
ENSG00000136536.14,chr2,159712661,159729008,ES,False,88,101
ENSG00000136536.14,chr2,159762993,159767283,ES,False,33,175
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,77,179
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,105,179
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,40,104
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,12,107
