gene,chr,start,end,splice_type,novel,lower_lobe_of_left_lung_ENCFF924HBV_in_cov,lower_lobe_of_left_lung_ENCFF924HBV_total_cov
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,65,322
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,286,319
ENSG00000160310.17,chr21,46635763,46636895,ES,False,83,150
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,19,178
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,109,182
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,110,177
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,86,158
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,80,114
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,93,113
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,36,143
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,31,233
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,37,334
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,41,103
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,65,318
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,202,368
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,310,368
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,111,368
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,262,341
ENSG00000205581.10,chr21,39345274,39348291,5AS,True,86,101
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,20,127
ENSG00000160255.17,chr21,44894970,44895028,TSS,True,315,375
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,213,376
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,92,132
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,113,132
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,118,132
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,26,240
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,16,129
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,90,523
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,468,523
ENSG00000019169.10,chr2,118942160,118942397,TSS,True,80,381
ENSG00000019169.10,chr2,118994386,118994664,PAS,True,48,365
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,14,138
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,41,181
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,13,110
ENSG00000115648.13,chr2,237518648,237525600,ES,False,31,223
ENSG00000115648.13,chr2,237527516,237540347,ES,False,195,224
ENSG00000115648.13,chr2,237540533,237542566,ES,False,30,225
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,62,247
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,48,103
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,71,103
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,106,249
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,220,248
ENSG00000115756.12,chr2,10396920,10419733,ES,False,192,274
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,111,133
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,27,133
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,26,179
ENSG00000124831.18,chr2,237708630,237748363,ES,False,151,169
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,44,197
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,46,175
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,169,196
ENSG00000168385.17,chr2,241315982,241324215,ES,False,245,276
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,57,340
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,48,129
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,97,129
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,205,320
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,218,320
ENSG00000115307.16,chr2,74527838,74527939,IR,False,145,162
ENSG00000115307.16,chr2,74528935,74529131,IR,False,116,144
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,33,180
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,34,170
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,46,167
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,140,167
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,40,107
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,70,104
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,24,144
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,21,173
ENSG00000003436.15,chr2,187503770,187554199,ES,False,65,107
