gene,chr,start,end,splice_type,novel,WTC11_ENCFF373TKM_in_cov,WTC11_ENCFF373TKM_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,148232,150349,ES,True,40,237
ENSG00000277196.4,chr22_KI270734v1_random,151021,161313,ES,True,58,245
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,55,302
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,61,120
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,94,120
ENSG00000186866.16,chr21,45265635,45267589,ES,False,97,118
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,35,144
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,18,170
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,20,175
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,22,179
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,110,922
ENSG00000198862.13,chr21,28992763,28992903,TSS,True,39,122
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,343,1140
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,800,1113
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,121,1140
ENSG00000184787.18,chr21,44773687,44777298,IR,True,246,330
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,90,418
ENSG00000184787.18,chr21,44773546,44774808,TSS,True,366,414
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,89,147
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,74,163
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,105,163
ENSG00000157538.13,chr21,37232451,37238459,ES,False,21,187
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,32,230
ENSG00000160200.17,chr21,43053647,43053861,5AS,True,509,605
ENSG00000160200.17,chr21,43053647,43053861,IR,False,509,1392
ENSG00000160200.17,chr21,43056099,43056802,IR,True,99,173
ENSG00000160200.17,chr21,43059303,43060440,IR,True,1227,1500
ENSG00000160200.17,chr21,43066377,43066524,IR,True,107,129
ENSG00000160200.17,chr21,43066377,43067777,ES,True,228,308
ENSG00000160200.17,chr21,43066377,43068508,5AS,True,1078,1343
ENSG00000160200.17,chr21,43066612,43067777,IR,True,80,110
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,1007,1638
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,752,1594
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,378,1638
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,383,667
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,304,837
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,591,825
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,549,832
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,449,832
ENSG00000155304.5,chr21,14383094,14383146,TSS,False,30,159
ENSG00000160214.12,chr21,43802387,43803511,IR,True,187,222
ENSG00000160214.12,chr21,43803511,43805757,PAS,False,37,233
ENSG00000160214.12,chr21,43802273,43805277,PAS,True,202,230
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,75,156
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,138,156
ENSG00000160190.13,chr21,42514813,42514935,TSS,True,124,156
ENSG00000160294.10,chr21,46285394,46285802,5AS,False,52,135
ENSG00000160294.10,chr21,46233046,46235426,PAS,True,32,241
ENSG00000160294.10,chr21,46285802,46286519,TSS,False,192,244
ENSG00000160294.10,chr21,46285698,46286461,TSS,True,161,244
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,17,104
ENSG00000160310.17,chr21,46635763,46636895,ES,False,102,201
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,35,242
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,189,222
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,126,242
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,182,230
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,83,244
ENSG00000159086.14,chr21,32751218,32755229,5AS,False,73,106
ENSG00000159086.14,chr21,32771325,32771990,TSS,True,39,123
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,1018,1192
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,381,1260
ENSG00000160191.17,chr21,42653546,42653883,TSS,True,12,100
ENSG00000173638.18,chr21,45532148,45537770,5AS,True,139,155
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,44,185
ENSG00000160193.11,chr21,42859722,42873550,ES,True,19,137
ENSG00000160193.11,chr21,42863596,42873602,5AS,False,14,132
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,98,163
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,78,163
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,137,168
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,70,168
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,35,260
ENSG00000142192.20,chr21,25982477,26000014,ES,False,374,844
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,312,1101
ENSG00000185917.13,chr21,36035960,36036084,IR,False,110,132
ENSG00000185917.13,chr21,36036251,36038149,ES,True,98,116
ENSG00000185917.13,chr21,36041888,36043781,ES,True,56,100
ENSG00000185917.13,chr21,36057204,36058815,ES,False,121,162
ENSG00000185917.13,chr21,36058924,36060346,3AS,False,99,130
ENSG00000185917.13,chr21,36034364,36036251,PAS,True,159,178
ENSG00000185917.13,chr21,36034532,36035960,PAS,True,68,178
ENSG00000185917.13,chr21,36042410,36043956,PAS,True,129,169
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,56,188
ENSG00000160201.11,chr21,43095743,43104314,ME,False,72,278
ENSG00000160201.11,chr21,43101432,43104314,IR,False,88,101
ENSG00000160199.14,chr21,42974327,42974664,TSS,True,25,129
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,36,167
ENSG00000241945.7,chr21,44107234,44107434,TSS,True,24,228
ENSG00000156273.15,chr21,29298773,29298953,TSS,False,63,118
ENSG00000156273.15,chr21,29298920,29299598,TSS,False,83,118
ENSG00000142207.6,chr21,32320640,32322477,ES,True,25,121
ENSG00000142207.6,chr21,32392768,32393036,TSS,False,93,140
ENSG00000205726.14,chr21,33819323,33829623,ES,False,73,326
ENSG00000205726.14,chr21,33837023,33837242,IR,True,40,342
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,72,367
ENSG00000205726.14,chr21,33836986,33838635,PAS,True,61,362
ENSG00000205726.14,chr21,33837242,33838499,PAS,True,322,362
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,40,255
ENSG00000160208.12,chr21,43659536,43659794,TSS,False,105,126
ENSG00000160208.12,chr21,43687625,43688240,TSS,True,78,126
ENSG00000154642.10,chr21,17819302,17819414,TSS,True,21,107
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,111,427
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,75,427
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,365,409
ENSG00000275895.6,chr21,6487412,6495992,ME,False,89,290
ENSG00000275895.6,chr21,6487412,6493043,ES,False,88,105
ENSG00000205581.10,chr21,39345274,39345829,IR,False,122,136
ENSG00000205581.10,chr21,39345274,39347378,5AS,True,27,112
ENSG00000205581.10,chr21,39347292,39347378,IR,False,13,112
ENSG00000205581.10,chr21,39347483,39348291,IR,False,39,118
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,124,917
ENSG00000159147.17,chr21,33588320,33588838,TSS,True,20,157
ENSG00000156304.14,chr21,31685174,31685397,3AS,False,112,320
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,28,186
ENSG00000160285.14,chr21,46195756,46205835,ES,True,72,571
ENSG00000160285.14,chr21,46221975,46222662,5AS,False,59,525
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,308,638
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,436,638
ENSG00000184809.12,chr21,39606002,39609582,3AS,False,23,100
ENSG00000184809.12,chr21,39602816,39606002,PAS,False,112,136
ENSG00000184809.12,chr21,39604093,39606347,PAS,True,64,136
ENSG00000184809.12,chr21,39597143,39600279,PAS,True,120,136
ENSG00000185658.13,chr21,39192418,39197415,PAS,True,79,151
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,59,117
ENSG00000185658.13,chr21,39313442,39314127,TSS,True,63,180
ENSG00000155313.15,chr21,15842540,15864267,ES,False,153,175
ENSG00000155313.15,chr21,15729916,15730438,TSS,False,40,180
ENSG00000154639.18,chr21,17559131,17565427,ES,False,79,743
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,92,818
ENSG00000135930.13,chr2,232567214,232580903,ES,False,169,199
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,38,313
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,212,299
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,100,299
ENSG00000138032.20,chr2,44168839,44169274,TSS,True,55,523
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,276,508
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,245,508
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,98,210
ENSG00000071054.16,chr2,101859864,101864929,ES,False,152,216
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,56,220
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,54,224
ENSG00000071054.16,chr2,101870415,101873646,ES,False,193,225
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,76,257
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,491,2866
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,258,959
ENSG00000163214.20,chr2,38875786,38875934,TSS,True,26,120
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,40,242
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,39,155
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,137,155
ENSG00000115109.13,chr2,120013027,120013210,TSS,True,27,187
ENSG00000115109.13,chr2,120104059,120108570,PAS,True,45,166
ENSG00000115109.13,chr2,120174840,120179119,PAS,True,127,174
ENSG00000124839.12,chr2,237575480,237577256,IR,True,227,269
ENSG00000124839.12,chr2,237577382,237585997,ES,False,40,208
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,26,210
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,51,328
ENSG00000055917.15,chr2,20256170,20258242,5AS,True,110,127
ENSG00000055917.15,chr2,20263460,20282946,ES,False,17,113
ENSG00000055917.15,chr2,20350596,20350848,TSS,True,142,175
ENSG00000055917.15,chr2,20350809,20350896,TSS,False,151,175
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,103,461
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,111,134
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,79,134
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,101,134
ENSG00000196290.14,chr2,200889397,200890585,TSS,True,115,134
ENSG00000119787.13,chr2,38296113,38298143,3AS,False,142,158
ENSG00000119787.13,chr2,38296113,38298143,IR,True,142,221
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,119,263
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,162,237
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,46,263
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,49,136
ENSG00000144040.12,chr2,72945099,72968447,ES,False,23,110
ENSG00000144040.12,chr2,73040931,73071603,ES,True,12,113
ENSG00000144040.12,chr2,72942030,72945099,PAS,True,24,141
ENSG00000144040.12,chr2,73071603,73072187,TSS,True,25,151
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,31,245
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,34,137
ENSG00000204634.12,chr2,101151126,101151527,TSS,True,24,137
ENSG00000152683.14,chr2,32165903,32171286,5AS,True,82,100
ENSG00000152683.14,chr2,32193983,32197706,ES,False,12,107
ENSG00000152683.14,chr2,32165831,32165903,TSS,True,43,128
ENSG00000152683.14,chr2,32165864,32166189,TSS,True,110,128
ENSG00000197329.11,chr2,64144080,64144425,TSS,True,30,223
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,233,1073
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,23,181
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,44,181
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,152,181
ENSG00000144036.15,chr2,72179461,72184074,5AS,True,141,160
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,41,186
ENSG00000163251.3,chr2,207769264,207769904,TSS,False,55,148
ENSG00000168918.13,chr2,233139679,233139929,TSS,True,18,106
ENSG00000204120.14,chr2,232697392,232735154,ES,False,24,131
ENSG00000204120.14,chr2,232703489,232735154,ES,False,71,102
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,62,193
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,65,527
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,24,201
ENSG00000115355.16,chr2,55334093,55335163,TSS,True,95,112
ENSG00000115355.16,chr2,55419016,55419995,TSS,True,86,113
ENSG00000124006.14,chr2,219556292,219556453,IR,True,111,132
ENSG00000124006.14,chr2,219558459,219559224,IR,True,100,114
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,410,523
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,133,508
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,94,531
ENSG00000172954.13,chr2,30447383,30525586,ES,False,92,105
ENSG00000172954.13,chr2,30447383,30525586,5AS,False,92,116
ENSG00000172954.13,chr2,30447234,30447383,TSS,True,40,147
ENSG00000172954.13,chr2,30447215,30447404,TSS,True,121,147
ENSG00000138018.17,chr2,26346056,26346289,TSS,True,94,156
ENSG00000124356.15,chr2,73828996,73830844,5AS,False,29,111
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,130,164
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,83,164
ENSG00000124356.15,chr2,73828982,73829510,TSS,True,145,164
ENSG00000138031.14,chr2,24820114,24820723,ES,True,99,118
ENSG00000138031.14,chr2,24820114,24820723,IR,True,99,115
ENSG00000138031.14,chr2,24828023,24830708,3AS,False,15,126
ENSG00000138031.14,chr2,24838622,24839872,ES,False,107,122
ENSG00000138031.14,chr2,24819163,24820114,PAS,True,22,140
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,33,143
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,522,692
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,472,637
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,327,734
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,570,734
ENSG00000114982.17,chr2,96601776,96602752,ES,False,19,122
ENSG00000114982.17,chr2,96638282,96638378,TSS,True,55,138
ENSG00000084731.14,chr2,25930060,25951788,3AS,False,31,174
ENSG00000218739.9,chr2,37196480,37196520,TSS,True,28,132
ENSG00000218739.9,chr2,37201862,37204743,PAS,True,18,120
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,204,420
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,59,463
ENSG00000057935.13,chr2,42708873,42710574,PAS,True,46,453
ENSG00000196141.13,chr2,200419496,200440648,ES,False,313,518
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,456,544
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,142,544
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,127,273
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,210,273
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,240,273
ENSG00000152291.13,chr2,85326804,85326978,IR,False,32,122
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,36,153
ENSG00000115963.13,chr2,150487455,150487548,IR,False,142,276
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,167,301
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,157,301
ENSG00000135945.9,chr2,99424280,99429839,ES,True,98,112
ENSG00000135945.9,chr2,99429945,99434331,3AS,False,61,100
ENSG00000135945.9,chr2,99449504,99462495,ES,False,98,111
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,22,132
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,206,841
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,732,840
ENSG00000068784.12,chr2,45611218,45611308,TSS,False,14,136
ENSG00000115282.19,chr2,74491666,74492003,5AS,False,60,117
ENSG00000115282.19,chr2,74492229,74492303,IR,False,103,121
ENSG00000115282.19,chr2,74492747,74492921,IR,False,99,113
ENSG00000115282.19,chr2,74492921,74494564,PAS,True,24,123
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,43,314
ENSG00000152256.13,chr2,172562291,172564502,ES,False,92,104
ENSG00000152256.13,chr2,172566933,172570725,ES,False,16,110
ENSG00000152256.13,chr2,172596023,172597612,IR,False,20,106
ENSG00000152256.13,chr2,172555968,172556346,TSS,True,14,123
ENSG00000152256.13,chr2,172597612,172599143,PAS,False,103,123
ENSG00000152256.13,chr2,172595828,172599153,PAS,True,34,118
ENSG00000168906.12,chr2,85542373,85542564,IR,False,264,306
ENSG00000168906.12,chr2,85542747,85542900,IR,True,277,313
ENSG00000168906.12,chr2,85543034,85543669,IR,True,185,316
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,106,382
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,135,318
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,222,316
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,146,442
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,72,657
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,22,172
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,850,1044
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,259,1044
ENSG00000118965.14,chr2,19910259,19913708,PAS,True,25,116
ENSG00000118965.14,chr2,19964350,19966909,PAS,True,92,105
ENSG00000118965.14,chr2,19989991,19990169,TSS,True,27,121
ENSG00000124831.18,chr2,237749324,237753308,ES,False,307,494
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,348,523
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,208,521
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,237,500
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,292,523
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,416,1230
ENSG00000196950.13,chr2,195586266,195586417,TSS,True,1035,1230
ENSG00000173209.23,chr2,61181405,61184711,ES,False,130,153
ENSG00000173209.23,chr2,61185618,61186445,IR,False,50,132
ENSG00000173209.23,chr2,61186081,61186445,IR,False,17,101
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,464,519
ENSG00000077232.17,chr2,182732542,182740298,ES,False,55,464
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,66,551
ENSG00000003393.14,chr2,201715836,201718076,3AS,True,21,109
ENSG00000003393.14,chr2,201700267,201701889,PAS,True,39,153
ENSG00000003393.14,chr2,201759260,201761818,PAS,True,105,127
ENSG00000003393.14,chr2,201780876,201781151,TSS,True,47,155
ENSG00000115694.14,chr2,241499414,241500172,IR,False,436,498
ENSG00000115694.14,chr2,241501708,241508442,ES,False,64,265
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,34,236
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,352,541
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,274,541
ENSG00000168385.17,chr2,241315982,241317498,ES,False,215,244
ENSG00000168385.17,chr2,241315982,241324215,ES,False,1699,1954
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,371,2383
ENSG00000115942.8,chr2,200963489,200963704,TSS,False,37,185
ENSG00000135931.17,chr2,231235381,231256585,ES,False,17,145
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,68,165
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,127,165
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,37,150
ENSG00000198925.11,chr2,219228053,219229534,ES,False,56,254
ENSG00000198925.11,chr2,219228485,219229534,ES,False,136,173
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,79,344
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,309,344
ENSG00000021574.12,chr2,32064246,32087494,3AS,False,40,116
ENSG00000021574.12,chr2,32089605,32114637,ES,False,19,116
ENSG00000115419.12,chr2,190880798,190881470,TSS,True,76,371
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,67,349
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,327,367
ENSG00000168280.16,chr2,148875184,148875743,TSS,False,86,218
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,968,1308
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,1087,1308
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,827,1308
ENSG00000115307.16,chr2,74528935,74529131,IR,False,203,268
ENSG00000085978.21,chr2,233273052,233274675,ES,False,79,108
ENSG00000085978.21,chr2,233289970,233290247,5AS,True,12,104
ENSG00000085978.21,chr2,233251640,233251942,TSS,True,24,122
ENSG00000085978.21,chr2,233294256,233296300,PAS,True,12,119
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,84,100
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,30,113
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,97,113
ENSG00000128699.13,chr2,189782602,189784268,ES,False,86,119
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,143,172
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,52,172
PB_novel_212489,chr2,67334150,67337515,IR,True,54,237
PB_novel_212489,chr2,67331769,67332062,TSS,True,87,409
PB_novel_212489,chr2,67339333,67339973,PAS,True,319,409
PB_novel_212489,chr2,67337515,67337976,PAS,True,285,326
PB_novel_212489,chr2,67333952,67337964,PAS,True,145,323
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,73,709
ENSG00000115548.16,chr2,86441329,86441444,TSS,True,28,160
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,84,127
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,22,146
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,62,347
ENSG00000173744.17,chr2,227472138,227472588,TSS,True,47,372
ENSG00000115310.17,chr2,54987698,55049744,ES,False,469,535
ENSG00000114993.16,chr2,74426574,74427168,IR,True,252,281
ENSG00000114993.16,chr2,74424144,74426574,PAS,True,38,290
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,47,290
ENSG00000114993.16,chr2,74440352,74440824,TSS,True,259,290
ENSG00000040933.15,chr2,98546694,98552785,5AS,True,104,119
ENSG00000040933.15,chr2,98555691,98559462,5AS,False,85,106
ENSG00000040933.15,chr2,98444823,98445085,TSS,True,26,142
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,14,106
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,44,106
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,71,106
ENSG00000115760.14,chr2,32513679,32515770,TSS,False,94,106
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,84,529
ENSG00000135966.12,chr2,105308315,105329624,3AS,True,61,160
ENSG00000135966.12,chr2,105329624,105330200,TSS,False,18,179
ENSG00000132330.16,chr2,238091217,238092078,PAS,True,158,205
ENSG00000132330.16,chr2,238098201,238099414,PAS,True,61,207
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,27,228
ENSG00000068724.15,chr2,46915868,46916577,TSS,False,109,125
ENSG00000068724.15,chr2,46941070,46941725,TSS,True,28,121
ENSG00000068724.15,chr2,47073701,47076137,PAS,True,14,121
ENSG00000118260.14,chr2,207560372,207567462,ES,False,80,136
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,37,172
ENSG00000118260.14,chr2,207596913,207605043,PAS,True,38,142
ENSG00000118260.14,chr2,207599079,207605986,PAS,True,114,142
ENSG00000077044.10,chr2,233467203,233469370,ES,True,29,169
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,35,185
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,71,526
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,98,111
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,31,155
ENSG00000115392.11,chr2,58165723,58176952,TSS,False,135,153
ENSG00000144354.13,chr2,173358837,173363225,ES,False,248,394
ENSG00000144354.13,chr2,173363895,173364794,3AS,True,313,352
ENSG00000144354.13,chr2,173363895,173364794,IR,False,313,357
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,46,168
