gene,chr,start,end,splice_type,novel,endothelial_cell_of_umbilical_vein_ENCFF049QIP_in_cov,endothelial_cell_of_umbilical_vein_ENCFF049QIP_total_cov
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,77,604
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,32,119
ENSG00000157554.18,chr21,38392444,38402556,ES,False,49,163
ENSG00000157554.18,chr21,38380029,38383923,PAS,True,27,202
ENSG00000157554.18,chr21,38498362,38498495,TSS,True,65,232
ENSG00000159228.12,chr21,36069954,36070404,TSS,True,44,264
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,142,612
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,121,258
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,144,255
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,31,264
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,78,221
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,57,106
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,57,114
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,64,114
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,24,123
ENSG00000157538.13,chr21,37261081,37261937,PAS,False,98,115
ENSG00000160256.12,chr21,44967181,44973199,3AS,True,13,102
ENSG00000160256.12,chr21,44967181,44976679,ES,True,13,115
ENSG00000160256.12,chr21,44939937,44940186,TSS,True,71,118
ENSG00000160256.12,chr21,44967072,44967181,TSS,True,52,117
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,13,128
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,36,134
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,20,197
ENSG00000160310.17,chr21,46635763,46636895,ES,False,346,529
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,102,657
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,394,579
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,430,647
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,489,630
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,20,149
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,322,386
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,208,493
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,19,127
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,143,210
ENSG00000173638.18,chr21,45525816,45526032,TSS,True,175,210
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,17,103
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,87,103
ENSG00000166979.12,chr21,32411691,32413013,TSS,True,18,104
ENSG00000142192.20,chr21,25982477,26000014,ES,False,98,204
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,44,295
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,387,587
ENSG00000205758.11,chr21,33591207,33595730,3AS,False,102,115
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,55,174
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,141,172
ENSG00000182240.15,chr21,41167520,41168575,TSS,False,45,316
ENSG00000160221.17,chr21,44144820,44145712,PAS,True,31,116
ENSG00000160221.17,chr21,44140941,44141419,PAS,True,103,116
ENSG00000197381.15,chr21,45074166,45074793,TSS,True,100,143
ENSG00000154640.14,chr21,17598824,17604859,ES,False,90,104
ENSG00000154640.14,chr21,17612698,17612997,TSS,True,25,129
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,131,821
ENSG00000160194.17,chr21,42897047,42908863,ES,True,31,105
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,94,105
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,107,959
ENSG00000154719.13,chr21,25607402,25607522,TSS,True,19,138
ENSG00000154719.13,chr21,25592811,25592938,TSS,True,123,138
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,74,263
ENSG00000150551.10,chr2,132644767,132646280,PAS,True,60,271
ENSG00000150551.10,chr2,132653610,132654392,PAS,True,227,271
ENSG00000150551.10,chr2,132669880,132670271,TSS,False,83,303
ENSG00000150551.10,chr2,132671178,132671497,TSS,False,264,303
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,35,279
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,64,264
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,215,264
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,48,109
ENSG00000071054.16,chr2,101859864,101864929,ES,False,96,112
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,19,119
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,102,121
ENSG00000071054.16,chr2,101870415,101873646,ES,False,90,125
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,97,131
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,80,181
ENSG00000222041.11,chr2,87455645,87521206,ES,False,149,181
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,126,860
ENSG00000138035.14,chr2,55693662,55693866,TSS,True,14,106
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,44,142
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,53,112
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,21,162
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,302,533
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,37,337
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,30,216
ENSG00000168899.4,chr2,85591862,85592947,5AS,True,507,601
ENSG00000150938.9,chr2,36355720,36356623,TSS,True,130,184
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,50,343
ENSG00000168288.12,chr2,149587088,149587752,TSS,True,299,343
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,30,263
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,125,173
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,154,192
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,28,207
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,63,209
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,172,209
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,142,162
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,47,162
ENSG00000196141.13,chr2,200419496,200440648,ES,False,113,193
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,195,223
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,60,223
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,94,249
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,186,249
ENSG00000138385.15,chr2,169798800,169798976,TSS,True,65,413
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,123,204
ENSG00000235770.5,chr2,215611153,215613738,PAS,False,102,114
ENSG00000235770.5,chr2,215617341,215620397,PAS,True,78,114
ENSG00000235770.5,chr2,215610874,215613743,PAS,True,84,114
ENSG00000235770.5,chr2,215848757,215848915,TSS,True,20,123
ENSG00000115963.13,chr2,150487455,150487548,IR,False,141,411
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,187,431
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,290,431
ENSG00000168906.12,chr2,85543034,85543669,IR,True,112,130
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,37,157
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,18,131
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,44,102
ENSG00000065911.11,chr2,74198742,74205704,ES,True,131,152
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,18,178
ENSG00000176720.5,chr2,241562476,241572296,ES,True,30,229
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,77,278
ENSG00000176720.5,chr2,241559005,241559703,TSS,True,250,278
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,99,861
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,27,269
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,213,306
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,179,294
ENSG00000124831.18,chr2,237749197,237749324,TSS,True,251,293
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,179,265
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,138,292
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,30,182
ENSG00000115204.14,chr2,27322447,27322570,TSS,True,162,182
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,51,115
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,38,274
ENSG00000115694.14,chr2,241501708,241508442,ES,False,32,243
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,68,282
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,398,915
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,668,915
ENSG00000168385.17,chr2,241315982,241324215,ES,False,750,845
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,144,1007
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,62,124
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,50,132
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,106,132
ENSG00000115419.12,chr2,190880798,190881470,TSS,True,24,161
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,37,148
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,135,157
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,434,519
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,314,519
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,423,519
ENSG00000115307.16,chr2,74528935,74529131,IR,False,292,344
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,54,406
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,99,115
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,85,102
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,29,114
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,97,114
ENSG00000128699.13,chr2,189782602,189783013,IR,False,101,176
ENSG00000128699.13,chr2,189782602,189784268,ES,False,81,162
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,202,264
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,90,265
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,82,111
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,14,126
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,29,159
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,29,250
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,28,189
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,89,188
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,106,187
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,310,1035
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,834,1035
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,92,735
ENSG00000119185.12,chr2,9406905,9408112,ES,False,32,302
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,83,324
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,272,324
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,12,107
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,32,241
ENSG00000115163.14,chr2,26793811,26797683,PAS,True,27,135
ENSG00000115163.14,chr2,26800928,26801067,PAS,False,111,136
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,48,227
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,33,180
ENSG00000138381.9,chr2,189670440,189671251,PAS,True,25,182
ENSG00000138381.9,chr2,189666040,189667236,PAS,True,156,181
ENSG00000163170.11,chr2,74135658,74145188,ES,False,47,224
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,78,138
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,76,138
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,12,115
ENSG00000243147.7,chr2,27772692,27779432,ES,False,270,483
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,90,579
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,510,579
ENSG00000197713.14,chr2,210016112,210016506,ES,False,169,189
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,212,251
ENSG00000134324.11,chr2,11746584,11746671,TSS,True,43,121
ENSG00000134324.11,chr2,11824631,11827409,PAS,True,18,100
ENSG00000155755.18,chr2,201642608,201642696,TSS,True,45,153
ENSG00000155755.18,chr2,201643358,201643558,TSS,True,117,153
ENSG00000003436.15,chr2,187503770,187554199,ME,False,87,160
ENSG00000003436.15,chr2,187503770,187554199,ME,False,83,160
ENSG00000003436.15,chr2,187503770,187554199,ME,False,83,160
ENSG00000003436.15,chr2,187503770,187529363,ES,True,83,120
ENSG00000003436.15,chr2,187503770,187554199,ES,False,611,833
ENSG00000003436.15,chr2,187513646,187554199,ES,False,73,126
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,123,892
ENSG00000136560.13,chr2,161136917,161137063,TSS,True,114,156
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,78,156
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,131,156
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,24,155
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,531,1139
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,655,1139
