gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF362CPC_in_cov,endodermal_cell_ENCFF362CPC_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,154,180
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,154,237
ENSG00000182670.13,chr21,37156906,37159698,ES,False,257,300
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,247,428
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,353,428
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,26,123
ENSG00000280071.3,chr21,5118847,5124755,ES,False,36,180
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,23,202
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,94,841
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,111,267
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,155,261
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,30,268
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,27,141
ENSG00000236384.7,chr21,41712044,41712815,IR,True,28,101
ENSG00000236384.7,chr21,41712373,41712815,IR,False,33,106
ENSG00000236384.7,chr21,41713000,41713550,IR,True,75,106
ENSG00000236384.7,chr21,41713936,41714019,IR,True,47,101
ENSG00000236384.7,chr21,41711460,41712044,PAS,True,131,159
ENSG00000236384.7,chr21,41711460,41713000,PAS,True,116,156
ENSG00000236384.7,chr21,41711462,41714132,PAS,True,124,155
ENSG00000236384.7,chr21,41711460,41712373,PAS,False,128,159
ENSG00000236384.7,chr21,41714233,41715654,TSS,True,25,173
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,13,124
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,12,111
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,15,117
ENSG00000160200.17,chr21,43053647,43053861,IR,False,52,285
ENSG00000160200.17,chr21,43059303,43060440,IR,True,270,310
ENSG00000160200.17,chr21,43066377,43068508,5AS,True,239,273
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,265,339
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,102,328
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,82,339
ENSG00000233056.2,chr21,42925345,42925826,TSS,False,20,177
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,94,200
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,123,263
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,159,243
ENSG00000159140.19,chr21,33549475,33554631,PAS,True,122,142
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,149,255
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,161,255
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,36,117
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,93,117
ENSG00000160310.17,chr21,46635763,46636895,ES,False,204,257
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,29,288
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,243,278
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,126,287
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,221,281
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,29,113
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,771,911
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,357,1019
ENSG00000142192.20,chr21,25982477,26000014,ES,False,131,259
ENSG00000142192.20,chr21,25982477,26021839,ES,False,39,289
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,156,415
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,43,115
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,82,115
ENSG00000160201.11,chr21,43095743,43101365,ES,False,88,112
ENSG00000160201.11,chr21,43095743,43104314,ME,False,88,229
ENSG00000160201.11,chr21,43100519,43104314,ES,False,141,164
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,48,167
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,32,114
ENSG00000205726.14,chr21,33836986,33838635,PAS,True,12,111
ENSG00000274276.4,chr21,6445325,6445539,IR,False,43,243
ENSG00000274276.4,chr21,6450981,6452118,IR,True,224,254
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,68,266
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,214,266
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,58,278
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,30,288
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,181,642
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,90,642
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,559,629
ENSG00000275895.6,chr21,6487412,6495992,ME,False,56,138
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,98,805
ENSG00000160285.14,chr21,46195756,46205835,ES,True,16,124
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,60,153
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,134,153
ENSG00000185658.13,chr21,39192418,39197415,PAS,True,83,100
ENSG00000185658.13,chr21,39313442,39314127,TSS,True,28,120
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,24,176
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,30,156
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,147,175
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,106,187
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,95,188
ENSG00000138032.20,chr2,44168839,44169274,TSS,True,18,133
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,66,129
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,72,125
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,59,125
ENSG00000071054.16,chr2,101859864,101864929,ES,False,71,124
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,34,125
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,29,126
ENSG00000071054.16,chr2,101870415,101873646,ES,False,108,131
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,53,158
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,127,721
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,110,362
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,34,104
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,77,104
ENSG00000115109.13,chr2,120013027,120013210,TSS,True,29,116
ENSG00000115109.13,chr2,120174840,120179119,PAS,True,83,103
ENSG00000124839.12,chr2,237575480,237577256,3AS,True,537,601
ENSG00000124839.12,chr2,237575480,237577256,IR,True,537,610
ENSG00000124839.12,chr2,237575508,237577256,IR,True,57,130
ENSG00000124839.12,chr2,237577382,237585997,ES,False,90,488
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,49,466
ENSG00000124839.12,chr2,237575386,237576564,TSS,True,710,794
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,216,794
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,50,249
ENSG00000119787.13,chr2,38296113,38298143,IR,True,204,266
