gene,chr,start,end,splice_type,novel,mammary_epithelial_cell_ENCFF349CHO_in_cov,mammary_epithelial_cell_ENCFF349CHO_total_cov
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,19,184
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,163,211
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,56,211
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,75,361
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,96,351
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,256,342
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,38,358
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,41,104
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,26,127
ENSG00000159079.18,chr21,32603160,32603243,TSS,True,108,127
ENSG00000160256.12,chr21,44939937,44940186,TSS,True,50,110
ENSG00000160256.12,chr21,44967072,44967181,TSS,True,67,110
ENSG00000159267.14,chr21,36966443,36966724,TSS,True,95,128
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,237,265
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,43,261
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,52,265
ENSG00000160310.17,chr21,46635763,46636895,ES,False,337,375
ENSG00000160310.17,chr21,46649739,46664294,ES,False,13,104
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,61,450
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,242,404
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,338,445
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,350,437
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,44,384
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,50,105
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,80,277
ENSG00000142192.20,chr21,25982477,26000014,ES,False,67,193
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,49,285
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,529,726
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,45,131
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,94,131
ENSG00000159216.18,chr21,34788291,34792610,PAS,True,154,175
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,86,100
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,47,112
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,85,111
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,76,203
ENSG00000157557.11,chr21,38814780,38814981,TSS,True,157,201
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,27,230
ENSG00000154640.14,chr21,17598824,17604859,ES,False,240,292
ENSG00000154640.14,chr21,17612698,17612997,TSS,True,52,344
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,96,771
ENSG00000160194.17,chr21,42897047,42908863,ES,True,204,264
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,125,428
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,15,147
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,16,142
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,153,177
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,32,176
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,40,115
ENSG00000035115.21,chr2,219001,229965,ES,False,79,119
ENSG00000035115.21,chr2,263983,264695,TSS,True,57,126
ENSG00000035115.21,chr2,264541,264609,TSS,False,91,126
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,126,660
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,54,142
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,120,142
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,72,257
ENSG00000138413.13,chr2,208254030,208254242,TSS,False,229,257
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,49,101
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,56,526
ENSG00000119787.13,chr2,38296113,38298143,IR,True,92,110
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,26,118
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,94,112
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,223,373
ENSG00000163219.11,chr2,68799837,68800044,TSS,True,15,102
ENSG00000168918.13,chr2,233204228,233204717,TSS,False,145,171
ENSG00000168918.13,chr2,233198095,233198376,TSS,True,147,171
ENSG00000168918.13,chr2,233139679,233139929,TSS,True,151,186
ENSG00000168918.13,chr2,233162985,233163903,TSS,True,140,171
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,25,225
ENSG00000124356.15,chr2,73828996,73830844,ES,False,97,109
ENSG00000124356.15,chr2,73828996,73830844,5AS,False,97,179
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,135,246
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,165,246
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,83,530
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,151,215
ENSG00000196504.16,chr2,152677475,152679351,ES,False,38,227
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,177,231
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,34,252
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,87,253
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,199,253
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,141,161
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,61,161
ENSG00000218739.9,chr2,37196480,37196520,TSS,True,36,109
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,90,102
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,17,108
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,83,498
ENSG00000196141.13,chr2,200419496,200440648,ES,False,181,374
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,342,396
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,86,396
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,298,620
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,386,620
ENSG00000138385.15,chr2,169798800,169798976,TSS,True,86,270
ENSG00000138385.15,chr2,169810956,169811044,TSS,True,196,265
ENSG00000115963.13,chr2,150487455,150487548,IR,False,448,957
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,534,1003
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,548,1003
ENSG00000032389.12,chr2,3214248,3338016,ES,False,33,183
ENSG00000032389.12,chr2,3377647,3377973,TSS,True,24,212
ENSG00000115756.12,chr2,10396920,10419733,ES,False,414,471
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,49,109
ENSG00000065911.11,chr2,74198742,74205704,ES,True,643,784
ENSG00000079156.16,chr2,178339094,178349223,ES,False,65,102
ENSG00000079156.16,chr2,178361815,178373889,ES,False,19,102
ENSG00000079156.16,chr2,178194309,178194674,TSS,True,16,113
ENSG00000079156.16,chr2,178395450,178399184,PAS,True,14,105
