gene,chr,start,end,splice_type,novel,HL-60_ENCFF600MGT_in_cov,HL-60_ENCFF600MGT_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,69,113
ENSG00000182670.13,chr21,37073364,37108391,ES,False,81,150
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,81,151
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,90,240
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,171,240
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,175,230
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,151,230
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,204,230
ENSG00000159055.3,chr21,32269117,32269706,IR,True,93,112
ENSG00000159055.3,chr21,32269803,32270406,IR,True,98,113
ENSG00000159055.3,chr21,32268222,32269117,PAS,False,22,115
ENSG00000159055.3,chr21,32268950,32270529,PAS,True,100,115
ENSG00000142185.16,chr21,44426736,44435130,ES,False,20,147
ENSG00000142185.16,chr21,44353376,44353865,TSS,True,49,156
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,414,1210
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,946,1208
ENSG00000159079.18,chr21,32601973,32602271,IR,False,119,157
ENSG00000159079.18,chr21,32602367,32603160,IR,False,121,155
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,38,159
ENSG00000159079.18,chr21,32601666,32603292,PAS,True,133,159
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,22,212
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,69,106
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,93,106
ENSG00000160214.12,chr21,43802387,43803511,IR,True,316,360
ENSG00000160214.12,chr21,43803511,43805757,PAS,False,46,368
ENSG00000160214.12,chr21,43802273,43805277,PAS,True,331,368
ENSG00000160310.17,chr21,46635763,46636895,ES,False,251,333
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,177,361
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,215,357
ENSG00000173638.18,chr21,45515152,45525816,3AS,False,139,294
ENSG00000173638.18,chr21,45532148,45537770,5AS,True,263,322
ENSG00000173638.18,chr21,45512550,45516140,PAS,True,194,348
ENSG00000173638.18,chr21,45512549,45515152,PAS,True,221,360
ENSG00000173638.18,chr21,45502380,45502969,PAS,False,315,360
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,122,360
ENSG00000173638.18,chr21,45541786,45541857,TSS,False,307,360
ENSG00000160305.17,chr21,46458077,46459222,TSS,True,25,113
ENSG00000160305.17,chr21,46567369,46570021,PAS,True,98,112
ENSG00000142192.20,chr21,25982477,26000014,ES,False,80,106
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,27,122
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,121,203
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,86,203
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,119,141
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,79,146
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,80,145
ENSG00000156273.15,chr21,29298953,29321220,ES,True,89,100
ENSG00000156273.15,chr21,29321514,29327280,3AS,True,15,101
ENSG00000156273.15,chr21,29298773,29298953,TSS,False,17,121
ENSG00000156273.15,chr21,29342398,29346151,PAS,False,20,114
ENSG00000205581.10,chr21,39345274,39345829,IR,False,98,124
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,42,284
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,29,205
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,43,210
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,63,143
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,99,137
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,51,294
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,43,348
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,58,154
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,114,154
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,40,183
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,32,134
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,103,133
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,60,133
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,106,128
ENSG00000115339.13,chr2,165794014,165794777,TSS,True,15,117
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,69,126
ENSG00000204634.12,chr2,101010389,101011026,PAS,True,86,126
ENSG00000204634.12,chr2,101033122,101033758,PAS,True,107,123
ENSG00000163219.11,chr2,68787956,68807275,3AS,False,62,538
ENSG00000163219.11,chr2,68774784,68775420,TSS,True,162,591
ENSG00000163219.11,chr2,68734779,68735260,TSS,True,431,591
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,14,114
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,31,114
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,85,114
ENSG00000168918.13,chr2,233122257,233125747,3AS,False,207,486
ENSG00000168918.13,chr2,233059844,233060612,TSS,True,173,654
ENSG00000168918.13,chr2,233162985,233163903,TSS,True,565,631
