gene,chr,start,end,splice_type,novel,WTC11_ENCFF041RNG_in_cov,WTC11_ENCFF041RNG_total_cov
ENSG00000182362.13,chr21,46286287,46286415,TSS,False,36,104
ENSG00000182362.13,chr21,46286359,46286737,TSS,False,82,104
ENSG00000182362.13,chr21,46297538,46297809,PAS,True,11,103
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,38,124
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,53,124
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,39,370
ENSG00000160200.17,chr21,43053647,43053861,IR,False,127,204
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,123,270
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,136,213
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,112,270
ENSG00000160310.17,chr21,46635763,46636895,ES,False,103,154
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,25,182
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,85,172
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,145,180
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,149,174
ENSG00000160310.17,chr21,46660832,46661277,PAS,True,156,177
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,82,555
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,487,555
ENSG00000228592.1,chr21,23358199,23362239,PAS,False,38,105
ENSG00000228592.1,chr21,23361735,23364193,PAS,True,75,105
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,72,313
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,254,313
ENSG00000160201.11,chr21,43095743,43104314,ME,False,254,621
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,133,770
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,39,119
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,99,118
ENSG00000205758.11,chr21,33641680,33642193,TSS,True,12,119
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,14,128
ENSG00000275895.6,chr21,6487412,6495992,ME,False,230,571
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,131,715
ENSG00000205581.10,chr21,39345274,39348291,ES,False,284,365
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,142,469
ENSG00000154639.18,chr21,17559131,17565427,ES,False,28,249
