gene,chr,start,end,splice_type,novel,WTC11_ENCFF985LGZ_in_cov,WTC11_ENCFF985LGZ_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,148232,150349,ES,True,27,104
ENSG00000277196.4,chr22_KI270734v1_random,151021,161313,ES,True,44,120
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,23,143
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,27,165
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,73,533
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,176,543
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,352,520
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,72,543
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,50,185
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,74,103
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,35,110
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,81,110
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,19,185
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,26,126
ENSG00000157538.13,chr21,37261081,37261937,PAS,False,105,121
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,22,138
ENSG00000160200.17,chr21,43053647,43053861,5AS,True,295,328
ENSG00000160200.17,chr21,43053647,43053861,IR,False,295,718
ENSG00000160200.17,chr21,43066377,43067777,ES,True,65,102
ENSG00000160200.17,chr21,43066377,43068508,5AS,True,611,696
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,478,825
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,387,801
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,174,825
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,75,123
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,121,166
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,74,154
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,111,159
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,84,159
ENSG00000160214.12,chr21,43802387,43803511,IR,True,112,127
ENSG00000160214.12,chr21,43803511,43805757,PAS,False,18,135
ENSG00000160214.12,chr21,43802273,43805277,PAS,True,118,133
ENSG00000160310.17,chr21,46635763,46636895,ES,False,84,143
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,23,168
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,125,154
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,87,167
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,121,155
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,39,173
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,252,298
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,219,380
ENSG00000160193.11,chr21,42859722,42873550,ES,True,11,101
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,21,109
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,91,109
ENSG00000142192.20,chr21,25982477,26000014,ES,False,194,461
ENSG00000142192.20,chr21,25982477,26021839,ES,False,56,494
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,310,731
ENSG00000160201.11,chr21,43095743,43101365,ES,False,120,144
ENSG00000160201.11,chr21,43095743,43104314,ME,False,120,324
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,41,362
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,94,226
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,45,226
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,184,209
ENSG00000275895.6,chr21,6487412,6495992,ME,False,114,302
ENSG00000275895.6,chr21,6487412,6493043,ES,False,114,129
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,169,993
ENSG00000156304.14,chr21,31666727,31672354,PAS,True,21,100
ENSG00000156304.14,chr21,31731662,31732165,TSS,True,18,103
ENSG00000160285.14,chr21,46195756,46205835,ES,True,23,132
ENSG00000160285.14,chr21,46221975,46222662,5AS,False,13,112
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,91,162
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,125,162
ENSG00000154639.18,chr21,17559131,17565427,ES,False,30,290
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,73,357
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,26,207
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,75,193
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,132,193
ENSG00000138032.20,chr2,44168839,44169274,TSS,True,56,310
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,187,299
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,121,283
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,385,1495
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,16,110
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,166,341
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,4188,4671
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,55,489
ENSG00000124839.12,chr2,237577382,237585997,ES,False,41,177
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,20,168
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,39,262
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,49,184
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,47,104
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,32,104
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,27,134
ENSG00000144029.11,chr2,95101723,95106422,ES,False,18,168
ENSG00000144029.11,chr2,95106457,95108253,5AS,True,18,168
