gene,chr,start,end,splice_type,novel,left_colon_ENCFF886FZQ_in_cov,left_colon_ENCFF886FZQ_total_cov
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,119,422
ENSG00000280071.3,chr21,5125878,5125968,TSS,True,346,422
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,571,1207
ENSG00000184012.11,chr21,41494355,41494578,TSS,True,1037,1206
ENSG00000243646.9,chr21,33266358,33266514,TSS,True,43,197
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,47,173
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,140,173
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,419,1134
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,919,1134
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,46,108
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,69,104
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,19,108
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,23,112
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,39,136
ENSG00000157538.13,chr21,37227653,37227807,TSS,True,114,127
ENSG00000160190.13,chr21,42513924,42518276,ES,True,79,112
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,133,246
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,180,246
ENSG00000160190.13,chr21,42580344,42581441,PAS,False,25,233
ENSG00000160310.17,chr21,46635763,46636895,ES,False,185,211
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,136,246
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,154,243
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,80,201
ENSG00000160191.17,chr21,42729299,42731949,TSS,True,146,317
ENSG00000160191.17,chr21,42760866,42760907,TSS,True,277,314
ENSG00000157601.13,chr21,41426263,41427754,ES,False,22,122
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,34,156
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,23,130
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,50,104
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,169,212
ENSG00000157557.11,chr21,38818425,38818646,TSS,True,175,205
ENSG00000182240.15,chr21,41167520,41168575,TSS,False,19,171
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,202,669
ENSG00000183255.11,chr21,44856192,44857512,TSS,True,581,669
ENSG00000160180.15,chr21,42315292,42315524,TSS,True,232,1505
ENSG00000160180.15,chr21,42313484,42313631,TSS,True,1347,1505
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,84,126
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,105,126
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,109,126
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,57,126
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,71,119
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,172,272
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,193,263
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,45,262
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,36,250
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,232,262
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,38,144
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,37,119
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,95,127
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,90,157
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,70,157
ENSG00000035115.21,chr2,219001,229965,ES,False,129,203
ENSG00000035115.21,chr2,263983,264695,TSS,True,38,209
ENSG00000115112.7,chr2,121285047,121285219,TSS,False,70,103
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,54,349
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,44,349
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,382,1399
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,1126,1398
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,63,288
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,28,114
ENSG00000115616.2,chr2,102618926,102620137,TSS,False,42,124
ENSG00000115233.11,chr2,161411301,161411718,PAS,True,12,115
ENSG00000169994.18,chr2,127625502,127625535,TSS,True,147,165
ENSG00000169994.18,chr2,127631830,127632401,TSS,True,141,165
ENSG00000169994.18,chr2,127637315,127637726,PAS,True,19,167
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,84,616
ENSG00000115339.13,chr2,165794014,165794777,TSS,True,27,185
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,33,210
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,14,129
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,113,126
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,51,114
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,95,700
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,33,193
ENSG00000138073.13,chr2,27133337,27133531,IR,False,144,163
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,21,174
