gene,chr,start,end,splice_type,novel,lower_lobe_of_right_lung_ENCFF767KXS_in_cov,lower_lobe_of_right_lung_ENCFF767KXS_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,44,144
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,67,146
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,98,146
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,99,139
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,125,141
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,80,136
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,22,213
ENSG00000184012.11,chr21,41498189,41508080,5AS,True,100,113
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,60,160
ENSG00000184012.11,chr21,41507949,41508158,TSS,True,143,160
ENSG00000243646.9,chr21,33266358,33266514,TSS,True,108,179
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,117,477
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,60,125
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,16,114
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,49,103
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,59,103
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,67,251
ENSG00000160179.18,chr21,42288037,42288210,5AS,False,118,162
ENSG00000160179.18,chr21,42219093,42219304,TSS,True,21,178
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,54,172
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,14,134
ENSG00000160310.17,chr21,46635763,46636895,ES,False,162,281
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,91,391
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,257,397
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,248,373
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,177,288
ENSG00000160209.18,chr21,43755950,43762297,PAS,True,22,140
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,24,204
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,131,163
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,141,160
ENSG00000173638.18,chr21,45525816,45526032,TSS,True,85,103
ENSG00000173638.18,chr21,45534537,45534755,TSS,False,88,103
