gene,chr,start,end,splice_type,novel,heart_right_ventricle_ENCFF305AFY_in_cov,heart_right_ventricle_ENCFF305AFY_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,54,119
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,93,119
ENSG00000182670.13,chr21,37140560,37142975,PAS,True,94,107
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,101,115
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,72,108
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,89,107
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,206,1301
ENSG00000280071.3,chr21,5125878,5125968,TSS,True,1168,1301
ENSG00000141959.16,chr21,44306754,44311005,ES,True,190,225
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,147,369
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,273,369
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,129,241
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,130,237
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,51,241
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,50,180
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,30,218
ENSG00000241837.6,chr21,33914449,33915791,TSS,True,191,218
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,73,116
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,45,118
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,75,118
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,39,136
ENSG00000157538.13,chr21,37227653,37227807,TSS,True,113,127
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,95,106
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,92,105
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,89,105
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,34,271
ENSG00000160310.17,chr21,46635763,46636895,ES,False,32,293
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,113,334
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,240,328
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,115,134
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,60,134
