gene,chr,start,end,splice_type,novel,left_ventricle_myocardium_superior_ENCFF850YMO_in_cov,left_ventricle_myocardium_superior_ENCFF850YMO_total_cov
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,39,304
ENSG00000141959.16,chr21,44306754,44311005,ES,True,168,213
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,53,265
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,228,259
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,20,143
ENSG00000160310.17,chr21,46635763,46636895,ES,False,22,155
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,23,189
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,113,187
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,109,183
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,70,146
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,106,120
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,126,167
ENSG00000182871.14,chr21,45485727,45486992,TSS,True,143,167
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,145,167
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,35,201
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,96,389
ENSG00000160221.17,chr21,44133609,44133838,TSS,True,34,307
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,121,912
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,26,253
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,264,509
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,433,507
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,106,509
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,412,482
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,77,138
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,61,137
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,26,101
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,15,112
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,179,204
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,40,236
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,25,155
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,38,206
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,21,145
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,29,105
ENSG00000013016.15,chr2,31260710,31260922,TSS,True,90,105
ENSG00000075886.10,chr2,131479291,131479456,TSS,True,38,267
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,19,147
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,126,142
ENSG00000204843.12,chr2,74371728,74377431,ES,False,19,182
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,90,243
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,25,140
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,53,115
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,43,106
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,138,191
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,140,187
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,107,126
ENSG00000124006.14,chr2,219556453,219557867,TSS,True,110,126
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,140,191
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,167,189
ENSG00000138430.15,chr2,174229451,174248451,ES,False,19,123
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,91,108
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,15,123
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,95,111
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,16,123
ENSG00000115648.13,chr2,237518648,237525600,ES,False,49,188
ENSG00000115648.13,chr2,237527516,237540347,ES,False,35,189
ENSG00000115648.13,chr2,237540533,237542566,ES,False,30,192
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,31,196
ENSG00000196141.13,chr2,200419496,200440648,ES,False,79,100
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,163,186
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,57,186
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,65,176
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,107,162
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,103,204
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,182,203
ENSG00000135926.14,chr2,218287206,218287282,TSS,True,178,204
ENSG00000135945.9,chr2,99449504,99462495,ES,False,94,106
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,120,200
ENSG00000135945.9,chr2,99403037,99403106,PAS,True,108,200
ENSG00000135945.9,chr2,99437006,99439310,PAS,True,94,112
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,92,201
ENSG00000135945.9,chr2,99404800,99404879,TSS,True,107,179
ENSG00000115756.12,chr2,10396920,10419733,ES,False,142,169
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,57,107
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,25,162
ENSG00000124831.18,chr2,237708630,237748363,ES,False,26,149
ENSG00000124831.18,chr2,237749324,237753308,ES,False,28,160
ENSG00000124831.18,chr2,237756187,237760063,ES,False,24,132
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,46,172
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,144,171
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,133,164
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,141,164
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,79,169
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,146,164
ENSG00000114923.16,chr2,219629421,219630152,ES,True,15,130
