gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos,coverage
ENSG00000278817.1,AC007325.4,+,1,2,5,135486,136194,45,0.7326323047750388,1
ENSG00000182670.13,TTC3,+,17,7,26,37138713,37140567,1555,0.2781637251220428,0
ENSG00000182670.13,TTC3,+,4,27,34,37156903,37159702,20,0.9194915712416605,0
ENSG00000182670.13,TTC3,+,17,19,38,37157181,37159702,1051,0.6626475554621784,1
ENSG00000186866.16,POFUT2,-,4,2,8,45282396,45283382,126,0.20888295207881113,0
ENSG00000186866.16,POFUT2,-,3,2,7,45282396,45283391,398,0.277202216066482,0
ENSG00000186866.16,POFUT2,-,3,1,7,45282396,45285697,398,0.2133240997229917,0
ENSG00000159055.3,MIS18A,-,0,2,4,32269110,32270507,62,0.9151158186497723,0
ENSG00000157617.16,C2CD2,-,0,12,14,41889331,41899149,127,0.8675302420818751,0
ENSG00000157617.16,C2CD2,-,2,2,6,41918217,41918941,142,0.5414552736982643,0
ENSG00000278903.3,CU633906.2,+,4,0,6,6318495,6320906,78,0.08150764843142339,0
ENSG00000280071.3,GATD3B,-,0,6,8,5116387,5117188,95,0.9629184620483925,0
ENSG00000280071.3,GATD3B,-,0,4,6,5120850,5121742,252,0.9148881127926529,1
ENSG00000280071.3,GATD3B,-,0,4,6,5120854,5121742,252,0.9146294140473419,1
ENSG00000280071.3,GATD3B,-,0,4,6,5120889,5121742,252,0.9123658000258699,1
ENSG00000280071.3,GATD3B,-,3,0,5,5124874,5127921,223,0.1681280502936554,1
ENSG00000159256.12,MORC3,+,1,9,13,36360250,36364160,221,0.8522812493666011,0
ENSG00000224905.6,AP001347.1,+,0,2,4,14084025,14144354,62,0.7413429162322457,0
ENSG00000183421.11,RIPK4,-,3,3,8,41746688,41749182,5,0.6905209161187775,2
PB_novel_48702,PB_novel_48702,-,0,0,2,42977565,42981132,4,0.5663426488456865,1
PB_novel_48349,PB_novel_48349,+,1,0,4,29006350,29008613,19,0.19096796182685752,0
PB_novel_48349,PB_novel_48349,+,0,1,3,29008118,29008613,7,0.9149535809018567,0
ENSG00000237594.2,AP000251.1,+,0,0,2,31559239,31560284,4,0.4193418940609952,1
ENSG00000230479.1,AP000695.1,+,1,0,3,36430326,36445664,16,0.14988175972794965,3
ENSG00000230479.1,AP000695.1,+,0,1,3,36445730,36481032,5,0.6456336268327444,0
ENSG00000157551.18,KCNJ15,+,2,0,4,38296717,38296967,58,0.0014011567950499933,0
ENSG00000157551.18,KCNJ15,+,1,2,5,38297011,38299607,61,0.8748062659138713,0
