gene,chr,start,end,splice_type,novel,psoas_muscle_ENCFF698UNA_in_cov,psoas_muscle_ENCFF698UNA_total_cov
ENSG00000278817.1,chr22_KI270734v1_random,131563,131755,TSS,False,41,206
ENSG00000278817.1,chr22_KI270734v1_random,131570,131996,TSS,True,183,206
ENSG00000277196.4,chr22_KI270734v1_random,148232,150349,ES,True,22,101
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,50,147
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,32,289
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,32,103
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,82,103
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,17,103
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,42,110
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,41,111
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,98,111
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,71,117
ENSG00000157557.11,chr21,38821605,38821704,TSS,True,93,112
ENSG00000160216.18,chr21,43865118,43865345,TSS,False,88,140
ENSG00000160299.16,chr21,46431978,46435903,5AS,False,109,200
ENSG00000160299.16,chr21,46411188,46412067,TSS,True,239,274
ENSG00000160299.16,chr21,46416095,46416839,TSS,True,206,270
ENSG00000160299.16,chr21,46348162,46348325,TSS,False,313,463
ENSG00000160299.16,chr21,46399589,46399774,PAS,True,197,225
ENSG00000160299.16,chr21,46445283,46445771,PAS,True,216,440
ENSG00000160299.16,chr21,46389198,46390309,PAS,True,174,217
ENSG00000183255.11,chr21,44856364,44865394,ES,False,16,140
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,38,179
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,79,585
ENSG00000160194.17,chr21,42897047,42908863,ES,True,192,262
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,103,192
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,165,191
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,51,192
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,144,175
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,91,117
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,35,115
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,26,134
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,81,125
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,77,131
ENSG00000135930.13,chr2,232557883,232559347,PAS,True,93,110
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,460,574
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,122,572
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,13,117
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,175,195
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,52,216
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,80,277
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,227,277
ENSG00000115233.11,chr2,161411301,161411718,PAS,True,39,332
ENSG00000168874.12,chr2,85753811,85754957,TSS,True,64,160
ENSG00000168874.12,chr2,85786884,85788066,PAS,True,13,111
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,43,368
ENSG00000204634.12,chr2,101059539,101090253,5AS,False,24,160
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,57,240
ENSG00000204634.12,chr2,101151126,101151527,TSS,True,83,240
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,65,258
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,38,112
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,51,416
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,84,103
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,49,103
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,92,103
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,60,123
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,85,123
ENSG00000124356.15,chr2,73862202,73867172,PAS,True,21,119
ENSG00000170577.7,chr2,45006485,45008550,5AS,True,86,103
ENSG00000170577.7,chr2,45008544,45009426,TSS,True,98,115
ENSG00000170577.7,chr2,45008550,45009425,TSS,False,29,115
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,285,318
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,174,196
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,25,203
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,92,113
