gene,chr,start,end,splice_type,novel,GM12878_ENCFF648NAR_in_cov,GM12878_ENCFF648NAR_total_cov
ENSG00000185433.8,chr21,25386338,25420707,ES,True,128,167
ENSG00000185433.8,chr21,25424553,25424897,TSS,True,76,174
ENSG00000185433.8,chr21,25421508,25421869,TSS,True,141,174
ENSG00000185433.8,chr21,25421361,25421478,TSS,True,152,174
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,24,224
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,39,144
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,468,714
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,359,711
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,90,714
ENSG00000159079.18,chr21,32601973,32602271,IR,False,133,160
ENSG00000159079.18,chr21,32602367,32603160,IR,False,131,160
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,32,168
ENSG00000159079.18,chr21,32601666,32603292,PAS,True,142,168
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,28,126
ENSG00000157538.13,chr21,37261081,37261937,PAS,False,93,116
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,20,134
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,118,169
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,66,140
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,109,140
ENSG00000160310.17,chr21,46635763,46636895,ES,False,93,118
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,87,132
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,76,130
ENSG00000157601.13,chr21,41426263,41427754,ES,False,617,3875
ENSG00000157601.13,chr21,41427866,41432030,ES,True,30,255
ENSG00000157601.13,chr21,41427866,41432049,3AS,False,152,411
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,89,110
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,36,110
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,55,140
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,91,140
ENSG00000160199.14,chr21,43029889,43034480,PAS,True,20,111
ENSG00000160199.14,chr21,43028701,43029591,PAS,True,98,111
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,46,132
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,113,131
ENSG00000183486.12,chr21,41361996,41362055,TSS,True,102,249
ENSG00000183486.12,chr21,41369618,41370645,TSS,True,202,249
ENSG00000154640.14,chr21,17598824,17604859,ES,False,138,156
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,27,238
ENSG00000159110.19,chr21,33262560,33264526,PAS,True,43,106
ENSG00000159110.19,chr21,33262792,33265664,PAS,True,86,106
