gene,chr,start,end,splice_type,novel,H1_ENCFF207FUA_in_cov,H1_ENCFF207FUA_total_cov
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,49,200
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,135,203
ENSG00000159131.16,chr21,33511251,33511353,TSS,False,40,157
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,66,115
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,77,133
ENSG00000159079.18,chr21,32603160,32603243,TSS,True,93,133
ENSG00000159079.18,chr21,32604124,32604578,TSS,True,112,133
ENSG00000160200.17,chr21,43053647,43053861,IR,False,48,108
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,157,211
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,159,211
ENSG00000160200.17,chr21,43062310,43062396,TSS,True,187,211
ENSG00000160200.17,chr21,43053861,43053942,TSS,True,182,205
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,33,111
ENSG00000160310.17,chr21,46635763,46636895,ES,False,70,102
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,31,135
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,74,119
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,103,134
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,106,125
ENSG00000160310.17,chr21,46660832,46661277,PAS,True,114,130
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,157,1096
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,152,752
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,628,752
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,56,137
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,98,137
ENSG00000160201.11,chr21,43095743,43104314,ME,False,219,736
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,551,1306
ENSG00000274276.4,chr21,6445325,6445539,IR,False,54,103
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,52,110
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,163,205
ENSG00000274276.4,chr21,6453988,6454074,TSS,True,180,204
ENSG00000160194.17,chr21,42897047,42908863,ES,True,164,200
ENSG00000275895.6,chr21,6487412,6495992,ME,False,140,558
ENSG00000275895.6,chr21,6487412,6493043,ES,False,140,156
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,539,1112
ENSG00000205581.10,chr21,39345274,39348291,ES,False,266,340
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,144,455
ENSG00000154719.13,chr21,25607402,25607522,TSS,True,27,186
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,29,119
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,21,102
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,102,118
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,40,387
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,48,371
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,303,2295
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,1866,2295
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,801,2194
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,323,1774
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,1501,1774
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,105,688
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,44,117
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,138,269
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,369,678
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,328,675
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,108,151
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,92,151
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,36,118
ENSG00000023228.13,chr2,206130087,206130197,TSS,True,92,109
ENSG00000084754.11,chr2,26189832,26191395,PAS,True,24,222
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,69,227
ENSG00000115241.10,chr2,27383365,27383909,TSS,True,69,204
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,169,471
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,345,471
ENSG00000196504.16,chr2,152677475,152679351,ES,False,19,101
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,85,114
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,88,135
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,104,117
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,62,115
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,87,155
