gene,chr,start,end,splice_type,novel,heart_left_ventricle_ENCFF437SYY_in_cov,heart_left_ventricle_ENCFF437SYY_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,43,142
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,116,142
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,117,138
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,77,133
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,114,132
ENSG00000141959.16,chr21,44306754,44311005,ES,True,439,512
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,132,647
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,566,647
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,157,262
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,134,258
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,27,262
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,44,276
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,67,116
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,51,117
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,68,117
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,26,142
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,75,501
ENSG00000160310.17,chr21,46635763,46636895,ES,False,80,559
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,180,608
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,480,601
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,108,124
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,55,124
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,79,483
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,423,480
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,27,174
ENSG00000205758.11,chr21,33631557,33641680,ES,False,109,138
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,32,147
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,119,146
ENSG00000160299.16,chr21,46324057,46324282,TSS,True,141,185
ENSG00000160299.16,chr21,46348162,46348325,TSS,False,116,185
ENSG00000160299.16,chr21,46374911,46375109,TSS,True,102,120
ENSG00000160299.16,chr21,46353986,46354023,PAS,True,115,129
ENSG00000160299.16,chr21,46349683,46350212,PAS,False,105,126
ENSG00000160299.16,chr21,46402330,46402879,PAS,True,130,156
ENSG00000160299.16,chr21,46399589,46399774,PAS,True,106,156
ENSG00000160299.16,chr21,46445283,46445771,PAS,True,157,184
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,179,1474
