gene,chr,start,end,splice_type,novel,WTC11_ENCFF866EVJ_in_cov,WTC11_ENCFF866EVJ_total_cov
ENSG00000182362.13,chr21,46287123,46296161,ES,False,26,123
ENSG00000182362.13,chr21,46286287,46286415,TSS,False,66,149
ENSG00000182362.13,chr21,46286359,46286737,TSS,False,114,149
ENSG00000182362.13,chr21,46297538,46297809,PAS,True,20,139
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,34,119
ENSG00000280071.3,chr21,5120633,5120889,PAS,True,104,117
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,14,124
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,82,236
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,80,145
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,103,237
ENSG00000159131.16,chr21,33511251,33511353,TSS,False,76,160
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,28,124
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,80,636
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,77,108
ENSG00000157538.13,chr21,37261081,37261937,PAS,False,40,107
ENSG00000160200.17,chr21,43053647,43053861,IR,False,68,213
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,215,304
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,80,225
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,145,304
ENSG00000160310.17,chr21,46635763,46636895,ES,False,149,214
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,39,261
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,122,246
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,202,260
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,103,863
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,775,863
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,78,246
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,182,246
ENSG00000185917.13,chr21,36042410,36043956,PAS,True,14,101
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,36,107
ENSG00000185917.13,chr21,36060281,36060789,TSS,True,88,107
ENSG00000160201.11,chr21,43095743,43104314,ME,False,271,947
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,213,1186
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,31,100
ENSG00000274276.4,chr21,6453988,6454074,TSS,True,101,123
ENSG00000274276.4,chr21,6445539,6445620,TSS,True,109,122
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,186,1814
ENSG00000275895.6,chr21,6487412,6495992,ME,False,274,951
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,227,1191
ENSG00000205581.10,chr21,39345274,39348291,ES,False,376,483
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,165,586
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,27,122
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,57,273
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,236,285
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,12,114
ENSG00000135930.13,chr2,232556530,232564246,ES,False,66,437
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,57,448
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,1134,1717
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,1508,1703
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,926,1666
ENSG00000187514.16,chr2,231711987,231712447,3AS,True,59,114
ENSG00000143977.13,chr2,70288192,70293609,5AS,True,75,112
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,74,197
ENSG00000124839.12,chr2,237577382,237585997,ES,False,34,183
ENSG00000124839.12,chr2,237577382,237586063,5AS,True,23,218
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,36,196
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,56,316
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,19,187
ENSG00000115761.15,chr2,10689795,10689996,TSS,True,24,188
ENSG00000115761.15,chr2,10589042,10589197,TSS,True,147,169
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,287,1223
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,955,1215
ENSG00000196290.14,chr2,200889391,200891968,3AS,False,41,130
ENSG00000196290.14,chr2,200889652,200891917,3AS,True,102,115
ENSG00000196290.14,chr2,200889652,200891968,3AS,False,63,183
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,249,382
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,194,382
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,45,214
ENSG00000144029.11,chr2,95121733,95122014,TSS,True,40,204
ENSG00000144029.11,chr2,95108174,95108398,TSS,True,171,196
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,63,286
ENSG00000115241.10,chr2,27383951,27384829,TSS,True,134,150
ENSG00000115241.10,chr2,27383365,27383909,TSS,True,57,150
ENSG00000115241.10,chr2,27384672,27384996,TSS,True,132,150
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,107,137
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,62,137
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,305,943
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,685,943
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,90,123
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,86,146
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,70,123
ENSG00000196504.16,chr2,152693369,152694622,PAS,True,104,123
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,70,151
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,118,151
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,53,112
ENSG00000074582.13,chr2,218659716,218659800,TSS,False,92,112
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,148,1306
ENSG00000138029.13,chr2,26283051,26284882,ES,True,32,266
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,247,643
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,494,643
ENSG00000115963.13,chr2,150487455,150487548,IR,False,82,147
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,113,173
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,89,173
ENSG00000168906.12,chr2,85543034,85543669,IR,True,243,289
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,101,376
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,61,295
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,260,295
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,42,210
ENSG00000132300.18,chr2,86137468,86142103,PAS,False,36,198
ENSG00000065911.11,chr2,74198742,74207703,ES,False,56,491
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,135,627
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,165,990
ENSG00000157992.12,chr2,27442347,27442440,TSS,True,39,106
ENSG00000157992.12,chr2,27442379,27442763,TSS,False,78,106
ENSG00000157992.12,chr2,27444185,27444297,PAS,True,68,105
ENSG00000157992.12,chr2,27444188,27444297,PAS,False,83,105
ENSG00000157992.12,chr2,27443948,27446479,PAS,True,78,105
ENSG00000115204.14,chr2,27313074,27322447,3AS,False,20,196
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,33,224
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,496,569
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,144,713
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,621,1285
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,835,1269
ENSG00000115307.16,chr2,74528935,74529131,IR,False,240,275
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,80,100
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,28,108
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,88,108
ENSG00000128699.13,chr2,189782602,189783013,IR,False,183,212
ENSG00000128699.13,chr2,189782602,189784268,ES,False,175,314
