gene,chr,start,end,splice_type,novel,H1_ENCFF217ERK_in_cov,H1_ENCFF217ERK_total_cov
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,27,108
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,83,108
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,35,123
ENSG00000159079.18,chr21,32603160,32603243,TSS,True,99,122
ENSG00000160200.17,chr21,43053647,43053861,IR,False,38,104
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,115,157
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,42,108
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,91,157
ENSG00000160200.17,chr21,43062310,43062396,TSS,True,129,157
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,64,287
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,229,287
ENSG00000160201.11,chr21,43095743,43101365,ES,False,122,137
ENSG00000160201.11,chr21,43095743,43104314,ME,False,122,371
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,223,606
ENSG00000274276.4,chr21,6445325,6445539,IR,False,37,106
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,39,108
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,76,119
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,96,162
ENSG00000274276.4,chr21,6453988,6454074,TSS,True,141,161
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,11,102
ENSG00000275895.6,chr21,6487412,6495992,ME,False,88,257
ENSG00000275895.6,chr21,6487412,6493043,ES,False,88,103
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,213,485
ENSG00000205581.10,chr21,39345274,39348291,ES,False,168,216
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,73,275
ENSG00000154719.13,chr21,25607402,25607522,TSS,True,17,142
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,12,103
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,20,177
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,116,1057
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,776,1058
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,864,1050
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,538,1008
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,173,1512
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,1351,1512
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,65,508
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,40,351
ENSG00000124839.12,chr2,237575480,237577256,3AS,True,91,102
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,52,154
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,148,377
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,239,377
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,70,113
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,65,113
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,77,213
ENSG00000084754.11,chr2,26234216,26234355,TSS,True,179,210
ENSG00000115241.10,chr2,27383365,27383909,TSS,True,26,117
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,119,362
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,264,362
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,150,716
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,183,1323
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,100,232
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,184,232
ENSG00000162961.13,chr2,32039278,32039328,TSS,True,197,232
ENSG00000168906.12,chr2,85543034,85543669,IR,True,67,100
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,56,151
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,36,104
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,79,104
ENSG00000065911.11,chr2,74198742,74207703,ES,False,31,203
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,71,276
ENSG00000065911.11,chr2,74208566,74208721,TSS,True,247,276
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,47,327
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,99,765
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,99,304
