gene,chr,start,end,splice_type,novel,heart_left_ventricle_ENCFF502LAB_in_cov,heart_left_ventricle_ENCFF502LAB_total_cov
ENSG00000278817.1,chr22_KI270734v1_random,131563,131755,TSS,False,25,198
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,27,101
ENSG00000141959.16,chr21,44306754,44311005,ES,True,144,188
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,63,252
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,212,251
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,20,151
ENSG00000160310.17,chr21,46635763,46636895,ES,False,20,157
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,112,192
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,113,187
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,20,182
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,90,380
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,638,738
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,147,738
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,174,332
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,285,331
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,295,331
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,93,332
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,243,312
ENSG00000115561.15,chr2,86503429,86505949,PAS,True,14,128
ENSG00000115561.15,chr2,86542251,86542312,PAS,True,110,123
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,89,154
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,65,154
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,33,113
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,41,107
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,21,118
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,24,107
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,30,130
ENSG00000075886.10,chr2,131479291,131479456,TSS,True,43,257
ENSG00000075886.10,chr2,131480121,131480749,TSS,True,228,256
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,85,764
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,14,111
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,98,109
ENSG00000204843.12,chr2,74371728,74377431,ES,False,31,275
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,131,377
ENSG00000138073.13,chr2,27132082,27132602,ES,False,12,111
ENSG00000138073.13,chr2,27133337,27133531,IR,False,94,107
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,21,118
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,71,122
ENSG00000124006.14,chr2,219556723,219557822,ES,False,69,103
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,71,165
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,167,238
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,190,233
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,123,141
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,144,238
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,209,237
ENSG00000138430.15,chr2,174229451,174248451,ES,False,12,106
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,104,124
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,15,111
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,85,100
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,17,107
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,263,2593
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,70,141
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,123,140
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,49,119
ENSG00000135945.9,chr2,99403037,99403106,PAS,True,84,118
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,69,119
ENSG00000135945.9,chr2,99404800,99404879,TSS,True,48,107
ENSG00000115756.12,chr2,10302659,10303177,TSS,True,14,130
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,12,109
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,46,104
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,26,120
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,38,351
ENSG00000124831.18,chr2,237708630,237748363,ES,False,40,136
ENSG00000124831.18,chr2,237749324,237753308,ES,False,44,151
ENSG00000124831.18,chr2,237756187,237760063,ES,False,45,137
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,67,172
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,132,170
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,120,160
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,82,168
ENSG00000163092.19,chr2,167187354,167187531,TSS,False,101,169
ENSG00000163092.19,chr2,167257856,167259753,PAS,True,128,162
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,146,164
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,67,108
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,505,748
ENSG00000115694.14,chr2,241499414,241500172,IR,False,130,145
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,19,108
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,166,186
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,161,186
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,94,186
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,167,186
ENSG00000168385.17,chr2,241315982,241324215,ES,False,314,357
ENSG00000163492.15,chr2,178835755,178837744,PAS,True,51,110
ENSG00000163492.15,chr2,178856255,178856397,PAS,True,85,110
ENSG00000163492.15,chr2,179049839,179050195,TSS,True,48,116
ENSG00000163492.15,chr2,178869116,178869429,TSS,True,87,103
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,69,612
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,212,630
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,17,114
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,64,215
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,179,215
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,19,103
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,41,265
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,183,487
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,334,484
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,109,160
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,21,181
ENSG00000115896.15,chr2,198083755,198086232,TSS,True,180,201
ENSG00000115896.15,chr2,197804585,197805341,TSS,True,50,209
ENSG00000243147.7,chr2,27772692,27779432,ES,False,184,252
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,144,384
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,16,104
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,102,133
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,34,133
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,179,477
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,17,107
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,14,112
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,19,104
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,66,109
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,50,116
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,75,116
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,28,237
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,45,375
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,339,835
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,639,835
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,45,153
ENSG00000213626.12,chr2,30257432,30260027,PAS,True,17,122
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,29,133
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,99,126
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,24,135
ENSG00000180228.12,chr2,178447586,178450965,ES,True,19,151
ENSG00000072195.14,chr2,219489333,219489939,TSS,True,75,108
ENSG00000072195.14,chr2,219491804,219491869,TSS,False,88,108
ENSG00000072195.14,chr2,219492171,219492260,TSS,True,96,108
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,25,113
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,14,131
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,33,108
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,71,103
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,78,692
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,49,162
ENSG00000114948.12,chr2,206617578,206621126,PAS,True,25,133
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,1072,1275
