gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos,coverage
ENSG00000278817.1,AC007325.4,+,1,1,5,131923,135449,61,0.3621789346664368,0
ENSG00000278817.1,AC007325.4,+,1,1,7,131923,136194,72,0.4227705627705628,0
ENSG00000182670.13,TTC3,+,20,0,23,37073358,37087834,1521,0.09723346380946063,0
ENSG00000182670.13,TTC3,+,35,0,44,37073358,37108392,1013,0.13554400154053534,0
ENSG00000182670.13,TTC3,+,36,0,39,37073470,37087834,511,0.06373715779360724,0
ENSG00000182670.13,TTC3,+,28,0,39,37073470,37108392,511,0.15270432848351612,0
ENSG00000182670.13,TTC3,+,26,5,34,37090273,37091293,126,0.1893397062958237,0
ENSG00000182670.13,TTC3,+,21,1,25,37091390,37095350,1553,0.044401626453962,0
ENSG00000182670.13,TTC3,+,17,5,25,37108415,37122983,1553,0.36075258915036196,0
ENSG00000182670.13,TTC3,+,20,3,26,37126137,37132687,1555,0.11813118037301289,0
ENSG00000182670.13,TTC3,+,13,9,26,37144644,37150083,1555,0.3990095756665415,0
ENSG00000182670.13,TTC3,+,13,10,26,37147594,37150083,1555,0.4220881837526599,0
ENSG00000182670.13,TTC3,+,17,28,48,37156903,37159702,1022,0.6549061443305322,0
ENSG00000182670.13,TTC3,+,17,19,39,37157181,37159702,507,0.6559758117320803,0
ENSG00000182670.13,TTC3,+,4,30,37,37191393,37195721,1023,0.9264994799491506,0
ENSG00000215386.12,MIR99AHG,+,1,0,4,16194590,16231115,39,0.10316302388463272,1
ENSG00000215386.12,MIR99AHG,+,4,1,8,16231055,16391685,44,0.28306940508885003,1
ENSG00000215386.12,MIR99AHG,+,0,3,7,16487489,16607087,92,0.8547548669860361,0
ENSG00000215386.12,MIR99AHG,+,0,3,6,16537378,16607087,63,0.8702859457089566,0
ENSG00000186866.16,POFUT2,-,0,5,8,45265586,45267594,399,0.8251070840197694,0
ENSG00000186866.16,POFUT2,-,3,5,11,45270013,45277064,315,0.5991859737006888,0
ENSG00000186866.16,POFUT2,-,4,5,12,45277140,45278149,255,0.4274294539989981,0
ENSG00000186866.16,POFUT2,-,5,1,9,45278149,45282353,29,0.1629660017435003,0
ENSG00000186866.16,POFUT2,-,5,2,10,45282396,45283382,150,0.20904803639247105,0
ENSG00000186866.16,POFUT2,-,5,1,9,45282396,45285697,395,0.16048996285630812,0
ENSG00000186866.16,POFUT2,-,7,1,11,45282457,45283391,318,0.0982236154649948,0
ENSG00000186866.16,POFUT2,-,6,2,11,45282457,45285328,250,0.16335471429170334,0
ENSG00000186866.16,POFUT2,-,3,1,7,45282457,45285697,398,0.21163434903047096,0
ENSG00000186866.16,POFUT2,-,8,1,12,45283516,45285697,255,0.13681332442811822,0
ENSG00000142168.14,SOD1,+,2,0,5,31659836,31666449,88,0.37359124403987864,0
ENSG00000182362.13,YBEY,+,2,1,6,46287092,46296230,104,0.26036054703688355,0
ENSG00000157617.16,C2CD2,-,0,11,14,41889341,41901700,127,0.8489348107056244,0
ENSG00000157617.16,C2CD2,-,10,1,14,41918956,41942162,127,0.34010542977882985,0
ENSG00000157617.16,C2CD2,-,0,0,3,41942242,41953599,61,0.4823300508259212,0
ENSG00000236830.6,CBR3-AS1,-,0,0,4,36132621,36156244,31,0.4840516539025582,0
ENSG00000280071.3,GATD3B,-,0,4,8,5116477,5121742,95,0.7705087835598277,0
ENSG00000280071.3,GATD3B,-,2,3,8,5118835,5124777,379,0.545620893287865,0
