gene,chr,start,end,splice_type,novel,ovary_ENCFF984RMR_in_cov,ovary_ENCFF984RMR_total_cov
ENSG00000280071.3,chr21,5118847,5124755,ES,False,15,128
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,15,138
ENSG00000141959.16,chr21,44319415,44320083,IR,False,434,491
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,100,529
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,50,119
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,73,116
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,13,120
ENSG00000160200.17,chr21,43066377,43068508,5AS,True,240,287
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,38,318
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,91,321
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,35,122
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,104,120
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,101,120
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,31,168
ENSG00000160310.17,chr21,46635763,46636895,ES,False,169,332
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,105,368
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,289,359
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,85,143
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,884,1039
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,700,1175
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,12,103
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,123,1019
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,84,460
ENSG00000142173.14,chr21,46124920,46125464,3AS,True,114,128
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,2813,5303
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,4367,5294
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,4699,5281
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,1554,5303
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,3818,4857
ENSG00000205581.10,chr21,39345274,39348291,ES,False,134,161
ENSG00000205581.10,chr21,39345274,39348291,5AS,True,134,151
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,25,191
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,86,152
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,118,152
ENSG00000123999.4,chr2,219572289,219572642,TSS,False,24,139
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,73,687
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,47,285
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,72,443
ENSG00000138073.13,chr2,27133337,27133531,IR,False,233,273
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,37,282
ENSG00000124006.14,chr2,219556292,219556453,IR,True,218,279
ENSG00000124006.14,chr2,219556723,219557822,ES,False,235,275
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,1010,1215
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,259,1147
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,365,1263
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,83,309
ENSG00000138031.14,chr2,24918312,24919187,TSS,True,273,309
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,2052,2443
ENSG00000196141.13,chr2,200419496,200440648,ES,False,85,148
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,130,157
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,42,157
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,91,171
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,116,171
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,146,171
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,82,280
ENSG00000168906.12,chr2,85543034,85543669,IR,True,102,146
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,44,146
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,108,146
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,84,143
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,18,165
ENSG00000127837.9,chr2,218265682,218265830,IR,False,297,337
ENSG00000077232.17,chr2,182736386,182740298,3AS,False,101,115
ENSG00000114923.16,chr2,219627745,219627959,3AS,False,106,279
ENSG00000114923.16,chr2,219628482,219629143,5AS,True,29,282
ENSG00000114923.16,chr2,219628482,219629143,IR,True,29,102
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,124,233
ENSG00000114923.16,chr2,219628570,219629143,IR,True,124,197
ENSG00000114923.16,chr2,219628766,219629143,5AS,True,83,108
ENSG00000114923.16,chr2,219628766,219629143,IR,True,83,158
ENSG00000114923.16,chr2,219629071,219629143,IR,True,30,122
ENSG00000114923.16,chr2,219632442,219632873,IR,True,369,436
ENSG00000114923.16,chr2,219633457,219633879,3AS,False,353,410
ENSG00000114923.16,chr2,219627156,219627745,TSS,True,247,526
