gene,chr,start,end,splice_type,novel,adrenal_gland_ENCFF791WUV_in_cov,adrenal_gland_ENCFF791WUV_total_cov
ENSG00000157617.16,chr21,41885109,41889344,PAS,True,233,403
ENSG00000157617.16,chr21,41911319,41912440,PAS,True,339,388
ENSG00000157617.16,chr21,41949678,41953151,PAS,False,205,372
ENSG00000157617.16,chr21,41953369,41954032,TSS,True,81,452
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,114,170
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,64,170
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,121,201
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,98,219
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,139,219
ENSG00000160179.18,chr21,42288037,42288210,5AS,False,196,298
ENSG00000160310.17,chr21,46635763,46636895,ES,False,171,224
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,144,246
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,135,242
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,39,149
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,604,696
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,174,728
ENSG00000142192.20,chr21,25982477,26000014,ES,False,96,121
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,14,135
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,49,173
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,20,101
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,87,101
ENSG00000160216.18,chr21,43865118,43865345,TSS,False,20,116
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,71,392
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,120,135
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,14,132
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,141,662
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,163,662
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,502,644
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,18,135
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,14,109
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,20,109
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,68,182
ENSG00000091428.17,chr2,172860044,172860299,TSS,False,252,431
ENSG00000091428.17,chr2,172928072,172928224,TSS,False,232,428
ENSG00000035115.21,chr2,219001,229965,ES,False,61,106
ENSG00000035115.21,chr2,263983,264695,TSS,True,57,115
ENSG00000035115.21,chr2,264083,264666,TSS,True,102,115
ENSG00000035115.21,chr2,264781,264873,TSS,True,89,115
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,59,440
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,121,431
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,354,431
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,118,1035
ENSG00000144040.12,chr2,73071603,73072187,TSS,True,33,101
ENSG00000144040.12,chr2,73070459,73071335,TSS,True,85,101
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,147,455
ENSG00000204843.12,chr2,74380004,74380316,TSS,True,385,455
ENSG00000158019.20,chr2,28298491,28338449,ME,False,133,215
ENSG00000158019.20,chr2,28298491,28338449,ME,False,132,216
ENSG00000158019.20,chr2,28298491,28338449,ME,False,132,216
ENSG00000158019.20,chr2,28298491,28338449,ES,True,443,670
ENSG00000158019.20,chr2,27890511,27890842,TSS,True,489,726
ENSG00000158019.20,chr2,27978203,27978374,TSS,True,313,723
ENSG00000180902.17,chr2,241744877,241750150,ES,False,71,167
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,26,193
ENSG00000138073.13,chr2,27133337,27133531,IR,False,129,145
ENSG00000115073.7,chr2,97658643,97658878,IR,False,112,137
ENSG00000115073.7,chr2,97663842,97664042,TSS,True,31,157
ENSG00000168899.4,chr2,85591862,85592947,5AS,True,90,102
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,394,445
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,63,441
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,259,360
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,93,105
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,16,110
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,70,139
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,31,147
ENSG00000057935.13,chr2,42492600,42495006,TSS,False,125,147
ENSG00000057935.13,chr2,42708873,42710574,PAS,True,25,145
ENSG00000057935.13,chr2,42753373,42756951,PAS,True,127,145
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,138,501
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,414,501
ENSG00000115963.13,chr2,150487455,150487548,IR,False,48,180
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,59,190
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,141,190
ENSG00000168906.12,chr2,85543034,85543669,IR,True,175,214
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,39,214
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,184,214
ENSG00000163040.14,chr2,131528220,131529646,5AS,False,131,157
ENSG00000163040.14,chr2,131529691,131530776,3AS,False,71,148
ENSG00000163040.14,chr2,131530827,131531663,IR,True,142,158
ENSG00000163040.14,chr2,131531802,131532588,IR,True,126,159
ENSG00000163040.14,chr2,131531802,131532709,3AS,False,15,147
ENSG00000163040.14,chr2,131527859,131528220,TSS,True,54,184
ENSG00000163040.14,chr2,131527866,131528346,TSS,True,161,184
ENSG00000132300.18,chr2,86137468,86142103,PAS,False,16,146
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,318,358
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,57,358
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,23,150
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,18,140
ENSG00000173209.23,chr2,61185618,61186445,IR,False,51,127
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,16,136
ENSG00000173209.23,chr2,61186616,61187550,PAS,True,20,135
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,278,319
ENSG00000115694.14,chr2,241499414,241500172,IR,False,301,362
ENSG00000115694.14,chr2,241500796,241501527,5AS,False,35,344
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,47,278
