gene,chr,start,end,splice_type,novel,WTC11_ENCFF388HXU_in_cov,WTC11_ENCFF388HXU_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,148232,150349,ES,True,48,251
ENSG00000277196.4,chr22_KI270734v1_random,151021,161313,ES,True,69,266
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,47,320
ENSG00000186866.16,chr21,45265635,45267589,ES,False,104,120
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,30,137
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,101,936
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,413,1305
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,909,1278
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,131,1305
ENSG00000184787.18,chr21,44773687,44777298,IR,True,326,380
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,87,475
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,128,203
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,100,229
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,153,229
ENSG00000157538.13,chr21,37232451,37238459,ES,False,27,219
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,34,274
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,37,290
ENSG00000160200.17,chr21,43053647,43053790,IR,True,111,1069
ENSG00000160200.17,chr21,43053647,43053861,5AS,True,504,615
ENSG00000160200.17,chr21,43053647,43053861,IR,False,504,1462
ENSG00000160200.17,chr21,43056099,43056802,IR,True,107,170
ENSG00000160200.17,chr21,43059303,43060440,IR,True,1306,1600
ENSG00000160200.17,chr21,43066377,43066524,IR,True,114,138
ENSG00000160200.17,chr21,43066377,43067777,ES,True,216,302
ENSG00000160200.17,chr21,43066377,43068508,5AS,True,1177,1437
ENSG00000160200.17,chr21,43066612,43067777,IR,True,86,113
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,1084,1747
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,782,1701
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,400,1747
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,289,509
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,289,651
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,438,638
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,421,641
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,352,641
ENSG00000159140.19,chr21,33557545,33559066,PAS,False,510,574
ENSG00000155304.5,chr21,14383094,14383146,TSS,False,34,198
ENSG00000160214.12,chr21,43802387,43803511,IR,True,237,264
ENSG00000160214.12,chr21,43803511,43805757,PAS,False,29,273
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,73,156
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,139,156
ENSG00000160190.13,chr21,42514813,42514935,TSS,True,123,156
ENSG00000160294.10,chr21,46285394,46285802,5AS,False,45,141
ENSG00000160294.10,chr21,46233046,46235426,PAS,True,38,266
ENSG00000160294.10,chr21,46285802,46286519,TSS,False,222,267
ENSG00000160294.10,chr21,46285698,46286461,TSS,True,174,267
ENSG00000160294.10,chr21,46284067,46286280,TSS,True,240,267
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,20,131
ENSG00000160310.17,chr21,46635763,46636895,ES,False,156,284
