gene,chr,start,end,splice_type,novel,osteocyte_ENCFF558QPF_in_cov,osteocyte_ENCFF558QPF_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,101,134
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,101,130
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,97,231
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,204,231
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,177,205
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,108,198
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,15,118
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,18,113
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,127,184
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,104,182
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,156,184
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,218,378
ENSG00000159131.16,chr21,33508536,33509920,PAS,True,339,378
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,221,371
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,68,379
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,18,166
ENSG00000157538.13,chr21,37232451,37238459,ES,False,19,176
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,22,135
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,150,170
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,57,365
ENSG00000160310.17,chr21,46635763,46636895,ES,False,131,482
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,231,529
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,327,522
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,35,143
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,125,142
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,139,233
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,108,233
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,51,214
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,190,214
ENSG00000198743.6,chr21,34073512,34073745,TSS,False,41,146
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,190,228
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,97,240
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,160,238
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,135,1201
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,18,130
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,201,228
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,28,227
ENSG00000243927.5,chr21,34073745,34125340,ES,False,99,134
ENSG00000185658.13,chr21,39192418,39197415,PAS,True,89,101
ENSG00000185658.13,chr21,39313442,39314127,TSS,True,40,103
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,125,172
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,139,168
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,85,172
ENSG00000035115.21,chr2,219001,229965,ES,False,92,149
ENSG00000035115.21,chr2,253115,264781,ES,True,105,127
ENSG00000035115.21,chr2,264781,264873,TSS,True,23,150
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,252,1418
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,21,189
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,25,204
ENSG00000071967.11,chr2,171522249,171522738,TSS,True,20,116
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,38,347
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,84,181
ENSG00000115761.15,chr2,10589576,10589751,PAS,True,162,181
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,150,181
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,150,181
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,53,102
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,80,102
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,72,101
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,14,115
ENSG00000134313.15,chr2,8728856,8731982,PAS,True,75,109
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,52,128
ENSG00000115750.16,chr2,9933782,9934491,PAS,True,54,109
ENSG00000115750.16,chr2,9911510,9911556,PAS,True,88,107
ENSG00000204120.14,chr2,232697392,232703423,ES,False,263,314
ENSG00000204120.14,chr2,232697392,232735154,ES,False,37,364
ENSG00000204120.14,chr2,232703489,232735154,ES,False,208,321
ENSG00000204120.14,chr2,232787329,232790715,3AS,False,48,373
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,266,387
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,279,388
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,312,387
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,27,140
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,16,140
ENSG00000158019.20,chr2,28298491,28338449,ES,True,140,193
ENSG00000013441.15,chr2,200859746,200860124,IR,False,163,256
ENSG00000013441.15,chr2,200859746,200861237,ES,False,132,291
ENSG00000013441.15,chr2,200859746,200861237,IR,False,132,218
ENSG00000013441.15,chr2,200860215,200861237,IR,False,163,253
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,267,354
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,319,361
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,151,361
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,130,363
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,276,363
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,16,112
ENSG00000115963.13,chr2,150487455,150487548,IR,False,336,427
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,447,538
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,190,538
ENSG00000172965.15,chr2,111344237,111367486,5AS,False,35,104
ENSG00000172965.15,chr2,111343570,111344237,PAS,True,121,138
ENSG00000172965.15,chr2,111195862,111197194,PAS,True,122,139
ENSG00000172965.15,chr2,111203189,111208661,PAS,True,72,139
ENSG00000172965.15,chr2,111494884,111495118,TSS,True,15,139
ENSG00000204262.12,chr2,189031881,189034216,PAS,True,581,1932
ENSG00000204262.12,chr2,189062184,189063063,PAS,True,843,980
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,1236,2000
ENSG00000168906.12,chr2,85543034,85543669,IR,True,493,650
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,162,650
