gene,chr,start,end,splice_type,novel,cardiac_septum_ENCFF626QRV_in_cov,cardiac_septum_ENCFF626QRV_total_cov
ENSG00000278817.1,chr22_KI270734v1_random,131563,131755,TSS,False,19,162
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,37,302
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,132,245
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,149,245
ENSG00000141959.16,chr21,44306754,44311005,ES,True,150,207
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,57,266
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,52,124
ENSG00000156265.15,chr21,29130554,29130923,TSS,True,45,223
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,50,159
ENSG00000159140.19,chr21,33549475,33554631,PAS,True,16,111
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,29,194
ENSG00000160310.17,chr21,46635763,46636895,ES,False,63,243
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,55,312
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,177,316
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,224,306
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,138,167
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,203,266
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,227,254
ENSG00000154734.14,chr21,26835758,26838278,PAS,True,21,205
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,46,211
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,172,194
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,203,674
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,107,866
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,29,228
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,204,312
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,272,310
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,268,305
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,109,312
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,223,268
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,17,130
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,18,125
ENSG00000185437.13,chr21,39451832,39452141,TSS,True,33,184
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,24,200
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,118,170
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,54,168
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,43,131
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,51,114
ENSG00000071054.16,chr2,101855976,101856832,PAS,True,80,103
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,44,375
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,71,374
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,77,333
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,50,220
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,32,107
ENSG00000115233.11,chr2,161411301,161411718,PAS,True,16,159
ENSG00000198380.12,chr2,69350183,69354488,ES,False,16,125
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,14,135
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,77,122
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,74,528
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,15,135
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,114,128
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,110,334
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,92,149
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,75,687
ENSG00000138073.13,chr2,27132082,27132602,ES,False,17,127
ENSG00000138073.13,chr2,27133337,27133531,IR,False,109,124
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,23,139
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,69,148
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,72,171
