gene,chr,start,end,splice_type,novel,Panc1_ENCFF745DHX_in_cov,Panc1_ENCFF745DHX_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,75,115
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,75,111
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,77,193
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,156,193
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,114,162
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,134,164
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,108,162
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,49,119
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,70,251
ENSG00000183421.11,chr21,41766859,41767106,TSS,True,98,325
ENSG00000184012.11,chr21,41498189,41508080,5AS,True,217,293
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,186,405
ENSG00000184012.11,chr21,41507949,41508158,TSS,True,324,405
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,54,336
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,95,329
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,245,319
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,69,331
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,67,153
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,39,199
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,31,100
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,48,134
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,61,157
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,17,113
ENSG00000160310.17,chr21,46635763,46636895,ES,False,144,166
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,61,233
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,172,195
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,154,248
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,186,235
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,142,271
ENSG00000160209.18,chr21,43755950,43762297,PAS,True,19,147
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,42,315
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,854,1020
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,1555,1946
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,1656,1935
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,49,170
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,147,169
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,112,148
ENSG00000160201.11,chr21,43092955,43093249,PAS,True,15,106
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,30,129
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,60,105
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,253,734
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,166,279
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,141,279
ENSG00000243927.5,chr21,34073745,34125340,ES,False,119,135
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,36,180
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,97,441
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,214,268
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,168,268
ENSG00000115561.15,chr2,86503429,86505949,PAS,True,21,123
ENSG00000115561.15,chr2,86542251,86542312,PAS,True,104,122
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,29,150
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,25,135
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,73,124
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,60,124
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,62,134
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,78,134
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,25,106
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,165,1270
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,221,1270
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,25,208
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,297,1441
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,1292,1441
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,55,156
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,18,169
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,298,442
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,34,284
ENSG00000119787.13,chr2,38296113,38298143,IR,True,75,113
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,68,143
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,70,107
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,41,143
ENSG00000204634.12,chr2,101059539,101090253,5AS,False,141,157
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,76,243
ENSG00000204634.12,chr2,101010389,101011026,PAS,True,212,243
ENSG00000204634.12,chr2,101033122,101033758,PAS,True,171,204
ENSG00000204634.12,chr2,101151126,101151527,TSS,True,86,243
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,28,164
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,135,155
ENSG00000144029.11,chr2,95121733,95122014,TSS,True,20,166
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,121,513
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,40,126
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,102,120
ENSG00000204120.14,chr2,232856792,232860574,PAS,True,63,122
ENSG00000115241.10,chr2,27381192,27381805,PAS,True,33,266
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,54,297
ENSG00000115355.16,chr2,55334233,55335164,PAS,True,20,115
ENSG00000115355.16,chr2,55419016,55419995,TSS,True,43,150
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,76,134
ENSG00000138073.13,chr2,27131508,27132009,ES,False,26,149
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,26,157
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,32,166
ENSG00000162976.12,chr2,11177736,11178874,PAS,True,17,112
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,33,218
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,83,110
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,138,184
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,151,216
ENSG00000196504.16,chr2,152651731,152658020,PAS,True,191,215
ENSG00000196504.16,chr2,152659092,152659189,PAS,True,179,204
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,132,201
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,108,228
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,182,228
ENSG00000084731.14,chr2,25980372,25982757,TSS,True,21,109
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,64,622
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,29,163
ENSG00000057935.13,chr2,42492600,42495006,TSS,False,77,102
ENSG00000196141.13,chr2,200419496,200440648,ES,False,176,312
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,124,543
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,188,520
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,319,486
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,96,252
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,207,252
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,224,252
ENSG00000198399.14,chr2,24202853,24203783,PAS,True,89,101
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,23,103
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,97,192
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,90,114
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,27,117
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,269,331
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,61,126
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,96,125
ENSG00000115756.12,chr2,10396920,10408561,3AS,True,181,223
