gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos,coverage
ENSG00000277196.4,AC007325.2,-,6,4,13,146639,148468,23,0.5972304943418701,7
ENSG00000277196.4,AC007325.2,-,7,2,12,147698,150433,251,0.3982516715992547,0
ENSG00000182670.13,TTC3,+,18,4,25,37088880,37094020,445,0.23099114212004523,1
ENSG00000182670.13,TTC3,+,30,5,38,37090273,37095350,1014,0.16885820637119114,0
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.25982666666666665,1
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.25982666666666665,1
ENSG00000182670.13,TTC3,+,12,9,24,37096617,37108392,1399,0.38792748795668386,0
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,735,0.5320615541142057,1
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833,0
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833,0
ENSG00000182670.13,TTC3,+,4,16,23,37152008,37159702,1110,0.8928494088093898,1
ENSG00000182670.13,TTC3,+,9,17,29,37153255,37156660,1020,0.7241680407070545,0
ENSG00000182670.13,TTC3,+,16,16,35,37156903,37159702,509,0.6612441568340736,0
ENSG00000227456.7,LINC00310,+,0,0,3,34180760,34189439,5,0.47695727607894167,1
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16607087,28,0.7853718921783195,1
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16594379,31,0.8395410333536123,0
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16607087,28,0.7853718921783195,1
ENSG00000215386.12,MIR99AHG,+,2,3,8,16594379,16627490,30,0.8657585701887611,1
ENSG00000142168.14,SOD1,+,1,0,4,31659836,31667261,48,0.4297231179806516,3
ENSG00000157617.16,C2CD2,-,12,0,15,41942242,41953599,123,0.08805337360068533,1
ENSG00000236830.6,CBR3-AS1,-,0,0,3,36132621,36156244,35,0.4847430733553033,1
ENSG00000280071.3,GATD3B,-,1,1,5,5118835,5125882,357,0.5000415558510638,1
ENSG00000159256.12,MORC3,+,10,0,13,36320270,36333651,175,0.16768346043255408,0
ENSG00000159256.12,MORC3,+,15,0,18,36320270,36333651,85,0.1195763913505849,0
ENSG00000159256.12,MORC3,+,12,0,15,36320270,36333651,191,0.1364660738214155,1
ENSG00000159256.12,MORC3,+,7,5,15,36344653,36356633,114,0.53932345223743,0
ENSG00000159256.12,MORC3,+,5,7,15,36345020,36359975,82,0.5721946463393015,0
ENSG00000184012.11,TMPRSS2,-,0,2,5,41466149,41470666,124,0.568687772681508,1
ENSG00000184012.11,TMPRSS2,-,7,2,12,41479271,41489524,121,0.41006541778174255,0
ENSG00000205670.10,SMIM11A,+,1,2,6,34379467,34399806,28,0.5175332305206727,1
ENSG00000205670.10,SMIM11A,+,0,1,4,34379467,34402760,21,0.5723013135686504,5
ENSG00000142156.14,COL6A1,+,5,12,20,45999199,46001260,214,0.7094026714693081,1
ENSG00000243646.9,IL10RB,+,3,0,6,33266509,33279755,63,0.2205935281222393,0
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,0
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,0
ENSG00000274333.4,CU633967.1,+,0,0,3,5553740,5590207,30,0.4775661927742272,0
ENSG00000157554.18,ERG,-,3,4,10,38392411,38403537,127,0.9459421500698636,2
ENSG00000157554.18,ERG,-,6,1,10,38423523,38584887,46,0.5616070211193318,0
PB_novel_85406,PB_novel_85406,-,0,0,3,14729272,14744596,2,0.4732264034546576,6
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,43,0.501506367455949,1
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,43,0.501506367455949,1
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,59,0.5014171458357088,2
ENSG00000188681.11,TEKT4P2,-,2,1,6,9070413,9127522,59,0.5014171458357088,2
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305190,809,0.09660712978552083,1
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305417,359,0.09951616450406861,0
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44305894,600,0.1095872853114586,1
ENSG00000141959.16,PFKL,+,20,0,23,44300189,44306681,249,0.12288353001539251,10
ENSG00000141959.16,PFKL,+,21,0,24,44300189,44306681,926,0.1239385065885798,5
ENSG00000141959.16,PFKL,+,15,0,18,44300189,44312107,889,0.22253975232651865,1
ENSG00000141959.16,PFKL,+,22,0,25,44300637,44305190,1295,0.09129933843752323,1
ENSG00000141959.16,PFKL,+,20,1,24,44303552,44306681,349,0.18488333760668108,0
ENSG00000141959.16,PFKL,+,19,1,23,44304432,44306681,633,0.20081726892912116,1
ENSG00000141959.16,PFKL,+,16,1,20,44306736,44312978,255,0.3586522614905695,1
ENSG00000141959.16,PFKL,+,19,5,27,44307321,44311007,1239,0.33282028730577545,1
ENSG00000141959.16,PFKL,+,14,4,21,44313121,44316251,1021,0.5287689562890276,0
ENSG00000141959.16,PFKL,+,14,6,23,44314016,44316251,1236,0.5521123151266657,1
ENSG00000141959.16,PFKL,+,14,3,20,44314016,44316251,1261,0.19665835084033614,1
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353,2
ENSG00000141959.16,PFKL,+,14,2,19,44314016,44316251,1279,0.1463899546564353,2
ENSG00000141959.16,PFKL,+,1,17,21,44324909,44326165,30,0.9329623256324827,0
ENSG00000198862.13,LTN1,-,18,10,31,28960665,28965897,123,0.45706692213792355,0
ENSG00000198862.13,LTN1,-,3,5,11,28971378,28981157,254,0.6391893452403865,1
ENSG00000198862.13,LTN1,-,3,5,11,28971378,28981157,254,0.6391893452403865,1
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,0
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,0
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,0
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7085253,125,0.4762122717999686,1
ENSG00000159131.16,GART,-,1,7,11,33504501,33509813,255,0.8468101423572832,0
ENSG00000159131.16,GART,-,2,16,21,33505681,33511270,639,0.8719667116042725,0
ENSG00000159131.16,GART,-,7,11,21,33517605,33522207,799,0.5820789846331358,0
ENSG00000184787.18,UBE2G2,-,2,0,5,44788066,44801738,91,0.26429852340798965,0
ENSG00000241837.6,ATP5PO,-,1,3,7,33904014,33907345,159,0.7987054137244252,1
ENSG00000241837.6,ATP5PO,-,0,2,5,33904014,33912294,125,0.6173419773095624,1
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418,0
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418,0
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418,0
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418,0
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418,0
ENSG00000159079.18,CFAP298,-,1,0,4,32604276,32612123,126,0.4503431780366056,1
ENSG00000157538.13,VPS26C,-,3,0,6,37232445,37267243,247,0.3982462134153285,0
ENSG00000157538.13,VPS26C,-,3,0,6,37232445,37267243,27,0.3983969396119865,12
ENSG00000157538.13,VPS26C,-,4,0,7,37233430,37267243,255,0.3876982231019498,0
ENSG00000157538.13,VPS26C,-,4,0,7,37233430,37267243,255,0.3876982231019498,0
ENSG00000157538.13,VPS26C,-,1,0,4,37240638,37267243,190,0.4257921863069484,1
ENSG00000157538.13,VPS26C,-,1,0,4,37240638,37267243,190,0.4257921863069484,1
ENSG00000157538.13,VPS26C,-,1,0,4,37240638,37267243,190,0.4257921863069484,1
ENSG00000275496.4,CU633906.1,-,0,0,3,6230925,6267159,45,0.47598287474547063,1
ENSG00000275496.4,CU633906.1,-,0,0,3,6230925,6267159,31,0.47646613992542175,0
ENSG00000275496.4,CU633906.1,-,0,0,3,6235120,6267159,62,0.45507045833215665,0
ENSG00000275496.4,CU633906.1,-,0,0,3,6235120,6267159,62,0.45507045833215665,0
ENSG00000275496.4,CU633906.1,-,1,0,4,6235120,6267159,68,0.42965125579907215,0
ENSG00000159267.14,HLCS,-,8,0,11,36938960,36962070,125,0.05563166159911792,1
ENSG00000160200.17,CBS,-,0,13,16,43053607,43056804,1720,0.9111685214626392,0
ENSG00000160200.17,CBS,-,2,11,16,43058251,43060454,1694,0.7278570481954323,0
ENSG00000160200.17,CBS,-,15,1,19,43073340,43076249,457,0.08575599847657733,0
ENSG00000160200.17,CBS,-,16,1,20,43073340,43076249,159,0.08780930664639808,0
ENSG00000156265.15,MAP3K7CL,+,6,0,9,29077611,29085815,94,0.04295819020711803,9
ENSG00000156265.15,MAP3K7CL,+,3,0,6,29092555,29130858,62,0.23207662303476992,0
ENSG00000156265.15,MAP3K7CL,+,3,0,6,29092555,29133331,53,0.24768723256759018,0
ENSG00000156265.15,MAP3K7CL,+,1,5,9,29092555,29160056,31,0.49892367708291224,1
ENSG00000156265.15,MAP3K7CL,+,1,0,4,29130918,29160056,79,0.32672587539589376,1
ENSG00000156265.15,MAP3K7CL,+,0,1,4,29133380,29174715,86,0.5168160194711804,4
ENSG00000156265.15,MAP3K7CL,+,0,0,3,29145597,29174715,43,0.48095835258398784,2
ENSG00000159212.12,CLIC6,+,4,0,7,34669830,34707282,4,0.3883677298311445,0
ENSG00000159140.19,SON,+,4,9,16,33569028,33572552,191,0.8057426547439321,0
ENSG00000159140.19,SON,+,4,9,16,33569028,33572552,191,0.8057426547439321,0
ENSG00000160214.12,RRP1,+,0,9,12,43800612,43803517,103,0.8600289096916299,1
ENSG00000160190.13,SLC37A1,+,18,0,21,42513921,42518278,383,0.03326278711816245,0
ENSG00000160190.13,SLC37A1,+,0,17,20,42568434,42580357,382,0.8960645886984578,0
ENSG00000160294.10,MCM3AP,-,6,2,11,46246397,46254398,380,0.2697407189157337,1
ENSG00000265590.9,AP000275.2,-,3,4,10,32582403,32603210,24,0.49241933877713606,1
ENSG00000265590.9,AP000275.2,-,4,4,11,32582403,32603210,56,0.4335711595134165,0
ENSG00000265590.9,AP000275.2,-,4,4,11,32582403,32603210,56,0.4335711595134165,0
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34293688,71,0.37003064269010566,1
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34215540,30,0.28170170893032154,2
ENSG00000272657.1,AP000317.2,+,0,0,3,34073608,34215540,31,0.49408456977423937,1
ENSG00000272657.1,AP000317.2,+,4,0,7,34073608,34262921,58,0.35486101481484256,0
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34293688,71,0.37003064269010566,1
ENSG00000272657.1,AP000317.2,+,1,0,4,34073608,34293688,71,0.37003064269010566,1
ENSG00000272657.1,AP000317.2,+,2,1,6,34125340,34293688,45,0.46990521490842974,1
ENSG00000272657.1,AP000317.2,+,1,1,5,34125340,34293688,25,0.5478017328228894,0
