gene,chr,start,end,splice_type,novel,WTC11_ENCFF586RUA_in_cov,WTC11_ENCFF586RUA_total_cov
ENSG00000182362.13,chr21,46287123,46296161,ES,False,27,134
ENSG00000182362.13,chr21,46286287,46286415,TSS,False,62,161
ENSG00000182362.13,chr21,46286359,46286737,TSS,False,124,161
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,41,115
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,69,120
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,57,372
ENSG00000160200.17,chr21,43053647,43053861,IR,False,94,143
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,115,222
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,85,135
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,123,222
ENSG00000160200.17,chr21,43053861,43053942,TSS,True,194,218
ENSG00000160310.17,chr21,46635763,46636895,ES,False,102,153
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,40,197
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,69,174
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,164,198
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,94,732
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,649,732
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,66,292
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,241,292
ENSG00000160201.11,chr21,43095743,43104314,ME,False,276,682
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,212,906
ENSG00000274276.4,chr21,6453988,6454074,TSS,True,100,112
ENSG00000274276.4,chr21,6445539,6445620,TSS,True,79,110
ENSG00000154723.12,chr21,25729801,25734988,5AS,False,88,111
ENSG00000275895.6,chr21,6487412,6495992,ME,False,259,625
ENSG00000275895.6,chr21,6487412,6493043,ES,False,260,292
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,201,857
ENSG00000205581.10,chr21,39345274,39348291,ES,False,290,356
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,162,488
ENSG00000154639.18,chr21,17559131,17565427,ES,False,18,135
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,29,145
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,138,156
ENSG00000135930.13,chr2,232556530,232564246,ES,False,38,291
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,103,912
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,696,913
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,801,906
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,417,882
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,432,3999
ENSG00000143977.13,chr2,70288192,70293609,5AS,True,84,126
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,92,233
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,209,2012
ENSG00000124839.12,chr2,237577382,237585997,ES,False,58,235
