gene,chr,start,end,splice_type,novel,right_cardiac_atrium_ENCFF875QHC_in_cov,right_cardiac_atrium_ENCFF875QHC_total_cov
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,62,134
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,94,190
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,120,190
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,110,178
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,113,174
ENSG00000280071.3,chr21,5118847,5124755,ES,False,26,238
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,30,262
ENSG00000141959.16,chr21,44306754,44311005,ES,True,150,224
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,90,315
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,257,314
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,32,103
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,49,274
ENSG00000160310.17,chr21,46635763,46636895,ES,False,66,324
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,44,385
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,185,382
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,262,373
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,58,143
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,228,272
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,298,398
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,50,205
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,166,196
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,38,102
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,130,824
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,31,121
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,37,104
ENSG00000205726.14,chr21,33836986,33838635,PAS,True,82,116
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,707,823
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,188,823
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,29,259
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,615,995
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,805,993
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,884,989
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,284,995
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,737,930
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,22,120
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,114,150
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,132,150
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,120,149
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,58,123
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,70,121
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,21,206
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,87,126
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,39,125
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,44,414
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,279,313
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,58,348
ENSG00000019169.10,chr2,118942160,118942397,TSS,True,29,107
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,17,107
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,43,262
ENSG00000168874.12,chr2,85753811,85754957,TSS,True,37,118
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,69,569
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,16,145
ENSG00000204843.12,chr2,74371728,74377431,ES,False,52,251
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,99,331
ENSG00000158019.20,chr2,27890511,27890842,TSS,True,28,110
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,30,232
ENSG00000115073.7,chr2,97663842,97664042,TSS,True,29,103
ENSG00000168899.4,chr2,85591862,85592947,5AS,True,110,124
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,182,289
ENSG00000124006.14,chr2,219550868,219551528,3AS,True,16,107
ENSG00000124006.14,chr2,219556723,219557822,ES,False,166,230
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,173,445
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,456,639
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,541,632
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,306,342
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,367,639
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,562,629
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,120,134
ENSG00000115648.13,chr2,237518648,237525600,ES,False,60,301
ENSG00000115648.13,chr2,237527516,237540347,ES,False,67,309
ENSG00000115648.13,chr2,237540533,237542566,ES,False,47,310
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,69,315
ENSG00000115648.13,chr2,237510453,237510795,TSS,True,280,314
ENSG00000196141.13,chr2,200419496,200440648,ES,False,166,257
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,305,353
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,82,353
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,89,352
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,263,337
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,111,291
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,81,106
ENSG00000168906.12,chr2,85543034,85543669,IR,True,105,132
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,15,143
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,27,132
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,109,131
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,78,102
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,22,162
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,43,115
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,23,117
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,48,406
ENSG00000124831.18,chr2,237708630,237748363,ES,False,52,120
ENSG00000124831.18,chr2,237749324,237753308,ES,False,51,127
ENSG00000124831.18,chr2,237756187,237760063,ES,False,50,120
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,65,143
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,96,142
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,100,135
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,67,142
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,25,104
ENSG00000114923.16,chr2,219627745,219627959,3AS,False,85,255
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,255,338
ENSG00000114923.16,chr2,219627156,219627745,TSS,True,958,1214
