gene,chr,start,end,splice_type,novel,ovary_ENCFF583MSU_in_cov,ovary_ENCFF583MSU_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,95,109
ENSG00000182670.13,chr21,37073364,37108391,ES,False,174,267
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,174,201
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,68,339
ENSG00000182670.13,chr21,37140560,37142975,PAS,True,276,313
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,143,316
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,271,315
ENSG00000142156.14,chr21,46002192,46002401,TSS,True,304,369
ENSG00000142156.14,chr21,46003390,46005050,PAS,True,20,165
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,218,898
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,784,896
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,114,140
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,56,138
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,16,140
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,41,230
ENSG00000159079.18,chr21,32601973,32602271,IR,False,101,145
ENSG00000159079.18,chr21,32602367,32603160,IR,False,104,147
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,48,154
ENSG00000159079.18,chr21,32601666,32603292,PAS,True,113,153
ENSG00000160200.17,chr21,43053647,43053861,IR,False,34,317
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,290,333
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,51,333
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,89,333
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,100,122
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,107,121
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,65,403
ENSG00000160310.17,chr21,46635763,46636895,ES,False,760,1148
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,316,1238
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,962,1228
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,338,409
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,253,409
ENSG00000157601.13,chr21,41426263,41427754,ES,False,64,159
ENSG00000157601.13,chr21,41430608,41432049,3AS,False,160,182
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,44,203
ENSG00000157601.13,chr21,41458527,41459214,PAS,True,21,203
ENSG00000154734.14,chr21,26835758,26838278,PAS,True,127,907
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,279,932
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,706,881
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,32,302
ENSG00000205758.11,chr21,33595836,33599149,ES,False,28,250
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,185,254
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,165,263
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,107,262
ENSG00000160299.16,chr21,46324057,46324282,TSS,True,93,178
ENSG00000160299.16,chr21,46324635,46325210,TSS,False,113,178
ENSG00000160299.16,chr21,46353986,46354023,PAS,True,134,159
ENSG00000160299.16,chr21,46353103,46353328,PAS,True,119,158
ENSG00000160299.16,chr21,46349683,46350212,PAS,False,99,156
ENSG00000160299.16,chr21,46356973,46357133,PAS,True,139,160
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,160,1134
