gene,chr,start,end,splice_type,novel,progenitor_cell_of_endocrine_pancreas_ENCFF803KIA_in_cov,progenitor_cell_of_endocrine_pancreas_ENCFF803KIA_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,79,107
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,79,124
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,119,227
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,187,227
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,169,198
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,118,183
ENSG00000182670.13,chr21,37159698,37159753,PAS,True,175,197
ENSG00000280071.3,chr21,5118847,5124755,ES,False,33,262
ENSG00000183421.11,chr21,41766859,41767106,TSS,True,17,149
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,126,164
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,80,164
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,134,164
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,250,526
ENSG00000159131.16,chr21,33508536,33509920,PAS,True,469,526
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,371,521
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,61,527
ENSG00000159079.18,chr21,32601973,32602271,IR,False,97,124
ENSG00000159079.18,chr21,32602367,32603160,IR,False,100,127
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,33,132
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,19,132
ENSG00000159267.14,chr21,36937392,36962035,ES,True,17,141
ENSG00000159267.14,chr21,36938994,36962035,ES,False,97,120
ENSG00000159267.14,chr21,36990157,36990446,TSS,True,53,160
ENSG00000159267.14,chr21,36966443,36966724,TSS,True,134,160
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,166,207
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,99,148
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,88,148
ENSG00000160190.13,chr21,42524935,42525179,TSS,True,127,147
ENSG00000160190.13,chr21,42580344,42581441,PAS,False,18,148
ENSG00000160310.17,chr21,46635763,46636895,ES,False,417,479
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,130,509
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,407,504
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,112,159
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,67,159
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,18,130
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,114,130
ENSG00000185917.13,chr21,36035960,36036084,IR,False,68,111
ENSG00000185917.13,chr21,36041888,36043781,ES,True,81,103
ENSG00000185917.13,chr21,36046011,36053582,ES,False,22,123
ENSG00000185917.13,chr21,36058924,36060346,3AS,False,63,120
ENSG00000185917.13,chr21,36034364,36036251,PAS,True,98,141
ENSG00000185917.13,chr21,36034532,36035960,PAS,True,73,141
ENSG00000185917.13,chr21,36042410,36043956,PAS,True,121,138
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,18,141
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,93,114
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,45,123
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,91,121
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,27,167
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,76,152
ENSG00000205726.14,chr21,33774728,33774841,PAS,True,98,152
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,36,337
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,85,111
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,24,109
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,24,136
ENSG00000275464.4,chr21,5134199,5137474,PAS,True,121,135
ENSG00000154639.18,chr21,17559131,17565427,ES,False,69,683
ENSG00000115561.15,chr2,86529397,86563303,ES,False,33,291
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,117,145
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,123,144
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,55,145
ENSG00000035115.21,chr2,219001,229965,ES,False,209,295
ENSG00000035115.21,chr2,263983,264695,TSS,True,97,305
ENSG00000035115.21,chr2,264083,264666,TSS,True,260,305
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,27,183
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,345,385
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,75,141
ENSG00000115761.15,chr2,10589576,10589751,PAS,True,118,141
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,126,141
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,121,141
ENSG00000198380.12,chr2,69319781,69326233,PAS,True,21,193
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,12,114
ENSG00000134313.15,chr2,8728856,8731982,PAS,True,95,121
ENSG00000134313.15,chr2,8769453,8770832,PAS,True,88,103
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,48,139
ENSG00000197329.11,chr2,64092844,64095268,PAS,False,17,139
ENSG00000197329.11,chr2,64144080,64144425,TSS,True,21,157
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,32,111
ENSG00000204120.14,chr2,232697392,232703423,ES,False,235,316
ENSG00000204120.14,chr2,232703489,232735154,ES,False,228,334
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,46,406
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,257,396
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,314,399
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,286,396
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,36,223
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,28,223
ENSG00000158019.20,chr2,28298491,28338449,ES,True,110,146
ENSG00000013441.15,chr2,200859746,200860124,IR,False,152,170
ENSG00000013441.15,chr2,200859746,200861237,ES,False,356,501
ENSG00000013441.15,chr2,200860215,200861237,IR,False,145,172
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,86,116
ENSG00000196504.16,chr2,152677475,152679351,ES,False,91,327
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,265,329
ENSG00000196504.16,chr2,152659092,152659189,PAS,True,312,349
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,307,348
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,182,348
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,110,352
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,289,352
ENSG00000162928.8,chr2,61048471,61051726,PAS,False,25,155
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,125,142
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,29,154
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,50,101
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,14,107
ENSG00000057935.13,chr2,42708873,42710574,PAS,True,11,107
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,43,133
ENSG00000115963.13,chr2,150487455,150487548,IR,False,89,100
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,26,118
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,79,158
ENSG00000116062.14,chr2,47783914,47784105,TSS,False,137,158
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,96,143
ENSG00000116062.14,chr2,47806778,47807665,PAS,True,18,158
ENSG00000116062.14,chr2,47798610,47801033,PAS,True,96,110
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,22,122
ENSG00000168906.12,chr2,85543034,85543669,IR,True,823,1163
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,344,1168
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,871,1167
ENSG00000132300.18,chr2,86127305,86127940,IR,True,313,369
ENSG00000065911.11,chr2,74198742,74205704,ES,True,339,420
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,247,1633
ENSG00000169432.15,chr2,166303302,166305791,ME,False,67,111
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,44,164
ENSG00000196950.13,chr2,195734882,195737704,PAS,False,110,141
ENSG00000196950.13,chr2,195708655,195708845,PAS,True,53,134
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,525,589
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,30,263
ENSG00000077232.17,chr2,182732542,182740298,ES,False,24,231
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,52,328
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,104,319
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,272,1997
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,59,154
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,114,154
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,23,153
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,163,789
ENSG00000115677.16,chr2,241247055,241247142,PAS,True,638,730
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,621,800
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,412,800
ENSG00000115307.16,chr2,74527838,74527939,IR,False,118,138
ENSG00000115307.16,chr2,74528006,74528247,IR,False,107,131
ENSG00000115307.16,chr2,74528489,74528750,IR,True,116,129
ENSG00000115307.16,chr2,74528935,74529131,IR,False,86,127
ENSG00000085978.21,chr2,233273052,233274675,ES,False,67,111
ENSG00000085978.21,chr2,233251640,233251942,TSS,True,18,118
ENSG00000119760.15,chr2,27661155,27662178,IR,True,16,111
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,198,224
