gene,chr,start,end,splice_type,novel,MCF-7_ENCFF118JEI_in_cov,MCF-7_ENCFF118JEI_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,82,116
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,82,192
ENSG00000182670.13,chr21,37073473,37108391,ES,False,50,103
ENSG00000182670.13,chr21,37156906,37159698,ES,False,84,107
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,166,285
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,178,285
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,199,249
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,224,254
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,154,243
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,50,317
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,44,215
ENSG00000141959.16,chr21,44325266,44325960,IR,True,17,104
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,296,1837
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,56,163
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,114,158
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,39,163
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,79,130
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,20,168
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,80,366
ENSG00000171587.14,chr21,40179003,40187130,3AS,True,20,122
ENSG00000171587.14,chr21,40010998,40013386,PAS,True,34,209
ENSG00000171587.14,chr21,40189041,40189238,TSS,True,170,269
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,53,134
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,35,241
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,48,127
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,97,127
ENSG00000160294.10,chr21,46265320,46265524,TSS,True,76,102
ENSG00000160294.10,chr21,46265924,46268792,TSS,True,85,102
ENSG00000160294.10,chr21,46285698,46286461,TSS,True,100,112
ENSG00000160310.17,chr21,46635763,46636895,ES,False,251,295
ENSG00000160310.17,chr21,46649739,46663382,ES,False,20,116
ENSG00000160310.17,chr21,46649739,46664294,ES,False,18,139
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,141,450
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,272,343
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,316,459
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,337,427
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,286,643
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,36,351
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,326,378
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,470,574
ENSG00000182871.14,chr21,45485727,45486992,TSS,True,500,570
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,507,569
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,93,121
ENSG00000173638.18,chr21,45525816,45526032,TSS,True,108,121
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,49,103
ENSG00000160193.11,chr21,42879406,42879579,TSS,False,27,103
