gene,chr,start,end,splice_type,novel,upper_lobe_of_right_lung_ENCFF449MVA_in_cov,upper_lobe_of_right_lung_ENCFF449MVA_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,45,222
ENSG00000184012.11,chr21,41498189,41508080,5AS,True,117,135
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,57,179
ENSG00000184012.11,chr21,41507949,41508158,TSS,True,158,179
ENSG00000243646.9,chr21,33266358,33266514,TSS,True,31,120
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,128,605
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,24,107
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,176,293
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,122,298
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,180,298
ENSG00000160200.17,chr21,43066377,43068508,5AS,True,163,183
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,35,204
ENSG00000160179.18,chr21,42288037,42288210,5AS,False,117,159
ENSG00000160179.18,chr21,42219093,42219304,TSS,True,20,173
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,47,123
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,105,122
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,98,122
ENSG00000160310.17,chr21,46635763,46636438,IR,False,126,146
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,20,146
ENSG00000160310.17,chr21,46635763,46636895,ES,False,135,274
ENSG00000160310.17,chr21,46635763,46636895,5AS,False,135,155
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,67,353
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,207,351
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,202,342
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,149,340
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,175,201
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,159,245
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,30,189
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,41,378
ENSG00000166979.12,chr21,32413013,32467695,ES,False,27,112
ENSG00000166979.12,chr21,32501486,32503925,5AS,False,15,111
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,71,633
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,40,116
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,119,273
ENSG00000157557.11,chr21,38810867,38813114,TSS,True,236,263
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,137,851
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,172,224
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,50,220
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,536,993
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,837,992
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,882,989
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,322,993
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,693,910
ENSG00000205581.10,chr21,39345274,39348291,5AS,True,142,171
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,26,205
ENSG00000160255.17,chr21,44894970,44895028,TSS,True,433,538
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,265,538
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,24,151
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,119,180
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,161,180
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,158,177
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,15,105
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,71,101
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,43,103
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,24,115
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,13,103
ENSG00000082898.16,chr2,61533903,61537561,ES,False,118,132
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,853,949
ENSG00000019169.10,chr2,118942160,118942397,TSS,True,68,327
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,43,236
ENSG00000071967.11,chr2,171522249,171522738,TSS,True,52,412
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,23,110
ENSG00000168874.12,chr2,85753811,85754957,TSS,True,52,185
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,72,416
ENSG00000138073.13,chr2,27133337,27133531,IR,False,102,135
ENSG00000138073.13,chr2,27133721,27134286,IR,False,116,133
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,24,144
ENSG00000138073.13,chr2,27133116,27134674,TSS,True,128,144
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,153,184
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,38,176
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,58,187
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,166,185
ENSG00000144136.10,chr2,112652798,112657121,ES,False,88,100
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,162,190
ENSG00000115648.13,chr2,237518648,237525600,ES,False,62,433
ENSG00000115648.13,chr2,237527516,237540347,ES,False,362,435
ENSG00000115648.13,chr2,237542659,237546605,3AS,True,397,449
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,143,480
ENSG00000196141.13,chr2,200419496,200440648,ES,False,141,188
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,192,223
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,51,223
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,26,218
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,80,158
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,117,158
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,131,158
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,180,593
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,132,217
ENSG00000115756.12,chr2,10396920,10408561,3AS,True,153,189
ENSG00000115756.12,chr2,10396920,10419733,ES,False,588,786
ENSG00000168906.12,chr2,85542747,85542900,IR,True,271,305
ENSG00000168906.12,chr2,85543034,85543669,IR,True,221,309
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,88,310
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,255,310
ENSG00000065911.11,chr2,74198742,74205704,ES,True,79,106
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,90,199
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,24,161
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,14,102
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,214,242
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,69,242
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,84,212
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,172,240
ENSG00000173209.23,chr2,61185618,61186445,IR,False,66,108
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,13,124
ENSG00000127837.9,chr2,218265682,218265830,IR,False,162,183
ENSG00000115694.14,chr2,241499414,241500172,IR,False,191,248
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,39,167
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,238,308
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,173,308
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,268,308
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,85,630
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,63,187
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,141,189
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,554,835
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,502,834
ENSG00000115307.16,chr2,74528935,74529131,IR,False,211,280
ENSG00000116016.13,chr2,46297278,46297937,TSS,True,366,505
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,364,452
ENSG00000116016.13,chr2,46384508,46386697,PAS,False,55,380
ENSG00000116016.13,chr2,46380226,46380579,PAS,True,189,218
