gene,chr,start,end,splice_type,novel,progenitor_cell_of_endocrine_pancreas_ENCFF509GHY_in_cov,progenitor_cell_of_endocrine_pancreas_ENCFF509GHY_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,95,125
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,95,128
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,111,236
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,204,236
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,173,204
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,122,194
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,15,110
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,106,125
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,44,123
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,110,125
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,191,357
ENSG00000159131.16,chr21,33508536,33509920,PAS,True,316,357
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,232,354
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,38,357
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,142,178
ENSG00000160310.17,chr21,46635763,46636895,ES,False,187,224
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,81,243
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,187,237
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,83,114
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,46,114
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,31,158
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,132,158
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,18,101
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,101,129
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,54,137
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,93,136
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,49,329
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,30,152
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,77,134
ENSG00000205726.14,chr21,33774728,33774841,PAS,True,85,133
ENSG00000205726.14,chr21,33767712,33767813,PAS,True,118,133
ENSG00000115561.15,chr2,86529397,86563303,ES,False,23,161
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,74,118
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,101,118
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,68,118
ENSG00000035115.21,chr2,219001,229965,ES,False,214,283
ENSG00000035115.21,chr2,263983,264695,TSS,True,82,294
ENSG00000035115.21,chr2,264083,264666,TSS,True,254,294
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,141,1109
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,15,129
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,21,141
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,40,341
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,71,114
ENSG00000115761.15,chr2,10589576,10589751,PAS,True,94,114
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,95,114
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,88,114
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,48,120
ENSG00000204120.14,chr2,232697392,232703423,ES,False,120,158
ENSG00000204120.14,chr2,232703489,232735154,ES,False,114,158
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,28,210
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,169,191
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,135,196
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,162,201
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,153,196
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,31,144
ENSG00000163510.13,chr2,179963335,179964628,PAS,True,125,142
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,17,144
ENSG00000158019.20,chr2,28298491,28338449,ES,True,88,124
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,20,175
ENSG00000168288.12,chr2,149587088,149587752,TSS,True,157,175
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,27,152
ENSG00000013441.15,chr2,200859746,200861237,ES,False,320,411
ENSG00000013441.15,chr2,200860215,200861237,IR,False,92,108
ENSG00000196504.16,chr2,152677475,152679351,ES,False,73,306
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,252,305
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,288,327
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,154,326
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,93,330
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,277,330
ENSG00000162928.8,chr2,61048471,61051726,PAS,False,14,131
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,102,116
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,24,127
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,52,108
ENSG00000116062.14,chr2,47806778,47807665,PAS,True,15,108
ENSG00000168906.12,chr2,85543034,85543669,IR,True,579,791
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,217,795
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,602,795
ENSG00000132300.18,chr2,86127305,86127940,IR,True,208,245
ENSG00000065911.11,chr2,74198742,74205704,ES,True,282,344
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,201,1213
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,227,259
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,30,173
ENSG00000018699.12,chr2,32758291,32759588,PAS,True,154,173
ENSG00000077232.17,chr2,182732542,182740298,ES,False,25,164
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,48,245
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,89,231
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,209,1453
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,44,117
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,82,117
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,12,117
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,81,309
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,235,311
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,167,311
ENSG00000119760.15,chr2,27661388,27662178,IR,False,88,152
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,133,168
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,56,189
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,154,189
ENSG00000128699.13,chr2,189782602,189783013,IR,False,38,111
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,92,154
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,79,155
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,144,340
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,205,340
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,174,217
ENSG00000082146.12,chr2,201480031,201480847,PAS,True,15,130
ENSG00000119041.10,chr2,196763030,196764685,PAS,True,25,192
ENSG00000118260.14,chr2,207560372,207567462,ES,False,163,210
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,24,224
ENSG00000115392.11,chr2,58162947,58163028,IR,False,138,156
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,128,160
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,111,285
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,183,285
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,143,223
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,163,222
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,151,222
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,63,369
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,37,143
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,34,192
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,123,163
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,170,195
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,130,163
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,217,259
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,54,279
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,236,279
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,99,271
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,200,270
ENSG00000135968.20,chr2,108449280,108449632,5AS,False,136,156
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,43,179
ENSG00000135968.20,chr2,108448986,108449289,TSS,True,159,179
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,26,164
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,29,108
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,86,108
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,11,108
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,54,293
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,250,293
ENSG00000115380.19,chr2,55922447,55923710,ES,False,124,168
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,25,194
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,109,122
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,95,122
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,99,122
ENSG00000163029.15,chr2,17716742,17716905,PAS,False,105,122
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,99,122
ENSG00000128654.13,chr2,176329426,176337492,ES,True,22,135
ENSG00000123636.17,chr2,159412545,159428310,ES,False,73,209
ENSG00000123636.17,chr2,159429260,159432756,ES,False,63,212
ENSG00000123636.17,chr2,159448403,159453612,3AS,False,35,254
ENSG00000123636.17,chr2,159398292,159398894,PAS,False,248,287
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,152,285
ENSG00000123636.17,chr2,159429451,159433363,PAS,True,230,277
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,70,302
ENSG00000123983.13,chr2,222887888,222908732,ES,False,66,111
ENSG00000123983.13,chr2,222922707,222922831,PAS,True,109,128
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,34,130
ENSG00000127831.10,chr2,218431957,218432792,ES,True,93,581
ENSG00000127831.10,chr2,218419077,218419168,TSS,True,105,729
ENSG00000235491.1,chr2,125710853,125711370,TSS,False,15,121
ENSG00000235491.1,chr2,125791772,125794398,PAS,True,34,121
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,174,286
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,123,297
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,191,297
ENSG00000115084.13,chr2,113715195,113719153,ES,True,20,125
ENSG00000115084.13,chr2,113756369,113756674,TSS,True,18,135
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,49,131
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,78,101
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,56,101
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,87,101
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,21,101
ENSG00000125633.10,chr2,117915478,117920396,PAS,True,79,100
ENSG00000125633.10,chr2,117935494,117935579,PAS,False,49,100
ENSG00000125633.10,chr2,117935494,117936739,PAS,True,87,100
ENSG00000125633.10,chr2,118013953,118014163,TSS,False,18,109
ENSG00000082258.12,chr2,134942674,134946100,ES,False,94,111
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,66,110
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,18,146
ENSG00000082258.12,chr2,134939001,134940448,PAS,True,116,132
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,23,134
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,1156,1344
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,1057,1320
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,557,1303
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,45,174
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,704,1493
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,920,1488
ENSG00000068912.13,chr2,53801842,53809213,ES,False,28,117
