gene,chr,start,end,splice_type,novel,endothelial_cell_of_umbilical_vein_ENCFF600UQU_in_cov,endothelial_cell_of_umbilical_vein_ENCFF600UQU_total_cov
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,65,130
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,76,526
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,23,171
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,43,189
ENSG00000157554.18,chr21,38392444,38402556,ES,False,48,155
ENSG00000157554.18,chr21,38380029,38383923,PAS,True,26,203
ENSG00000157554.18,chr21,38498362,38498495,TSS,True,65,241
ENSG00000159228.12,chr21,36069954,36070404,TSS,True,40,226
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,162,693
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,95,244
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,156,242
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,28,246
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,95,252
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,57,106
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,63,120
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,71,120
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,24,111
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,21,117
ENSG00000160256.12,chr21,44967181,44976679,ES,True,17,107
ENSG00000160256.12,chr21,44939937,44940186,TSS,True,65,111
ENSG00000160256.12,chr21,44967072,44967181,TSS,True,54,109
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,20,191
ENSG00000160310.17,chr21,46635763,46636895,ES,False,285,470
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,81,567
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,290,500
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,415,561
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,433,540
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,19,157
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,485,570
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,294,682
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,17,132
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,134,179
ENSG00000173638.18,chr21,45525816,45526032,TSS,True,157,179
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,18,104
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,91,104
ENSG00000159128.14,chr21,33403616,33414887,ES,False,185,206
ENSG00000142192.20,chr21,25982477,26000014,ES,False,65,158
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,42,249
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,388,555
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,22,201
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,52,143
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,112,139
ENSG00000205758.11,chr21,33641680,33642193,TSS,True,16,143
ENSG00000182240.15,chr21,41167520,41168575,TSS,False,27,227
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,122,1185
ENSG00000197381.15,chr21,45074166,45074793,TSS,True,136,194
ENSG00000154640.14,chr21,17612698,17612997,TSS,True,26,126
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,152,866
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,91,106
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,15,105
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,120,1128
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,56,218
ENSG00000150551.10,chr2,132644767,132646280,PAS,True,26,179
ENSG00000150551.10,chr2,132669880,132670271,TSS,False,57,196
ENSG00000150551.10,chr2,132671178,132671497,TSS,False,168,196
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,73,293
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,239,293
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,58,110
ENSG00000071054.16,chr2,101859864,101864929,ES,False,96,111
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,20,112
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,91,118
ENSG00000071054.16,chr2,101870415,101873646,ES,False,95,123
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,91,129
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,67,168
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,167,990
ENSG00000138035.14,chr2,55693662,55693866,TSS,True,12,108
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,37,121
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,76,128
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,311,567
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,61,490
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,51,331
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,26,199
ENSG00000168899.4,chr2,85591862,85592947,5AS,True,472,553
ENSG00000150938.9,chr2,36355720,36356623,TSS,True,150,203
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,42,289
ENSG00000168288.12,chr2,149587088,149587752,TSS,True,253,289
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,148,195
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,158,211
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,24,226
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,87,231
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,178,231
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,120,141
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,45,141
ENSG00000196141.13,chr2,200419496,200440648,ES,False,121,190
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,177,212
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,58,212
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,19,161
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,132,291
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,208,291
ENSG00000138385.15,chr2,169798800,169798976,TSS,True,51,392
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,77,152
ENSG00000235770.5,chr2,215624235,215743813,ES,False,21,118
ENSG00000235770.5,chr2,215747394,215848757,ES,True,68,131
ENSG00000235770.5,chr2,215611153,215613738,PAS,False,123,149
ENSG00000235770.5,chr2,215623611,215624235,PAS,False,111,142
ENSG00000235770.5,chr2,215610874,215613743,PAS,True,92,149
ENSG00000235770.5,chr2,215848757,215848915,TSS,True,27,162
ENSG00000115963.13,chr2,150487455,150487548,IR,False,111,386
ENSG00000115963.13,chr2,150468194,150470238,PAS,True,41,390
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,167,401
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,288,401
ENSG00000172965.15,chr2,111429313,111429620,PAS,True,50,380
ENSG00000032389.12,chr2,3377647,3377973,TSS,True,31,151
ENSG00000115756.12,chr2,10396920,10419733,ES,False,345,385
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,83,153
ENSG00000168906.12,chr2,85543034,85543669,IR,True,91,106
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,35,128
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,17,106
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,58,119
ENSG00000065911.11,chr2,74198742,74205704,ES,True,116,142
ENSG00000176720.5,chr2,241558993,241570124,ES,True,19,141
ENSG00000176720.5,chr2,241562476,241572296,ES,True,16,154
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,61,217
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,202,296
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,187,287
ENSG00000124831.18,chr2,237749197,237749324,TSS,True,244,285
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,185,252
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,117,284
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,30,209
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,75,125
ENSG00000077232.17,chr2,182732542,182740298,ES,False,36,214
ENSG00000115694.14,chr2,241501708,241508442,ES,False,36,230
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,68,269
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,384,788
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,546,788
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,164,1151
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,74,128
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,65,164
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,124,164
ENSG00000115419.12,chr2,190880798,190881470,TSS,True,21,178
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,36,168
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,157,175
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,461,550
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,310,550
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,463,550
ENSG00000115307.16,chr2,74527838,74527939,IR,False,358,398
ENSG00000115307.16,chr2,74528935,74529131,IR,False,308,371
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,59,445
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,113,133
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,87,104
ENSG00000119760.15,chr2,27661388,27662178,IR,False,87,100
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,96,117
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,26,122
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,101,122
ENSG00000128699.13,chr2,189782602,189783013,IR,False,66,134
ENSG00000128699.13,chr2,189782602,189784268,ES,False,111,168
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,195,259
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,86,259
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,22,149
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,23,204
ENSG00000168894.9,chr2,85596649,85597103,ES,True,56,499
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,94,221
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,142,221
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,343,1061
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,823,1061
ENSG00000135966.12,chr2,105329624,105330200,TSS,False,14,101
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,66,105
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,41,105
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,97,871
ENSG00000119185.12,chr2,9406905,9408112,ES,False,25,149
ENSG00000119185.12,chr2,9412405,9418625,ES,False,16,141
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,51,169
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,141,169
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,53,281
ENSG00000115163.14,chr2,26793811,26797683,PAS,True,27,114
ENSG00000115163.14,chr2,26800928,26801067,PAS,False,91,117
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,20,192
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,166,188
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,23,191
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,38,200
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,26,150
ENSG00000138381.9,chr2,189670440,189671251,PAS,True,16,158
ENSG00000163170.11,chr2,74135658,74145188,ES,False,83,270
ENSG00000283196.2,chr2,89542856,89543836,PAS,False,72,114
ENSG00000283196.2,chr2,89562333,89562684,PAS,True,50,111
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,107,167
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,81,167
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,15,129
ENSG00000243147.7,chr2,27772692,27779432,ES,False,322,544
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,89,638
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,568,638
ENSG00000197713.14,chr2,210016112,210016506,ES,False,162,195
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,235,272
ENSG00000134324.11,chr2,11746584,11746671,TSS,True,42,113
ENSG00000155755.18,chr2,201642608,201642696,TSS,True,41,132
ENSG00000155755.18,chr2,201643358,201643558,TSS,True,99,132
ENSG00000163162.8,chr2,101308128,101308722,TSS,True,16,136
ENSG00000003436.15,chr2,187503770,187554199,ME,False,123,180
ENSG00000003436.15,chr2,187503770,187554199,ME,False,112,180
ENSG00000003436.15,chr2,187503770,187554199,ME,False,110,180
ENSG00000003436.15,chr2,187503770,187529363,ES,True,108,140
ENSG00000003436.15,chr2,187503770,187554199,ES,False,576,802
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,122,858
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,24,117
ENSG00000136560.13,chr2,161136917,161137063,TSS,True,132,177
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,83,177
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,151,177
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,25,174
ENSG00000136560.13,chr2,161204674,161207456,PAS,True,152,171
ENSG00000128641.18,chr2,191400468,191408114,ES,False,50,101
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,21,108
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,525,1061
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,571,1061
ENSG00000115380.19,chr2,55875065,55881611,ME,True,44,116
ENSG00000115380.19,chr2,55922447,55923710,ES,False,5290,7247
ENSG00000144034.14,chr2,73732285,73734428,ES,False,124,160
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,26,133
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,147,177
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,43,177
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,29,114
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,28,148
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,128,169
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,744,913
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,187,913
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,27,103
ENSG00000132313.14,chr2,86213627,86214989,PAS,False,89,101
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,38,290
ENSG00000123983.13,chr2,222887888,222908732,ES,False,135,274
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,42,287
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,150,260
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,148,245
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,229,284
ENSG00000136699.19,chr2,130157396,130164373,ES,False,37,126
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,54,168
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,74,114
ENSG00000067066.16,chr2,230416328,230442936,ES,False,12,114
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,23,122
ENSG00000168397.16,chr2,241651335,241653511,ES,False,97,111
ENSG00000168397.16,chr2,241671405,241672190,IR,False,97,112
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,25,136
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,28,130
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,110,125
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,36,237
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,158,359
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,323,359
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,28,251
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,166,213
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,30,196
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,34,278
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,42,362
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,92,106
ENSG00000085760.14,chr2,55237287,55237346,TSS,True,18,105
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,104,490
ENSG00000115524.15,chr2,197392971,197393132,TSS,True,421,481
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,39,122
ENSG00000136717.14,chr2,127064773,127064897,TSS,True,102,122
ENSG00000143889.15,chr2,38602600,38602856,IR,False,21,118
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,25,122
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,101,122
ENSG00000180228.12,chr2,178431412,178432254,PAS,True,19,175
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,36,127
ENSG00000028116.17,chr2,58046821,58048826,5AS,False,44,147
ENSG00000028116.17,chr2,58146474,58159348,ES,False,113,144
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,115,159
