gene,chr,start,end,splice_type,novel,PC-3_ENCFF044LIA_in_cov,PC-3_ENCFF044LIA_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,204,463
ENSG00000182670.13,chr21,37073364,37108391,ES,False,593,792
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,593,1077
ENSG00000182670.13,chr21,37073473,37108391,ES,False,225,456
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,765,1566
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,1098,1566
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,974,1363
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,1201,1379
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,803,1346
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,85,135
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,44,207
ENSG00000157617.16,chr21,41885109,41889344,PAS,True,104,253
ENSG00000157617.16,chr21,41911319,41912440,PAS,True,141,209
ENSG00000157617.16,chr21,41949678,41953151,PAS,False,171,191
ENSG00000157617.16,chr21,41953369,41954032,TSS,True,126,317
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,30,141
ENSG00000183421.11,chr21,41766859,41767106,TSS,True,107,303
ENSG00000184012.11,chr21,41498189,41508080,5AS,True,243,303
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,175,424
ENSG00000184012.11,chr21,41507949,41508158,TSS,True,359,424
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,30,135
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,121,135
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,195,983
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,119,272
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,184,265
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,43,272
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,228,437
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,78,360
ENSG00000159079.18,chr21,32601973,32602271,IR,False,147,171
ENSG00000159079.18,chr21,32602367,32603160,IR,False,143,170
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,53,205
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,35,205
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,20,100
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,34,117
ENSG00000159267.14,chr21,36966443,36966724,TSS,True,88,108
ENSG00000159267.14,chr21,36936448,36937294,TSS,True,95,106
ENSG00000159267.14,chr21,36980640,36981123,TSS,True,89,108
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,27,169
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,53,174
ENSG00000160179.18,chr21,42288037,42288210,5AS,False,101,165
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,108,269
ENSG00000155304.5,chr21,14383094,14383146,TSS,False,18,162
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,23,188
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,78,119
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,70,119
ENSG00000160294.10,chr21,46233046,46235426,PAS,True,20,117
ENSG00000160294.10,chr21,46265320,46265524,TSS,True,103,122
ENSG00000160294.10,chr21,46265924,46268792,TSS,True,94,122
ENSG00000160294.10,chr21,46285698,46286461,TSS,True,115,130
ENSG00000160310.17,chr21,46635763,46636438,IR,False,84,100
ENSG00000160310.17,chr21,46635763,46636895,ES,False,328,420
ENSG00000160310.17,chr21,46661936,46664294,ES,True,34,156
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,140,570
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,414,467
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,408,575
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,363,526
ENSG00000160310.17,chr21,46660832,46661277,PAS,True,474,530
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,275,512
ENSG00000160209.18,chr21,43755950,43762297,PAS,True,28,266
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,67,412
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,160,202
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,176,202
ENSG00000142166.12,chr21,33324903,33325131,TSS,True,20,150
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,24,136
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,85,104
ENSG00000173638.18,chr21,45531388,45532150,TSS,False,89,104
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,149,653
ENSG00000157601.13,chr21,41458527,41459214,PAS,True,92,640
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,147,542
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,462,539
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,105,124
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,50,124
ENSG00000154727.10,chr21,25735112,25735385,TSS,True,101,124
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,34,188
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,165,186
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,52,136
ENSG00000142192.20,chr21,25945403,25945975,PAS,False,110,124
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,336,435
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,28,108
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,94,108
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,27,100
ENSG00000198743.6,chr21,34073512,34073745,TSS,False,39,119
ENSG00000159263.15,chr21,36699105,36699921,TSS,True,437,570
ENSG00000159263.15,chr21,36747664,36751135,PAS,False,164,366
ENSG00000160216.18,chr21,43865118,43865345,TSS,False,87,134
ENSG00000182240.15,chr21,41241939,41243375,5AS,False,23,229
ENSG00000182240.15,chr21,41167520,41168575,TSS,False,84,304
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,676,2128
ENSG00000197381.15,chr21,45074166,45074793,TSS,True,47,109
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,267,410
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,207,410
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,462,526
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,63,483
ENSG00000160182.2,chr21,42363254,42363301,TSS,True,350,433
ENSG00000160182.2,chr21,42366410,42366532,TSS,False,93,433
ENSG00000243927.5,chr21,34073745,34125340,ES,False,164,255
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,48,313
ENSG00000272825.1,chr21,44936458,44936757,IR,True,20,164
ENSG00000272825.1,chr21,44933115,44936458,TSS,True,145,166
ENSG00000272825.1,chr21,44936757,44936950,PAS,True,146,166
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,1255,2079
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,1695,2074
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,1812,2038
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,481,2079
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,1668,1901
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,28,102
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,102,511
ENSG00000160255.17,chr21,44928653,44928817,TSS,True,124,145
ENSG00000160255.17,chr21,44911740,44911953,TSS,True,127,144
ENSG00000275464.4,chr21,5147432,5147778,IR,True,133,148
