gene,chr,start,end,splice_type,novel,HepG2_ENCFF814ABW_in_cov,HepG2_ENCFF814ABW_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,107,185
ENSG00000182670.13,chr21,37073364,37108391,ES,False,156,257
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,156,255
ENSG00000182670.13,chr21,37156906,37159698,ES,False,134,153
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,161,425
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,332,425
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,308,386
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,344,391
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,216,382
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,33,113
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,41,259
ENSG00000160282.13,chr21,46150525,46151557,IR,True,383,436
ENSG00000160282.13,chr21,46155469,46156612,TSS,False,158,541
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,69,126
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,69,126
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,256,1268
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,1136,1263
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,156,528
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,429,527
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,76,532
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,54,153
ENSG00000184787.18,chr21,44773546,44774808,TSS,True,134,151
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,30,150
ENSG00000159079.18,chr21,32601973,32602271,IR,False,95,113
ENSG00000159079.18,chr21,32602367,32603160,IR,False,92,113
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,20,121
ENSG00000159079.18,chr21,32601666,32603292,PAS,True,102,117
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,14,120
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,27,131
ENSG00000160200.17,chr21,43066377,43067777,ES,True,101,114
ENSG00000160200.17,chr21,43066377,43068508,5AS,True,717,819
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,216,983
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,94,231
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,27,235
ENSG00000160294.10,chr21,46246404,46246627,IR,False,93,107
ENSG00000160294.10,chr21,46233046,46235426,PAS,True,20,132
ENSG00000160294.10,chr21,46265320,46265524,TSS,True,111,134
ENSG00000160294.10,chr21,46265924,46268792,TSS,True,110,134
ENSG00000160294.10,chr21,46285698,46286461,TSS,True,111,142
ENSG00000160310.17,chr21,46635763,46636895,ES,False,159,284
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,54,348
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,134,348
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,266,342
