gene,chr,start,end,splice_type,novel,GM12878_ENCFF225CCJ_in_cov,GM12878_ENCFF225CCJ_total_cov
ENSG00000185433.8,chr21,25386338,25420707,ES,True,183,249
ENSG00000185433.8,chr21,25424553,25424897,TSS,True,109,269
ENSG00000185433.8,chr21,25421508,25421869,TSS,True,233,269
ENSG00000185433.8,chr21,25421361,25421478,TSS,True,237,269
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,12,106
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,42,120
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,96,121
ENSG00000198862.13,chr21,28992763,28992903,TSS,True,17,133
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,729,959
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,379,950
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,108,959
ENSG00000159079.18,chr21,32601973,32602271,IR,False,130,152
ENSG00000159079.18,chr21,32602367,32603160,IR,False,131,152
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,29,160
ENSG00000159079.18,chr21,32601666,32603292,PAS,True,138,160
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,57,203
ENSG00000157538.13,chr21,37261081,37261937,PAS,False,146,185
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,32,217
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,122,234
ENSG00000159140.19,chr21,33549475,33554631,PAS,True,13,113
ENSG00000160310.17,chr21,46635763,46636895,ES,False,116,139
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,120,153
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,106,154
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,92,153
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,46,187
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,157,187
ENSG00000157601.13,chr21,41426263,41427754,ES,False,729,3885
ENSG00000157601.13,chr21,41427866,41432049,3AS,False,197,466
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,437,4323
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,134,180
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,68,180
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,110,208
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,123,208
ENSG00000185917.13,chr21,36042410,36043956,PAS,True,24,102
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,21,103
ENSG00000185917.13,chr21,36060281,36060789,TSS,True,88,103
ENSG00000160201.11,chr21,43095743,43104314,ME,False,22,105
ENSG00000160199.14,chr21,43029889,43034480,PAS,True,35,144
ENSG00000160199.14,chr21,43028701,43029591,PAS,True,115,143
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,75,221
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,192,220
ENSG00000183486.12,chr21,41361996,41362055,TSS,True,122,267
ENSG00000183486.12,chr21,41369618,41370645,TSS,True,214,265
