gene,chr,start,end,splice_type,novel,mesenteric_fat_pad_ENCFF971JDY_in_cov,mesenteric_fat_pad_ENCFF971JDY_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,87,130
ENSG00000182670.13,chr21,37073364,37108391,ES,False,80,164
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,80,144
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,99,270
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,213,270
ENSG00000182670.13,chr21,37140560,37142975,PAS,True,219,248
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,134,249
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,192,249
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,58,441
ENSG00000142156.14,chr21,46002192,46002401,TSS,True,153,190
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,221,933
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,817,933
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,149,209
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,105,202
ENSG00000159131.16,chr21,33529472,33532456,PAS,True,165,198
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,31,209
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,60,321
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,78,131
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,59,138
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,85,138
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,44,373
ENSG00000160310.17,chr21,46635763,46636895,ES,False,136,497
ENSG00000160310.17,chr21,46635763,46636895,3AS,True,136,154
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,282,561
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,361,553
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,81,110
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,67,110
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,51,200
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,160,200
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,32,122
ENSG00000157601.13,chr21,41458527,41459214,PAS,True,18,122
ENSG00000166979.12,chr21,32413013,32467695,ES,False,42,114
ENSG00000166979.12,chr21,32411691,32413013,TSS,True,16,130
ENSG00000154734.14,chr21,26835758,26838278,PAS,True,106,984
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,388,1069
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,816,1044
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,17,163
ENSG00000205758.11,chr21,33591207,33595730,3AS,False,93,106
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,41,154
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,126,150
ENSG00000205758.11,chr21,33641680,33642193,TSS,True,17,154
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,120,815
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,147,770
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,118,683
