gene,chr,start,end,splice_type,novel,K562_ENCFF645UVN_in_cov,K562_ENCFF645UVN_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,126,209
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,155,209
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,110,161
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,134,165
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,109,155
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,240,1092
ENSG00000280071.3,chr21,5117231,5118690,IR,True,104,120
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,44,148
ENSG00000280071.3,chr21,5116341,5118847,PAS,True,132,148
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,46,156
ENSG00000243646.9,chr21,33266358,33266514,TSS,True,91,132
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,242,907
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,787,900
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,1206,2157
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,992,2089
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,462,2161
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,365,653
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,243,1089
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,57,459
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,25,126
ENSG00000157538.13,chr21,37261081,37261937,PAS,False,91,103
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,52,155
ENSG00000154654.14,chr21,21147112,21147251,TSS,True,19,107
ENSG00000154654.14,chr21,21537845,21541410,PAS,True,58,103
ENSG00000154654.14,chr21,21484454,21486303,PAS,True,78,102
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,901,1009
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,157,965
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,355,1009
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,66,117
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,239,497
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,44,162
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,437,488
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,422,488
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,99,594
ENSG00000160294.10,chr21,46233046,46235426,PAS,True,52,299
ENSG00000160294.10,chr21,46265320,46265524,TSS,True,236,315
ENSG00000160294.10,chr21,46265924,46268792,TSS,True,243,315
ENSG00000160310.17,chr21,46635763,46636895,ES,False,212,280
ENSG00000160310.17,chr21,46649739,46663382,ES,False,21,122
ENSG00000160310.17,chr21,46649739,46664294,ES,False,24,149
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,139,434
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,272,316
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,282,437
