gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos,coverage
ENSG00000280594.1,BTG3-AS1,+,0,0,1,17611743,17614101,1,0.5008460236886633,5
ENSG00000182670.13,TTC3,+,17,27,45,37156903,37157181,1053,0.6143367178993746,1
ENSG00000182670.13,TTC3,+,17,27,45,37156903,37159702,1053,0.6249757340963378,1
ENSG00000182670.13,TTC3,+,17,27,45,37157181,37159702,1053,0.6261489377864432,1
ENSG00000186866.16,POFUT2,-,0,7,8,45265586,45266021,126,0.9220863249290365,0
ENSG00000186866.16,POFUT2,-,0,7,8,45265586,45266024,126,0.922023710135248,0
ENSG00000186866.16,POFUT2,-,0,7,8,45265586,45267594,126,0.8892553013858742,0
ENSG00000186866.16,POFUT2,-,0,7,8,45266180,45267594,126,0.8768575722157288,0
ENSG00000186866.16,POFUT2,-,4,4,9,45277140,45278149,106,0.4275900947926672,0
ENSG00000186866.16,POFUT2,-,5,4,10,45277668,45278149,247,0.41652399047897437,0
ENSG00000186866.16,POFUT2,-,4,2,8,45282396,45283391,126,0.20869510769744537,0
ENSG00000186866.16,POFUT2,-,6,1,10,45282396,45285697,127,0.16024971812753164,0
ENSG00000186866.16,POFUT2,-,2,1,4,45283516,45284056,63,0.5400289207309057,0
ENSG00000186866.16,POFUT2,-,2,1,4,45283516,45285328,63,0.45642171683975286,0
ENSG00000186866.16,POFUT2,-,2,1,4,45283516,45285697,63,0.4321677402392533,0
ENSG00000186866.16,POFUT2,-,8,1,10,45285268,45285697,127,0.10028396041257781,0
ENSG00000159055.3,MIS18A,-,1,0,2,32269110,32269741,63,0.049262032415110624,0
ENSG00000182362.13,YBEY,+,0,0,1,46286734,46286870,7,0.5689922480620155,1
ENSG00000157617.16,C2CD2,-,2,2,5,41918226,41918941,52,0.8314697798971131,0
PB_novel_48355,PB_novel_48355,+,0,2,3,29064036,29064344,7,0.920103929847353,0
ENSG00000280071.3,GATD3B,-,0,3,4,5120850,5121742,254,0.5901042528545424,0
ENSG00000280071.3,GATD3B,-,0,3,4,5120854,5121742,254,0.5899387721330465,0
ENSG00000280071.3,GATD3B,-,0,3,4,5121104,5121742,254,0.5795962270395498,0
ENSG00000280071.3,GATD3B,-,1,2,4,5124874,5125024,254,0.2878537150421976,0
ENSG00000280071.3,GATD3B,-,1,2,4,5124874,5125158,254,0.28231011087208335,0
ENSG00000280071.3,GATD3B,-,1,2,4,5124874,5125878,254,0.25252358100281314,0
ENSG00000280071.3,GATD3B,-,1,2,4,5124874,5125896,254,0.2517789177560814,0
ENSG00000280071.3,GATD3B,-,1,2,4,5124874,5125929,254,0.2504137018037399,0
ENSG00000280071.3,GATD3B,-,1,2,4,5125024,5125882,254,0.24615257322521922,0
ENSG00000280071.3,GATD3B,-,4,0,5,5127937,5128044,112,0.03187598703349681,0
ENSG00000280071.3,GATD3B,-,4,0,5,5127937,5128181,112,0.026182362230903533,0
ENSG00000280071.3,GATD3B,-,4,0,5,5127937,5128213,112,0.024852464466794122,0
ENSG00000280071.3,GATD3B,-,4,0,5,5127937,5128217,112,0.024686227246280446,0
ENSG00000280071.3,GATD3B,-,4,0,5,5127937,5128228,112,0.024229074889867808,0
ENSG00000280071.3,GATD3B,-,4,0,5,5127937,5128411,223,0.021176275953346035,1
PB_novel_163851,PB_novel_163851,-,0,0,2,46360240,46361457,3,0.5012295081967213,1
PB_novel_163851,PB_novel_163851,-,0,0,1,46360467,46361210,0,0.5082034454470878,6
ENSG00000159256.12,MORC3,+,6,2,9,36336972,36337819,223,0.47080873266511053,0
ENSG00000159256.12,MORC3,+,12,2,15,36337922,36338803,125,0.3215153288295477,1
ENSG00000159256.12,MORC3,+,4,10,15,36360043,36360200,127,0.7085880304214941,1
ENSG00000159256.12,MORC3,+,4,10,15,36360071,36360200,127,0.708836804321558,1
ENSG00000160233.7,LRRC3,+,0,1,2,44475749,44478485,11,0.9401244506331318,1
PB_novel_48702,PB_novel_48702,-,0,0,2,42978216,42978728,28,0.4598453301606187,0
PB_novel_48349,PB_novel_48349,+,0,1,2,29008118,29008301,13,0.9102106693849813,0
PB_novel_48349,PB_novel_48349,+,0,1,2,29008118,29008613,13,0.9367142371729528,0
ENSG00000237594.2,AP000251.1,+,0,0,1,31559239,31560284,1,0.21402439024390243,2
ENSG00000230479.1,AP000695.1,+,0,2,3,36478753,36481032,5,0.9679916440522442,0
ENSG00000230479.1,AP000695.1,+,0,2,3,36478772,36481032,5,0.9681771148552352,0
ENSG00000157554.18,ERG,-,0,3,4,38400639,38403537,103,0.968547455157514,1
ENSG00000157554.18,ERG,-,0,2,3,38423168,38423431,87,0.993832628239027,5
ENSG00000159228.12,CBR1,+,1,0,2,36070363,36070984,3,0.20558213716108453,9
ENSG00000159228.12,CBR1,+,0,1,3,36070984,36072451,10,0.5406828334396937,0
ENSG00000159228.12,CBR1,+,0,1,3,36070984,36072826,23,0.6042324699936829,0
ENSG00000188681.11,TEKT4P2,-,0,3,4,9068629,9069599,63,0.9872583479789103,0
ENSG00000188681.11,TEKT4P2,-,0,3,4,9069444,9070413,63,0.9734943220224416,0
ENSG00000141959.16,PFKL,+,20,0,21,44304432,44305417,1021,0.1659418673803152,0
ENSG00000141959.16,PFKL,+,16,2,19,44311062,44312107,253,0.4219671170676334,0
ENSG00000141959.16,PFKL,+,16,2,19,44311079,44312103,253,0.42220513383866126,0
ENSG00000141959.16,PFKL,+,17,2,20,44312229,44312978,1020,0.45825224894437305,0
ENSG00000141959.16,PFKL,+,17,2,20,44312281,44312978,1020,0.4592069028823205,0
ENSG00000141959.16,PFKL,+,17,2,20,44312294,44312978,1020,0.4594455663668074,0
ENSG00000141959.16,PFKL,+,3,4,22,44313043,44325159,1018,0.6970074356250687,0
ENSG00000141959.16,PFKL,+,14,5,20,44313678,44313986,251,0.5044309359894537,0
ENSG00000141959.16,PFKL,+,13,5,19,44316093,44316251,253,0.5899520304661466,0
ENSG00000141959.16,PFKL,+,13,5,19,44316114,44316251,253,0.5903365190962686,0
ENSG00000141959.16,PFKL,+,12,8,22,44316496,44318474,383,0.6382838525460336,1
ENSG00000141959.16,PFKL,+,9,8,18,44319375,44320085,1391,0.6303821964199323,0
ENSG00000141959.16,PFKL,+,10,11,22,44319408,44320085,511,0.7210183388850251,0
ENSG00000141959.16,PFKL,+,10,11,22,44319411,44320085,511,0.7210732457264175,0
ENSG00000141959.16,PFKL,+,10,11,22,44319411,44320093,511,0.7212196639701307,0
ENSG00000141959.16,PFKL,+,5,6,12,44323013,44323771,126,0.6412462639253691,0
ENSG00000141959.16,PFKL,+,2,3,6,44324909,44325151,505,0.5533091741369445,0
ENSG00000141959.16,PFKL,+,2,3,6,44324909,44325162,505,0.5543581918748808,0
ENSG00000141959.16,PFKL,+,2,3,6,44324909,44325986,505,0.6329391569711997,0
ENSG00000141959.16,PFKL,+,2,3,6,44324920,44325159,505,0.5551211138661072,0
ENSG00000141959.16,PFKL,+,2,12,15,44325260,44325986,1023,0.8424187725631769,0
ENSG00000141959.16,PFKL,+,2,12,15,44325264,44325986,1023,0.8425992779783393,0
ENSG00000141959.16,PFKL,+,2,12,15,44325277,44325986,1023,0.8431859205776173,0
ENSG00000198862.13,LTN1,-,7,21,29,28943901,28944395,217,0.7527737429304324,1
ENSG00000159131.16,GART,-,0,20,22,33504294,33504417,191,0.9890114207879296,0
ENSG00000159131.16,GART,-,10,8,19,33528325,33528514,766,0.3589330187442653,0
ENSG00000159131.16,GART,-,10,8,19,33528325,33528518,766,0.35888058723292704,0
ENSG00000159131.16,GART,-,10,8,19,33528325,33528552,766,0.35843491938655136,0
ENSG00000159131.16,GART,-,0,3,4,33531592,33532362,638,0.9654865682262943,0
ENSG00000159131.16,GART,-,16,0,18,33539319,33542590,511,0.056910199253935034,0
ENSG00000159131.16,GART,-,16,0,18,33539319,33542781,511,0.05401389015254909,0
ENSG00000184787.18,UBE2G2,-,1,3,5,44773639,44777417,108,0.8376637867822871,0
