gene,chr,start,end,splice_type,novel,H1_ENCFF730QOA_in_cov,H1_ENCFF730QOA_total_cov
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,39,137
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,93,138
ENSG00000159131.16,chr21,33511251,33511353,TSS,False,34,105
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,47,212
ENSG00000160200.17,chr21,43053647,43053861,IR,False,54,121
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,136,202
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,56,122
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,123,202
ENSG00000160200.17,chr21,43062310,43062396,TSS,True,177,201
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,34,130
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,68,112
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,102,128
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,104,120
ENSG00000160310.17,chr21,46660832,46661277,PAS,True,104,125
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,81,430
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,362,430
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,53,141
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,104,141
ENSG00000160201.11,chr21,43095743,43104314,ME,False,178,527
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,204,744
ENSG00000274276.4,chr21,6445325,6445539,IR,False,61,122
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,57,117
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,66,141
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,123,201
ENSG00000274276.4,chr21,6453988,6454074,TSS,True,176,201
ENSG00000160194.17,chr21,42897047,42908863,ES,True,80,104
ENSG00000275895.6,chr21,6487412,6495992,ME,False,140,422
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,208,644
ENSG00000205581.10,chr21,39345274,39348291,ES,False,215,306
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,97,379
ENSG00000154639.18,chr21,17559131,17565427,ES,False,13,105
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,18,127
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,18,110
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,114,127
ENSG00000135930.13,chr2,232556530,232564246,ES,False,31,233
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,42,242
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,213,242
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,167,1474
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,1036,1476
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,1260,1458
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,722,1409
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,266,2619
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,34,104
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,95,711
ENSG00000124839.12,chr2,237577382,237585997,ES,False,37,111
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,59,198
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,184,507
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,339,505
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,105,154
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,82,154
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,63,234
ENSG00000115241.10,chr2,27383365,27383909,TSS,True,52,151
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,143,452
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,335,450
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,69,106
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,60,114
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,87,114
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,120,711
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,231,1594
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,135,358
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,289,358
ENSG00000162961.13,chr2,32039278,32039328,TSS,True,317,358
ENSG00000168906.12,chr2,85543034,85543669,IR,True,123,177
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,87,247
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,57,177
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,131,177
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,29,102
ENSG00000065911.11,chr2,74198742,74207703,ES,False,51,358
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,104,465
ENSG00000065911.11,chr2,74208566,74208721,TSS,True,406,464
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,63,450
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,124,961
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,241,278
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,124,402
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,382,695
