gene,chr,start,end,splice_type,novel,osteocyte_ENCFF925MYC_in_cov,osteocyte_ENCFF925MYC_total_cov
ENSG00000182670.13,chr21,37073364,37108391,ES,False,137,190
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,137,176
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,115,307
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,270,307
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,236,273
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,147,262
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,230,257
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,18,165
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,12,110
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,161,210
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,109,209
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,160,210
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,245,462
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,285,457
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,78,463
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,16,141
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,156,199
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,171,197
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,54,455
ENSG00000160310.17,chr21,46635763,46636895,ES,False,158,597
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,270,651
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,415,643
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,63,174
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,141,173
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,160,254
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,111,254
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,56,272
ENSG00000198743.6,chr21,34073512,34073745,TSS,False,44,140
ENSG00000205758.11,chr21,33591207,33595730,3AS,False,140,161
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,234,266
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,105,272
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,190,271
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,14,127
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,67,120
ENSG00000205726.14,chr21,33774728,33774841,PAS,True,88,120
ENSG00000205726.14,chr21,33767712,33767813,PAS,True,107,119
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,21,149
ENSG00000154640.14,chr21,17598824,17604859,ES,False,108,123
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,241,273
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,31,270
ENSG00000243927.5,chr21,34073745,34125340,ES,False,140,180
ENSG00000135930.13,chr2,232567214,232568944,IR,True,88,118
ENSG00000135930.13,chr2,232567214,232580903,ES,False,52,117
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,154,242
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,213,242
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,126,242
ENSG00000035115.21,chr2,219001,229965,ES,False,72,128
ENSG00000035115.21,chr2,253115,264781,ES,True,93,110
ENSG00000035115.21,chr2,264781,264873,TSS,True,18,129
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,260,1565
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,30,236
ENSG00000071967.11,chr2,171522249,171522738,TSS,True,54,298
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,46,401
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,112,223
ENSG00000115761.15,chr2,10589576,10589751,PAS,True,194,223
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,192,223
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,182,223
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,76,137
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,100,137
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,103,135
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,16,122
ENSG00000134313.15,chr2,8728856,8731982,PAS,True,73,153
ENSG00000134313.15,chr2,8750111,8750297,TSS,True,101,125
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,97,188
ENSG00000115750.16,chr2,9913158,9915268,PAS,True,104,120
ENSG00000115750.16,chr2,9933782,9934491,PAS,True,67,120
ENSG00000115750.16,chr2,9911510,9911556,PAS,True,92,120
ENSG00000204120.14,chr2,232697392,232703423,ES,False,254,306
ENSG00000204120.14,chr2,232703489,232735154,ES,False,200,313
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,48,393
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,248,379
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,279,383
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,312,379
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,39,172
ENSG00000163510.13,chr2,179963335,179964628,PAS,True,149,172
ENSG00000158019.20,chr2,28298491,28338449,ES,True,251,335
ENSG00000162976.12,chr2,11164261,11174967,ES,False,24,234
ENSG00000013441.15,chr2,200859746,200860124,IR,False,164,269
ENSG00000013441.15,chr2,200859746,200861237,ES,False,145,306
ENSG00000013441.15,chr2,200859746,200861237,IR,False,145,246
ENSG00000013441.15,chr2,200860215,200861237,IR,False,161,267
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,89,124
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,356,451
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,203,461
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,148,467
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,372,467
ENSG00000162928.8,chr2,61048471,61051726,PAS,False,16,148
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,116,130
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,22,138
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,73,107
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,93,107
ENSG00000196141.13,chr2,200419247,200419496,TSS,True,87,101
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,47,120
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,92,110
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,71,110
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,80,110
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,17,126
ENSG00000115963.13,chr2,150487455,150487548,IR,False,388,509
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,470,591
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,195,591
ENSG00000172965.15,chr2,111344237,111367486,5AS,False,34,121
ENSG00000172965.15,chr2,111343570,111344237,PAS,True,144,165
ENSG00000172965.15,chr2,111195862,111197194,PAS,True,142,167
ENSG00000172965.15,chr2,111203189,111208661,PAS,True,105,167
ENSG00000172965.15,chr2,111244299,111247558,PAS,True,150,167
ENSG00000172965.15,chr2,111494884,111495118,TSS,True,19,169
ENSG00000204262.12,chr2,189031881,189034216,PAS,True,846,2537
ENSG00000204262.12,chr2,189062184,189063063,PAS,True,1180,1411
ENSG00000204262.12,chr2,189062200,189062918,PAS,True,1246,1421
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,1473,2633
ENSG00000168906.12,chr2,85543034,85543669,IR,True,648,828
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,187,831
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,676,831
