gene,chr,start,end,splice_type,novel,IMR-90_ENCFF545PJV_in_cov,IMR-90_ENCFF545PJV_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,72,168
ENSG00000182670.13,chr21,37073364,37108391,ES,False,138,206
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,138,280
ENSG00000182670.13,chr21,37073473,37108391,ES,False,44,134
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,217,427
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,291,427
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,316,383
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,326,389
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,237,375
ENSG00000186866.16,chr21,45287740,45288298,TSS,True,60,140
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,150,191
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,54,191
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,194,678
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,569,673
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,23,119
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,57,292
ENSG00000160310.17,chr21,46635763,46636895,ES,False,163,247
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,35,294
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,241,272
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,176,294
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,182,284
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,61,137
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,38,260
ENSG00000156261.12,chr21,29070246,29073644,TSS,True,232,259
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,102,122
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,233,265
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,209,261
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,610,4274
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,80,118
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,143,561
ENSG00000154723.12,chr21,25734988,25735653,TSS,True,127,142
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,108,142
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,65,142
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,3290,5543
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,4591,5535
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,1060,5543
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,40,272
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,43,159
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,65,148
ENSG00000071054.16,chr2,101855976,101856832,PAS,True,96,134
ENSG00000082898.16,chr2,61533903,61537561,ES,False,133,149
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,20,169
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,57,379
ENSG00000071967.11,chr2,171522249,171522738,TSS,True,15,105
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,15,131
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,189,442
ENSG00000204843.12,chr2,74367970,74368498,TSS,False,397,442
ENSG00000204843.12,chr2,74380004,74380316,TSS,True,376,442
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,22,212
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,19,105
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,27,149
ENSG00000168288.12,chr2,149587088,149587752,TSS,True,127,149
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,22,212
ENSG00000115461.4,chr2,216672105,216676882,PAS,False,331,747
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,207,244
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,43,252
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,19,166
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,32,317
ENSG00000196141.13,chr2,200419496,200440648,ES,False,65,132
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,54,268
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,109,261
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,146,233
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,63,130
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,114,130
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,82,120
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,41,123
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,110,135
ENSG00000115963.13,chr2,150487455,150487548,IR,False,731,1465
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,816,1541
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,792,1541
ENSG00000172965.15,chr2,111203189,111208661,PAS,True,90,103
ENSG00000172965.15,chr2,111494884,111495118,TSS,True,33,111
ENSG00000115756.12,chr2,10396920,10419733,ES,False,113,132
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,316,624
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,29,109
ENSG00000065911.11,chr2,74198742,74205704,ES,True,313,384
ENSG00000065911.11,chr2,74198742,74207703,ES,False,44,427
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,392,436
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,91,436
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,168,346
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,260,916
ENSG00000124831.18,chr2,237708630,237748363,ES,False,97,113
ENSG00000124831.18,chr2,237749324,237753308,ES,False,102,116
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,89,127
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,49,126
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,70,117
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,100,117
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,77,127
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,115,133
ENSG00000077232.17,chr2,182732542,182740298,ES,False,16,134
ENSG00000115694.14,chr2,241499414,241500172,IR,False,116,134
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,164,190
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,150,195
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,123,195
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,196,1246
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,58,229
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,194,231
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,671,894
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,552,894
