gene,chr,start,end,splice_type,novel,left_ventricle_myocardium_inferior_ENCFF132YCF_in_cov,left_ventricle_myocardium_inferior_ENCFF132YCF_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,148232,150349,ES,True,15,132
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,17,147
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,40,283
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,43,179
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,143,179
ENSG00000141959.16,chr21,44306754,44311005,ES,True,194,251
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,48,306
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,39,103
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,69,102
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,17,104
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,33,151
ENSG00000160310.17,chr21,46635763,46636895,ES,False,29,172
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,87,193
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,132,193
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,263,300
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,198,334
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,30,245
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,108,654
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,116,135
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,20,134
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,310,608
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,490,608
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,545,607
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,134,608
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,479,572
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,13,119
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,77,130
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,109,130
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,93,130
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,37,130
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,29,110
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,154,177
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,28,218
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,26,170
ENSG00000075886.10,chr2,131479291,131479456,TSS,True,20,198
ENSG00000144029.11,chr2,95101723,95104639,IR,True,138,156
ENSG00000204843.12,chr2,74371728,74377431,ES,False,69,552
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,168,659
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,71,119
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,86,216
ENSG00000124006.14,chr2,219550868,219551528,3AS,True,14,130
ENSG00000124006.14,chr2,219556723,219557822,ES,False,85,177
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,146,306
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,318,404
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,287,401
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,216,404
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,357,404
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,76,100
ENSG00000183023.18,chr2,40512348,40512602,TSS,True,92,104
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,155,173
ENSG00000115648.13,chr2,237518648,237525600,ES,False,38,156
ENSG00000115648.13,chr2,237527516,237540347,ES,False,33,160
ENSG00000115648.13,chr2,237540533,237542566,ES,False,32,166
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,40,168
ENSG00000115648.13,chr2,237510453,237510795,TSS,True,145,168
ENSG00000196141.13,chr2,200419496,200440648,ES,False,79,126
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,119,136
